,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
2987,2020-01-14,1247024,1411413.28,503521,6.0,5.0,5050.0,9350.0,591700.0,36,15,2018,1.0,2.0,3.0,448500.00
2989,2020-01-14,1247144,1114706.42,557606,5.0,3.0,3725.0,18125.0,864625.0,36,26,2019,1.0,3.0,1.0,1122221.88
3005,2020-01-13,1241379,1753379.88,1205445,3.0,5.0,4227.0,13591.0,1854881.0,72,60,2019,0.0,2.0,1.0,1378960.00
3041,2020-01-13,1243172,244330.84,89687,4.0,2.0,1667.0,6627.0,255926.0,72,59,2019,1.0,2.0,1.0,198085.17
3043,2020-01-13,1243423,1676614.76,511328,3.0,2.0,1790.0,5750.0,702069.0,72,35,2018,0.0,3.0,2.0,677600.00
3052,2020-01-13,1240957,418245.75,358050,3.0,2.0,1756.0,6000.0,432471.0,72,12,2016,1.0,4.0,7.0,463491.93
3066,2020-01-08,1244123,684806.22,265518,3.0,2.0,1799.0,5141.0,366186.0,58,4,2012,1.0,7.0,2.0,704101.34
3076,2020-01-08,1236891,333265.96,65456,3.0,2.0,1519.0,5400.0,306841.0,58,29,2018,1.0,3.0,2.0,229000.00
3082,2020-01-08,1239891,277813.45,98873,2.0,1.0,1786.0,10571.4,331548.0,58,15,2017,0.0,2.0,2.0,231072.00
3113,2020-01-08,1231351,425816.67,225000,3.0,2.0,1670.0,1800.0,290197.0,58,14,2017,1.0,5.0,1.0,268400.00
3139,2020-01-07,1240921,287061.63,231779,3.0,2.0,1535.0,5101.0,295269.0,86,10,2014,0.0,12.0,5.0,231500.00
3147,2020-01-07,1240646,276837.71,67073,3.0,1.0,816.0,5000.0,193763.0,86,56,2018,1.0,3.0,1.0,164000.00
3157,2020-01-07,1241984,287942.97,252710,3.0,2.0,2146.0,4950.0,393603.0,86,16,2016,1.0,5.0,4.0,283500.00
3190,2020-01-07,1240261,372607.27,311617,4.0,2.0,2188.0,21708.0,401283.0,86,21,2016,0.0,2.0,5.0,347490.00
3196,2020-01-07,1243748,368414.73,229979,4.0,2.0,1700.0,5265.0,347962.0,86,30,2017,0.0,10.0,2.0,271800.00
3223,2020-01-06,1241608,602187.61,258924,4.0,2.0,2401.0,9375.0,569417.0,211,108,2018,1.0,2.0,2.0,640614.61
3224,2020-01-06,1225166,689255.72,458842,6.0,4.0,3300.0,13816.0,868360.0,211,121,2018,1.0,4.0,1.0,708226.26
3247,2020-01-06,1241590,359859.17,278526,4.0,3.0,2224.0,5001.0,359038.0,211,201,2019,0.0,3.0,1.0,291600.00
3251,2020-01-06,1236777,616217.88,609141,4.0,3.0,4186.0,15350.0,730230.0,211,63,2017,0.0,5.0,9.0,687044.82
3275,2020-01-06,1243175,557153.66,292900,3.0,2.0,2007.0,3380.0,365561.0,211,167,2019,1.0,3.0,1.0,355500.00
3360,2020-01-06,1240477,523218.7,208314,4.0,3.0,1950.0,10350.0,443389.0,211,198,2019,1.0,5.0,1.0,529686.21
3374,2020-01-06,1235645,338858.8,194000,4.0,3.0,1765.0,4189.0,252684.0,211,71,2017,1.0,9.0,1.0,190350.00
3404,2019-12-18,1241312,3271893.01,2684220,6.0,4.0,4329.0,10567.0,3556772.0,33,32,2019,1.0,4.0,1.0,3271893.01
3425,2019-12-17,1239977,1228772.1,507563,4.0,3.0,2834.0,10762.0,622704.0,28,11,2016,0.0,4.0,1.0,1228772.10
3465,2019-12-16,1237909,583068.28,320000,4.0,2.0,2304.0,2809.0,390271.0,61,50,2019,1.0,4.0,1.0,391000.00
3498,2019-12-16,1240473,326088.99,240000,3.0,2.0,1348.0,1403.0,802900.0,61,23,2017,1.0,3.5,1.0,304000.00
3500,2019-12-16,1224330,1099972.18,888768,6.0,7.0,4874.0,6143.0,1136796.0,61,33,2018,1.0,2.0,1.0,990000.00
3520,2019-12-11,1238240,218180.28,220720,3.0,1.0,1015.0,4300.0,270079.0,57,36,2018,1.0,10.0,4.0,227762.76
3522,2019-12-11,1239584,388562.36,128288,3.0,2.0,1954.0,7800.0,356519.0,57,7,2016,0.0,2.0,3.0,249900.00
3529,2019-12-11,1240408,459732.08,197458,2.0,1.0,899.0,6750.0,278269.0,57,18,2017,1.0,5.0,1.0,227920.00
3558,2019-12-10,1228006,750565.73,316772,5.0,3.0,2869.0,5250.0,387493.0,4,2,2018,1.0,5.5,1.0,376000.00
3569,2019-12-09,1238230,393485.04,390196,5.0,3.0,2837.0,15002.0,477608.0,88,18,2017,0.0,3.0,3.0,414844.20
3591,2019-12-09,1239885,253138.19,191100,3.0,2.0,1416.0,1760.0,240717.0,88,64,2018,1.0,8.0,1.0,197640.00
3611,2019-12-09,1238374,272506.55,161014,3.0,1.0,1098.0,5000.0,250895.0,88,59,2018,0.0,2.0,1.0,272506.55
3627,2019-12-09,1236771,920098.75,695715,4.0,3.0,3207.0,7494.0,1039722.0,88,35,2017,1.0,8.0,1.0,947389.24
3671,2019-12-03,1217811,581848.25,195193,3.0,2.0,1953.0,7875.0,298539.0,25,7,2017,0.0,3.0,1.0,310000.00
3675,2019-12-03,1239715,201461.31,167900,3.0,2.0,1932.0,2433.0,213990.0,25,24,2019,1.0,4.0,1.0,195000.00
3691,2019-12-02,1216978,663479.49,270000,4.0,2.0,1904.0,1474.0,345805.0,75,9,2014,1.0,5.0,1.0,308400.00
3699,2019-12-02,1236848,254637.3,116844,2.0,1.0,1110.0,7500.0,266146.0,75,10,2015,0.0,2.0,2.0,222000.00
3702,2019-12-02,1238892,676548.35,415955,5.0,3.0,2989.0,15000.0,605369.0,75,3,2010,0.0,2.0,3.0,798406.40
3716,2019-12-02,1237144,342098.89,180937,4.0,2.0,1124.0,7500.0,295895.0,75,7,2014,0.0,2.0,4.0,279000.00
3741,2019-12-02,1239890,210444.8,212846,3.0,2.0,1224.0,10450.0,306185.0,75,41,2018,0.0,5.0,1.0,216178.73
3749,2019-12-02,1235000,873695.38,261814,2.0,1.0,1632.0,7500.0,652234.0,75,12,2015,0.0,3.0,5.0,580000.00
3759,2019-12-02,1217071,972286.22,694934,4.0,4.0,4209.0,9987.0,927941.0,75,25,2017,0.0,6.0,1.0,684060.00
3761,2019-12-02,1216985,813694.23,485751,4.0,2.0,2693.0,29450.0,532246.0,75,28,2017,1.0,5.0,1.0,422400.00
3828,2019-11-25,1226343,645455.06,570262,3.0,2.0,2166.0,11348.0,473000.0,66,28,2017,1.0,2.0,1.0,470515.75
3829,2019-11-25,1216317,471711.45,173701,3.0,2.0,1693.0,4714.0,245613.0,66,26,2017,1.0,5.0,1.0,193440.00
3832,2019-11-25,1234437,443695.2,333364,3.0,3.0,2192.0,5775.0,439521.0,66,3,2009,1.0,6.0,4.0,518852.70
3837,2019-11-25,1235653,619403.25,365391,4.0,2.0,2790.0,6500.0,299384.0,66,4,2012,0.0,2.0,3.0,804753.93
3973,2019-11-18,1234999,278088.61,207467,4.0,2.0,1580.0,11342.0,276124.0,49,9,2015,0.0,2.0,9.0,243000.00
4052,2019-11-12,1235318,1003714.91,393369,5.0,5.0,4081.0,12800.0,1284714.0,109,12,2014,0.0,2.0,4.0,1090241.36
4065,2019-11-12,1229536,4046160.26,1334000,3.0,3.0,3647.0,1681.0,2099721.0,109,19,2015,1.0,7.0,1.0,1829700.00
4082,2019-11-12,1227727,666452.06,310712,5.0,4.0,2647.0,14249.0,536482.0,109,5,2010,0.0,6.0,6.0,844681.10
4096,2019-11-12,1223200,184979.71,105503,3.0,1.0,1449.0,5250.0,230200.0,109,40,2017,0.0,15.0,1.0,150000.00
4112,2019-11-12,1237031,254055.22,256486,3.0,2.0,1408.0,8823.0,282433.0,109,18,2015,0.0,2.0,7.0,302000.00
4116,2019-11-06,1234113,2977625.36,2021211,6.0,6.0,3655.0,6739.0,2701759.0,40,15,2017,1.0,7.0,2.0,3168013.35
4122,2019-11-06,1234518,441253.85,445740,2.0,2.0,1119.0,1.0,602107.0,40,34,2019,0.0,1.0,2.0,380000.00
4129,2019-11-06,1235616,296049.54,92838,0.0,0.0,1277.0,5400.0,270241.0,40,25,2018,0.0,2.0,1.0,210000.00
4153,2019-11-05,1235700,420341.54,245971,3.0,2.0,2043.0,6477.0,303099.0,33,26,2019,1.0,9.0,1.0,310000.00
4161,2019-11-05,1233000,338138.91,181961,2.0,1.0,1727.0,9933.0,243506.0,33,25,2018,0.0,18.5,1.0,200000.00
4180,2019-11-05,1235701,280514.21,217000,2.0,2.0,1156.0,2658.0,274096.0,33,33,2019,1.0,5.0,1.0,250000.00
4220,2019-10-30,1226302,855510.12,518391,3.0,2.0,1242.0,5500.0,668197.0,51,15,2017,0.0,1.0,1.0,870195.00
4230,2019-10-30,1226085,474704.72,577101,4.0,3.0,1878.0,5600.0,764594.0,51,10,2016,0.0,4.0,10.0,543142.87
4251,2019-10-30,1231182,100934.49,198000,2.0,2.0,1170.0,1620.0,258600.0,51,13,2017,1.0,2.5,2.0,116709.35
4252,2019-10-30,1226213,328629.72,391632,5.0,4.0,2952.0,5000.0,490200.0,51,7,2016,0.0,5.0,5.0,360450.00
4264,2019-10-29,1231193,225837.86,142873,2.0,1.0,975.0,7500.0,235773.0,57,25,2017,0.0,3.0,2.0,198000.00
4269,2019-10-29,1231194,512376.9,237443,4.0,2.0,2345.0,9075.0,374906.0,57,24,2017,0.0,3.0,6.0,427000.00
4272,2019-10-29,1231013,356840.44,314000,3.0,2.0,1615.0,10412.0,380905.0,57,55,2019,0.0,2.0,1.0,355000.00
4278,2019-10-29,1231208,290028.17,218388,3.0,1.0,1716.0,7889.0,289119.0,57,15,2016,1.0,20.0,4.0,181740.00
4290,2019-10-29,1231207,162006.76,90000,2.0,2.0,1028.0,2039.0,145975.0,57,17,2016,1.0,5.0,3.0,127650.00
4291,2019-10-29,1231210,463645.93,344633,3.0,2.0,1629.0,10275.0,296300.0,57,12,2016,0.0,4.0,2.0,383000.00
