,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
17978,2017-11-29,1114859,95435.13,182388,97927.40,4.0,1.0,1318.0,6500.0,212613.0,19,14,2016,0.0,5.0,2.0,172300.0
17979,2017-11-29,1115585,107713.1,138844,109099.22,2.0,1.0,912.0,6240.0,161949.0,19,13,2016,0.0,5.0,1.0,146100.0
17989,2017-11-29,1119897,427058.54,279957,125000.00,0.0,0.0,0.0,7200.0,458800.0,19,12,2016,1.0,3.0,1.0,125100.0
17996,2017-11-28,1119482,244994.97,139832,77000.00,3.0,1.0,1012.0,7522.0,168227.0,34,24,2016,0.0,6.0,1.0,77700.0
17998,2017-11-28,1118657,21998.63,244000,22500.19,2.0,2.0,1488.0,0.0,311572.0,34,29,2016,1.0,2.0,1.0,26100.0
18019,2017-11-28,1118853,308379.4,120000,99500.00,3.0,2.0,1151.0,0.0,131477.0,34,21,2016,1.0,12.0,1.0,112000.0
18039,2017-11-27,1119472,146225.4,217096,156036.65,5.0,2.0,2100.0,7308.0,230632.0,58,29,2016,1.0,4.0,3.0,169100.0
18049,2017-11-27,1114607,28220.11,209489,28220.11,3.0,2.0,1693.0,3940.0,211525.0,58,44,2016,1.0,1.0,2.0,48400.0
18105,2017-11-21,1117546,1326041.68,911920,770000.00,0.0,0.0,0.0,11399.0,202500.0,35,29,2016,0.0,2.0,1.0,770100.0
18108,2017-11-21,1107612,300958.54,304166,127170.00,3.0,2.0,1455.0,6600.0,246638.0,35,12,2014,0.0,5.0,6.0,153300.0
18109,2017-11-21,1117602,15012.54,87997,15200.00,2.0,2.0,1122.0,0.0,110115.0,35,18,2016,1.0,2.0,1.0,30000.0
18115,2017-11-21,1118356,382738.86,216291,205000.00,4.0,2.0,1604.0,7500.0,241179.0,35,22,2016,1.0,12.5,1.0,205100.0
18121,2017-11-21,1117212,52495.26,192741,52495.26,3.0,2.0,2172.0,7500.0,361795.0,35,11,2014,0.0,13.0,6.0,75200.0
