,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
8261,2019-03-05,1196154,149468.61,149400,2.0,2.0,925.0,184006.0,22,12,2018,3.0,1.0,150734.94
8321,2019-03-04,1181263,260287.68,118000,2.0,1.0,870.0,142753.0,72,54,2017,5.0,1.0,149000.00
8335,2019-02-27,1182779,141458.02,111000,1.0,1.0,787.0,137974.0,41,18,2017,13.0,1.0,140000.00
8345,2019-02-27,1194971,155236.74,140000,2.0,2.0,870.0,173336.0,41,22,2017,5.0,1.0,153120.00
8351,2019-02-27,1182073,314005.56,253000,1.0,1.0,710.0,299765.0,41,8,2015,10.0,1.0,280000.00
8399,2019-02-26,1194973,438311.93,204584,2.0,2.0,1000.0,290830.0,47,20,2016,7.0,1.0,240200.00
8406,2019-02-26,1193335,151785.63,132407,2.0,2.0,856.0,155633.0,47,33,2017,7.0,1.0,147000.00
8436,2019-02-25,1191855,35832.7,255700,1.0,1.0,988.0,352314.0,65,57,2018,1.0,2.0,43590.04
8447,2019-02-25,1176831,682417.29,225000,0.0,1.0,500.0,260100.0,65,14,2015,4.0,1.0,340000.00
8463,2019-02-25,1181302,459530.82,318000,3.0,2.0,1264.0,522784.0,65,43,2017,2.0,1.0,426000.00
8485,2019-02-20,1190971,291811.63,137000,3.0,2.0,1230.0,173709.0,54,36,2017,7.0,1.0,163800.00
8506,2019-02-20,1192948,266708.84,100430,1.0,1.0,974.0,121044.0,54,7,2012,4.0,1.0,93452.15
8541,2019-02-19,1192493,94347.71,80600,0.0,0.0,584.0,120789.0,82,11,2014,4.0,2.0,115059.89
8547,2019-02-19,1175650,700504.47,459400,2.0,2.0,1197.0,516060.0,82,39,2016,7.0,1.0,536337.14
8613,2019-02-13,1193340,430045.44,335000,1.0,1.0,776.0,375473.0,20,5,2017,3.0,1.0,361760.34
8621,2019-02-12,1191537,560324.68,266800,1.0,2.0,1310.0,364538.0,21,4,2016,3.0,6.0,560324.68
8630,2019-02-12,1192644,52094.18,134246,2.0,2.0,780.0,159661.0,21,20,2018,1.0,1.0,52094.18
8644,2019-02-11,1192550,158212.22,125000,2.0,2.0,845.0,156642.0,58,42,2017,4.0,1.0,159382.92
8648,2019-02-11,1179105,545180.14,274100,2.0,2.0,950.0,407216.0,58,25,2016,7.0,1.0,310250.00
8658,2019-02-11,1191075,334613.69,176900,0.0,1.0,552.0,229729.0,58,45,2017,4.0,1.0,281000.00
8771,2019-02-04,1190955,284675.84,223850,3.0,2.0,1550.0,268320.0,65,56,2018,6.0,1.0,202000.00
8849,2019-01-28,1184555,632629.99,406805,3.0,2.0,1427.0,409742.0,75,56,2017,7.0,2.0,358275.00
8871,2019-01-28,1176444,273690.0,116437,2.0,2.0,1224.0,175355.0,75,18,2016,11.0,1.0,147654.58
8898,2019-01-28,1189841,233025.23,228950,1.0,1.0,825.0,273937.0,75,74,2018,1.0,1.0,234891.47
8943,2019-01-22,1184550,201121.54,135000,2.0,2.0,1093.0,171406.0,126,116,2018,7.0,1.0,157500.00
8959,2019-01-22,1185519,114133.48,220000,1.0,1.0,690.0,296670.0,126,13,2012,1.0,2.0,114808.48
8986,2019-01-22,1181113,303029.65,159402,2.0,2.0,1310.0,205471.0,126,21,2014,5.0,1.0,165750.00
8988,2019-01-22,1182607,263700.3,158817,3.0,2.0,1716.0,200111.0,126,112,2018,8.0,1.0,189965.00
8989,2019-01-22,1188343,959104.17,228813,2.0,2.0,1023.0,335001.0,126,20,2014,5.0,1.0,266250.00
9006,2019-01-22,1190025,69132.0,1673000,4.0,4.0,2485.0,2773245.0,126,123,2018,1.0,1.0,69132.00
9031,2019-01-22,1175674,1847130.33,1673000,4.0,4.0,2485.0,2773245.0,126,122,2018,3.0,1.0,1900000.00
9043,2019-01-22,1187242,331317.26,179800,1.0,1.0,852.0,333865.0,126,51,2016,18.0,2.0,334081.26
9059,2019-01-16,1175322,1435777.21,865700,3.0,4.0,3262.0,369600.0,54,30,2017,3.0,1.0,1465836.73
9107,2019-01-15,1184495,177714.31,91000,1.0,1.0,571.0,154937.0,41,38,2018,2.0,1.0,90000.00
9110,2019-01-15,1183689,206902.0,156450,2.0,2.0,845.0,169600.0,41,21,2017,2.0,5.0,146787.61
9120,2019-01-15,1183690,259995.7,121300,2.0,1.0,985.0,156831.0,41,34,2017,4.0,2.0,163000.00
9209,2019-01-14,1182056,314017.46,111720,2.0,2.0,956.0,121352.0,108,34,2016,7.0,3.0,96365.49
9215,2019-01-14,1183704,226478.83,121700,2.0,1.0,870.0,160227.0,108,100,2018,4.0,1.0,157000.00
9220,2019-01-14,1185926,185013.94,99622,2.0,2.0,920.0,125986.0,108,93,2018,5.0,1.0,125000.00
9230,2019-01-14,1182829,129097.29,74736,1.0,1.0,1036.0,89570.0,108,76,2017,4.0,2.0,50200.00
9235,2019-01-14,1186479,550622.49,339340,2.0,2.0,960.0,398698.0,108,90,2018,4.0,1.0,341300.00
9238,2019-01-14,1183705,141353.01,100500,1.0,1.0,583.0,120799.0,108,36,2016,6.0,1.0,110700.00
9361,2019-01-08,1187646,1060340.29,840750,3.0,3.0,1641.0,1153846.0,155,130,2017,3.0,1.0,1060340.29
9369,2019-01-08,1181441,685737.93,489300,2.0,2.0,1218.0,604778.0,155,153,2018,5.0,1.0,564960.00
9446,2019-01-07,1185135,1763404.74,604894,2.0,2.0,1529.0,815552.0,203,64,2016,13.0,1.0,1770739.74
9452,2019-01-07,1165088,362203.84,259300,2.0,2.0,1245.0,398181.0,203,122,2017,4.0,2.0,374170.84
9474,2019-01-07,1182787,252424.22,157700,1.0,1.0,837.0,298350.0,203,163,2018,6.0,1.0,255238.35
9481,2019-01-07,1178820,207458.38,165278,1.0,1.0,741.0,473700.0,203,68,2016,8.0,4.0,207458.38
9484,2019-01-07,1185927,443337.56,205000,2.0,2.0,1010.0,264384.0,203,66,2016,4.0,2.0,255021.50
9505,2019-01-07,1185299,494992.66,290588,2.0,2.0,985.0,413300.0,203,200,2018,7.0,1.0,409000.00
9511,2019-01-07,1185273,430349.02,307100,2.0,2.0,1245.0,392334.0,203,79,2016,5.0,1.0,370556.21
9532,2019-01-07,1182780,245665.56,109200,1.0,1.0,750.0,131512.0,203,151,2017,4.0,1.0,132000.00
9540,2019-01-07,1184837,206477.32,85000,2.0,2.0,816.0,115384.0,203,147,2017,4.0,1.0,90000.00
9544,2019-01-07,1173080,160038.86,140700,3.0,2.0,1100.0,185847.0,203,120,2017,3.0,1.0,148800.00
9597,2019-01-07,1179041,395389.14,362000,3.0,3.0,1694.0,507762.0,203,132,2017,6.0,3.0,385963.06
9599,2019-01-07,1176912,887535.9,436900,2.0,2.0,1380.0,514227.0,203,89,2016,5.0,1.0,912650.31
9618,2019-01-07,1183111,545706.78,307412,2.0,2.0,1158.0,419409.0,203,2,2008,6.0,6.0,349900.00
9635,2018-12-12,1181800,244625.78,124600,2.0,2.0,1045.0,175826.0,47,8,2013,10.0,7.0,287857.49
9643,2018-12-12,1183654,321649.34,312501,2.0,2.0,1051.0,369093.0,47,24,2017,4.0,1.0,322406.47
9647,2018-12-12,1182048,395179.39,140165,1.0,1.0,712.0,193983.0,47,13,2016,3.0,1.0,261329.64
9650,2018-12-12,1182181,102222.51,99000,3.0,2.0,1195.0,134173.0,47,31,2017,11.0,2.0,110000.00
9651,2018-12-12,1182367,192568.63,136000,2.0,2.0,1075.0,168845.0,47,33,2017,7.0,1.0,167000.00
9685,2018-12-11,1176875,409686.91,177000,2.0,2.0,1015.0,316500.0,19,12,2017,9.0,2.0,180400.00
9691,2018-12-11,1174226,316110.0,152000,3.0,2.0,1240.0,184127.0,19,16,2018,4.0,1.0,150000.00
9701,2018-12-10,1181293,265299.07,108528,3.0,1.0,1167.0,251600.0,84,65,2018,4.0,1.0,85050.00
9713,2018-12-10,1182585,386521.32,233100,2.0,2.0,1040.0,433900.0,84,31,2016,6.0,5.0,333751.00
9724,2018-12-10,1168790,609268.22,445000,2.0,2.0,1260.0,649990.0,84,32,2016,7.0,1.0,589508.98
9748,2018-12-10,1182640,224790.46,87550,2.0,2.0,1192.0,113657.0,84,74,2018,5.0,1.0,120000.00
9778,2018-12-05,1180544,206743.91,108528,3.0,1.0,1167.0,125351.0,52,45,2018,3.0,1.0,97200.00
9800,2018-12-05,1183042,208852.56,137000,2.0,1.0,1050.0,167098.0,52,37,2017,2.0,1.0,153000.00
9841,2018-12-03,1172038,242145.05,116813,1.0,1.0,790.0,171154.0,138,98,2017,6.0,1.0,163000.00
9858,2018-12-03,1167534,399492.59,158540,3.0,2.0,1205.0,798700.0,138,92,2017,11.0,1.0,158760.00
9905,2018-12-03,1167898,258354.14,119000,2.0,2.0,1077.0,170435.0,138,71,2017,7.0,1.0,123768.77
9906,2018-12-03,1181399,195135.14,131890,3.0,2.0,1266.0,165400.0,138,127,2018,3.5,1.0,109650.00
9942,2018-12-03,1181398,382441.35,194037,2.0,1.0,926.0,238370.0,138,85,2017,5.0,1.0,208100.00
9988,2018-11-27,1181300,695501.64,238450,1.0,1.0,562.0,306675.0,19,9,2017,6.0,1.0,703049.24
9990,2018-11-27,1180078,1004262.97,320351,2.0,2.0,1200.0,447545.0,19,16,2017,5.0,2.0,360000.00
10123,2018-11-21,1178171,93380.97,120000,2.0,2.0,978.0,138670.0,38,24,2017,2.0,1.0,95152.29
10186,2018-11-19,1177597,304993.43,128400,3.0,2.0,880.0,155169.0,69,33,2016,3.0,1.0,145350.00
10194,2018-11-19,1175520,314704.4,136394,2.0,2.0,922.0,232505.0,69,41,2017,2.0,3.0,318332.01
10263,2018-11-13,1177605,227692.6,154500,2.0,1.0,1056.0,216733.0,113,86,2017,5.0,1.0,202400.00
10269,2018-11-13,1164371,160653.48,50715,2.0,2.0,1315.0,112648.0,113,33,2015,2.0,2.0,108000.00
