,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
18357,2017-11-08,1116159,295315.6,127056,140000.00,2.0,2.0,970.0,143687.0,42,19,2015,7.0,2.0,1.0
18372,2017-11-08,1105150,216816.19,159000,120128.94,2.0,2.0,1197.0,186946.0,42,9,2013,4.0,1.0,1.0
18376,2017-11-08,1114648,666575.41,295400,666575.41,3.0,3.0,1611.0,445071.0,42,24,2016,6.0,2.0,1.0
18378,2017-11-08,1115719,15052.25,68200,15052.25,1.0,1.0,742.0,97230.0,42,33,2016,1.0,2.0,1.0
18379,2017-11-08,1115209,19042.42,35202,19042.42,2.0,2.0,1122.0,110043.0,42,8,2013,1.0,2.0,0.0
18403,2017-11-07,1115510,133346.29,127500,133346.29,3.0,2.0,980.0,189600.0,74,23,2016,42.0,1.0,1.0
18417,2017-11-06,1106406,197537.07,124200,139900.00,2.0,2.0,750.0,326100.0,75,22,2014,22.0,2.0,1.0
18429,2017-11-06,1099424,200181.58,181440,162000.00,3.0,2.0,1523.0,230051.0,75,28,2015,7.0,5.0,0.0
18440,2017-11-06,1100710,246788.3,188989,176400.00,3.0,2.0,1500.0,209814.0,75,41,2016,5.0,3.0,1.0
18448,2017-11-06,1112258,186891.19,120796,186891.19,2.0,2.0,1112.0,161533.0,75,19,2014,7.0,1.0,1.0
18459,2017-11-06,1115843,369090.94,167000,377100.10,3.0,2.0,1437.0,187311.0,75,29,2015,5.0,2.0,1.0
18468,2017-11-06,1099259,183253.48,135000,148000.00,2.0,2.0,1170.0,323900.0,75,34,2015,10.0,2.0,0.0
18512,2017-11-02,1115288,281261.0,131500,117300.00,2.0,2.0,838.0,149655.0,7,7,2017,3.0,1.0,1.0
18517,2017-11-01,1110132,299122.38,191050,184900.00,3.0,2.0,1560.0,252143.0,23,9,2016,4.0,2.0,1.0
18544,2017-10-31,1112886,124359.01,139025,125116.44,1.0,1.0,1067.0,165475.0,22,18,2016,6.0,1.0,1.0
18560,2017-10-30,1109859,167629.36,113800,120641.58,2.0,1.0,882.0,150067.0,66,42,2016,6.0,3.0,0.0
18605,2017-10-30,1103554,248639.65,97747,150000.00,2.0,2.0,1224.0,161600.0,66,16,2014,8.0,1.0,1.0
18640,2017-10-26,1097633,323400.95,177000,185000.00,4.0,3.0,1700.0,243416.0,6,2,2015,5.0,1.0,1.0
18645,2017-10-25,1114684,595651.46,492166,595651.46,2.0,2.0,1255.0,761237.0,9,9,2017,5.0,1.0,1.0
18648,2017-10-25,1109826,157287.64,111180,160660.80,2.0,2.0,1004.0,249900.0,9,3,2016,4.0,1.0,1.0
18650,2017-10-25,1112900,258701.11,189238,225000.00,1.0,1.0,796.0,264813.0,9,1,2012,2.0,1.0,1.0
18657,2017-10-24,1108702,464226.52,229120,199000.00,3.0,2.0,1860.0,265217.0,25,17,2016,6.0,2.0,0.0
18665,2017-10-24,1113102,7803206.55,3366000,7803206.55,3.0,5.0,6260.0,11479613.0,25,4,2010,7.0,1.0,1.0
18671,2017-10-24,1108585,125466.15,102850,126988.43,2.0,2.0,1180.0,109734.0,25,22,2016,2.0,6.0,0.0
18727,2017-10-20,1096729,132691.77,82080,135249.46,1.0,1.0,650.0,78235.0,21,11,2016,4.0,1.0,1.0
18788,2017-10-18,1110854,136135.5,115500,137186.14,1.0,1.0,1149.0,145375.0,58,39,2016,3.0,1.0,1.0
