,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
2292,2020-02-26,1249444,286109.61,82561,183750.00,3.0,2.0,1220.0,8400.0,270454.0,30,12,2017,1.0,2.0,4.0,197600.0
2314,2020-02-25,1250779,375287.91,393708,380012.91,3.0,2.0,2104.0,2720.0,494438.0,16,15,2019,1.0,2.0,1.0,386000.0
2324,2020-02-24,1247835,523321.79,277186,209790.00,3.0,2.0,1652.0,1.0,315787.0,56,5,2014,0.0,1.0,2.0,260300.0
2367,2020-02-24,1239708,287342.38,152295,171722.06,3.0,1.0,1056.0,7800.0,272188.0,56,15,2017,1.0,4.0,1.0,230500.0
2398,2020-02-19,1249615,473225.73,257402,292502.39,3.0,2.0,1668.0,5000.0,388757.0,36,21,2018,0.0,5.0,5.0,301500.0
2404,2020-02-19,1249602,74804.8,82982,74804.80,3.0,2.0,1456.0,5300.0,246905.0,36,36,2019,0.0,3.0,3.0,182100.0
2414,2020-02-18,1246866,364152.57,278517,152342.67,3.0,2.0,1576.0,8250.0,369795.0,99,7,2013,0.0,3.0,7.0,288100.0
2442,2020-02-18,1243148,663107.07,458522,287250.00,4.0,2.0,1876.0,6750.0,617912.0,99,3,2009,0.0,8.0,1.0,330100.0
2454,2020-02-18,1249069,106337.85,107078,122875.51,2.0,1.0,1210.0,5400.0,320700.0,99,19,2015,0.0,4.0,10.0,208500.0
2465,2020-02-18,1247496,193076.79,125434,195293.96,4.0,2.0,1742.0,7875.0,279454.0,99,84,2019,0.0,1.0,1.0,195300.0
2499,2020-02-12,1242823,314678.65,266075,113400.00,3.0,2.0,2027.0,9862.0,292942.0,38,21,2018,1.0,5.0,1.0,135600.0
2530,2020-02-11,1247321,386535.79,392894,391231.96,4.0,2.0,2132.0,10107.9,165800.0,10,2,2017,0.0,4.0,1.0,391300.0
2545,2020-02-10,1248044,323017.41,140411,157500.00,3.0,2.0,995.0,7950.0,248564.0,68,29,2017,1.0,9.0,2.0,205100.0
2629,2020-02-04,1236004,508112.15,344334,279000.00,3.0,2.0,1654.0,6179.0,415369.0,26,18,2018,1.0,14.5,1.0,294000.0
2652,2020-02-03,1246225,375703.28,320164,336150.00,4.0,2.0,2632.0,5000.0,422682.0,63,33,2018,1.0,5.0,3.0,336200.0
2673,2020-02-03,1244187,382650.66,313554,264945.56,4.0,3.0,2675.0,6653.0,413963.0,63,29,2018,0.0,5.0,2.0,310800.0
2675,2020-02-03,1236006,789366.7,409593,355500.00,4.0,3.0,2968.0,6082.0,501291.0,63,23,2017,1.0,12.0,1.0,391000.0
2680,2020-02-03,1240143,478004.07,148372,182250.00,4.0,2.0,1616.0,1750.0,230916.0,63,36,2018,1.0,6.0,1.0,182300.0
2718,2020-01-28,1243767,224712.38,216773,229716.00,3.0,1.0,936.0,6300.0,297172.0,25,3,2012,0.0,13.0,2.0,250100.0
2737,2020-01-27,1245297,491446.13,241181,263250.00,4.0,2.0,1540.0,7140.0,361197.0,76,28,2017,1.0,5.0,2.0,282000.0
2769,2020-01-27,1235235,796022.27,444251,498500.00,5.0,3.0,3039.0,16786.0,587281.0,76,6,2013,0.0,8.0,4.0,498600.0
2775,2020-01-27,1231451,648271.8,337262,348000.00,3.0,2.0,1644.0,15000.0,493285.0,76,39,2018,0.0,5.0,1.0,366000.0
2776,2020-01-27,1242910,371127.75,260991,264750.00,5.0,3.0,2202.0,7200.0,447108.0,76,37,2018,1.0,4.0,2.0,328600.0
2827,2020-01-22,1249683,179158.72,188603,159669.34,4.0,2.0,1506.0,5088.0,288248.0,32,28,2019,0.0,9.0,2.0,245200.0
2828,2020-01-22,1234508,419750.73,220459,306940.00,3.0,2.0,1654.0,5500.0,334453.0,32,19,2019,1.0,3.0,1.0,307000.0
2846,2020-01-21,1247600,177476.3,152881,179000.36,3.0,2.0,1169.0,7561.0,257230.0,110,106,2019,0.0,4.0,1.0,201300.0
2866,2020-01-21,1244118,423817.3,145234,206400.00,2.0,2.0,1089.0,2205.0,242885.0,110,103,2019,1.0,4.0,1.0,206500.0
2917,2020-01-21,1231228,132061.27,171668,139427.44,3.0,2.0,1370.0,6342.0,237509.0,110,36,2017,0.0,8.0,1.0,190200.0
2934,2020-01-21,1233274,514954.53,390236,324916.91,4.0,3.0,2388.0,8725.24,519595.0,110,26,2016,1.0,9.0,1.0,390000.0
3009,2020-01-13,1241331,154800.57,135916,156857.21,3.0,2.0,2331.0,10771.2,380710.0,72,71,2019,0.0,4.0,1.0,270100.0
3010,2020-01-13,1239737,347904.9,250716,232358.97,3.0,2.0,1144.0,10000.0,370100.0,72,45,2018,0.0,3.0,2.0,290100.0
3019,2020-01-13,1243719,385986.77,132946,195210.00,4.0,2.0,1336.0,8905.0,268488.0,72,48,2018,0.0,2.0,1.0,195300.0
3045,2020-01-13,1237415,284083.01,122527,253000.00,0.0,3.0,2422.0,11531.0,317177.0,72,63,2019,0.0,3.0,1.0,253100.0
3064,2020-01-13,1243603,419500.94,277369,279900.00,6.0,3.0,1400.0,9000.0,354579.0,72,33,2018,1.0,2.0,2.0,281100.0
3131,2020-01-07,1239507,184708.98,164117,126650.00,1.0,2.0,790.0,2160.0,150158.0,86,68,2019,1.0,6.5,3.0,126800.0
3142,2020-01-07,1243162,233452.38,188487,190209.55,4.0,2.0,1560.0,7520.0,250000.0,86,86,2019,0.0,1.0,1.0,191300.0
3173,2020-01-07,1242816,91042.9,221995,92164.59,5.0,2.0,1819.0,1.0,301423.0,86,51,2018,1.0,2.0,1.0,194100.0
3194,2020-01-07,1243079,326146.23,388056,334136.81,3.0,2.0,2828.0,5265.0,464578.0,86,71,2019,0.0,2.0,1.0,334200.0
3221,2020-01-06,1240378,96210.4,91572,96210.40,3.0,2.0,1419.0,7500.0,268728.0,211,208,2019,0.0,1.0,1.0,110300.0
3222,2020-01-06,1241127,612099.87,355266,426026.49,3.0,2.0,2050.0,15983.0,634606.0,211,3,2009,1.0,3.0,4.0,535100.0
3255,2020-01-06,1243070,159895.67,255801,177531.51,4.0,3.0,1550.0,7420.0,362823.0,211,56,2016,0.0,10.0,3.0,238600.0
3261,2020-01-06,1240596,584929.35,236000,249762.09,4.0,2.0,1780.0,1575.0,277247.0,211,23,2014,1.0,23.0,2.0,249800.0
3286,2020-01-06,1231698,260181.94,155780,200250.00,3.0,2.0,1383.0,3183.0,273736.0,211,183,2019,1.0,5.0,1.0,200300.0
3298,2020-01-06,1240648,554713.79,279115,226980.00,5.0,3.0,2726.0,5211.0,251500.0,211,86,2017,1.0,5.0,1.0,251000.0
3309,2020-01-06,1229008,206685.37,247788,217992.20,4.0,2.0,2006.0,12496.4,291792.0,211,126,2018,0.0,1.0,1.0,220100.0
3320,2020-01-06,1241738,338724.64,88974,234668.00,3.0,1.0,1506.0,9525.0,302452.0,211,185,2019,0.0,7.0,1.0,234700.0
3340,2020-01-06,1238195,111323.15,44052,114098.34,3.0,1.0,1058.0,7500.0,260162.0,211,95,2018,0.0,6.0,1.0,189100.0
3362,2020-01-06,1235502,190492.15,252949,194327.62,3.0,2.0,1544.0,9900.0,314855.0,211,154,2018,0.0,7.0,1.0,246600.0
3363,2020-01-06,1238036,133637.69,192978,135605.63,3.0,2.0,2112.0,6343.0,407625.0,211,135,2018,0.0,3.0,1.0,320000.0
3372,2020-01-06,1240951,465507.12,129691,224197.00,3.0,2.0,1154.0,6300.0,330299.0,211,61,2017,0.0,6.0,3.0,228000.0
3384,2020-01-06,1238137,482432.62,134103,181480.51,3.0,2.0,1868.0,7750.0,311066.0,211,75,2017,0.0,4.0,2.0,215600.0
3385,2020-01-06,1226716,411979.71,214605,215250.00,3.0,2.0,1758.0,6318.0,279187.0,211,147,2018,1.0,9.0,1.0,215300.0
3399,2019-12-18,1241741,224216.2,422128,225655.08,0.0,0.0,2700.0,217800.0,308200.0,33,31,2019,0.0,3.0,1.0,271200.0
3424,2019-12-17,1240407,5307.55,136054,5307.55,3.0,3.0,1704.0,1540.0,171100.0,28,23,2019,1.0,1.0,1.0,28200.0
3445,2019-12-17,1240193,226485.09,98516,203400.00,3.0,2.0,1170.0,10000.0,261206.0,28,19,2019,0.0,1.0,1.0,205200.0
3454,2019-12-16,1232328,620074.23,219560,211120.00,4.0,2.0,1830.0,5000.0,275193.0,61,41,2018,1.0,6.5,1.0,228200.0
3479,2019-12-16,1239592,530125.91,415203,406010.90,4.0,2.0,2122.0,8692.0,544399.0,61,2,2009,0.0,5.0,1.0,406100.0
3506,2019-12-11,1238376,284998.38,181442,117700.00,2.0,1.0,1076.0,6600.0,261485.0,57,31,2018,1.0,7.0,1.0,136400.0
3541,2019-12-11,1238373,248237.72,212964,124697.09,4.0,2.0,1670.0,12453.8,253888.0,57,16,2017,1.0,2.0,1.0,182200.0
3567,2019-12-09,1236774,452222.91,184071,218400.00,2.0,2.0,1305.0,6900.0,281260.0,88,32,2017,0.0,11.0,1.0,222100.0
3659,2019-12-04,1226313,261070.02,127290,150000.00,2.0,1.0,783.0,5000.0,193155.0,28,21,2018,0.0,4.0,1.0,167300.0
3668,2019-12-03,1234689,16222.52,166414,16222.52,3.0,2.0,1693.0,4140.0,244720.0,25,6,2016,1.0,1.0,1.0,52100.0
3696,2019-12-02,1234519,518610.29,290152,286897.87,3.0,3.0,2091.0,7100.0,333469.0,75,16,2016,0.0,3.0,2.0,325200.0
3746,2019-12-02,1234980,368963.5,143459,243000.00,3.0,2.0,1343.0,4500.0,300098.0,75,4,2011,1.0,4.0,3.0,267200.0
3788,2019-11-27,1237205,245514.61,254151,269100.00,4.0,2.0,1475.0,3402.0,333122.0,51,13,2017,0.0,11.0,3.0,269200.0
3825,2019-11-26,1234442,417956.1,242542,238000.00,3.0,2.0,1556.0,4800.0,329846.0,16,6,2016,0.0,5.0,7.0,256800.0
3826,2019-11-26,1234279,192757.71,114832,192757.71,4.0,2.0,1798.0,9188.0,332504.0,16,2,2013,1.0,3.0,7.0,244400.0
3838,2019-11-25,1221960,425516.06,188088,195780.00,4.0,2.0,1440.0,7500.0,262645.0,66,25,2017,0.0,2.0,1.0,198200.0
3846,2019-11-25,1239603,243406.92,279821,248831.64,5.0,3.0,2710.0,5050.0,344589.0,66,56,2019,1.0,5.0,2.0,291500.0
3856,2019-11-25,1234520,193718.49,221246,187289.09,3.0,2.0,1658.0,3600.0,297557.0,66,17,2016,1.0,5.0,1.0,230100.0
3882,2019-11-25,1235595,109144.51,168906,137651.38,3.0,2.0,1064.0,7622.0,272166.0,66,8,2012,1.0,4.0,6.0,176100.0
3900,2019-11-20,1235063,330955.53,247000,219513.02,2.0,3.0,1914.0,3387.0,308959.0,31,19,2018,1.0,2.0,2.0,254100.0
3922,2019-11-19,1237015,1544040.11,759280,855000.00,4.0,3.0,3537.0,33541.0,1111396.0,19,18,2019,0.0,4.0,1.0,855100.0
3972,2019-11-18,1234993,226956.12,195457,180000.00,2.0,1.0,1268.0,10725.0,268356.0,49,31,2018,0.0,4.0,2.0,203700.0
3984,2019-11-13,1232188,326016.17,204327,218700.00,3.0,2.0,1646.0,9042.0,301667.0,35,34,2019,1.0,7.0,1.0,218800.0
3989,2019-11-13,1235264,120144.23,231223,127463.38,3.0,2.0,1525.0,10000.0,319496.0,35,16,2017,1.0,5.0,3.0,182200.0
4087,2019-11-12,1233743,14758.74,103666,18688.42,3.0,2.0,1115.0,1735.0,228770.0,109,52,2018,1.0,2.0,5.0,28100.0
4117,2019-11-06,1235617,180173.92,202389,182037.73,2.0,1.0,1470.0,7260.0,291531.0,40,20,2018,0.0,1.0,1.0,218600.0
4137,2019-11-06,1234039,430506.22,311109,386700.00,3.0,2.0,2291.0,3553.0,410234.0,40,24,2018,1.0,6.0,1.0,386800.0
4175,2019-11-05,1223187,337448.91,180000,170318.33,2.0,2.0,1032.0,2205.0,187720.0,33,15,2017,1.0,6.0,1.0,194300.0
4176,2019-11-05,1233250,81747.8,168197,81747.80,5.0,2.0,1359.0,4360.0,179249.0,33,30,2019,0.0,4.0,1.0,145100.0
4182,2019-11-05,1234537,158756.2,400000,318733.92,3.0,2.0,1359.0,17846.28,552799.0,33,3,2009,0.0,3.0,6.0,400000.0
4198,2019-11-04,1233002,126074.12,195540,131581.03,0.0,0.0,760.0,5150.0,314600.0,37,34,2019,0.0,9.0,1.0,177800.0
4202,2019-11-04,1235234,196452.71,151379,156581.11,3.0,1.0,846.0,8100.0,298698.0,37,37,2019,1.0,2.0,1.0,215100.0
4223,2019-10-30,1234745,406172.26,230092,238680.00,3.0,2.0,1519.0,5000.0,307909.0,51,16,2017,0.0,4.0,1.0,243200.0
4228,2019-10-30,1226461,488740.01,170427,184875.00,2.0,1.0,1492.0,8690.0,269173.0,51,49,2019,1.0,2.0,1.0,195100.0
4241,2019-10-30,1234759,393029.71,140989,129500.00,3.0,2.0,1320.0,6900.0,203133.0,51,40,2019,0.0,8.0,1.0,150300.0
4244,2019-10-30,1231157,12981.18,193205,12981.18,4.0,3.0,2967.0,5397.0,394564.0,51,20,2018,1.0,2.0,3.0,70100.0
4463,2019-10-21,1220018,946165.92,493119,440700.00,5.0,3.0,2898.0,8906.0,614372.0,50,20,2017,1.0,4.0,1.0,440800.0
4479,2019-10-21,1228959,186826.25,271120,198881.93,4.0,2.0,2178.0,5400.0,374891.0,50,39,2018,0.0,1.0,2.0,271800.0
4535,2019-10-15,1229738,318615.24,402370,324452.53,4.0,2.0,1690.0,10510.0,546296.0,104,69,2018,0.0,1.0,1.0,361600.0
4539,2019-10-15,1218827,520810.78,282439,259740.00,3.0,2.0,1892.0,6180.0,348389.0,104,44,2017,1.0,1.0,1.0,270000.0
4562,2019-10-15,1231098,276650.08,139613,187000.00,4.0,2.0,1500.0,4500.0,261894.0,104,47,2017,0.0,5.0,1.0,240800.0
4612,2019-10-15,1227963,272601.41,210000,216675.00,3.0,2.0,1378.0,1855.0,275593.0,104,102,2019,0.0,2.0,1.0,233200.0
4626,2019-10-15,1227962,240459.24,225540,240570.00,3.0,2.0,1252.0,7500.0,297838.0,104,95,2019,0.0,1.0,1.0,250900.0
4630,2019-10-15,1231277,2271238.2,797540,945000.00,10.0,8.0,5372.0,15982.0,2534955.0,104,50,2017,1.0,4.0,1.0,1009100.0
4681,2019-10-07,1229002,397924.49,197851,210000.00,3.0,2.0,1444.0,6200.0,289024.0,41,35,2019,0.0,8.0,1.0,240200.0
4693,2019-10-02,1230446,336092.44,267400,254800.00,2.0,2.0,1718.0,6250.0,301581.0,27,23,2019,1.0,5.0,1.0,254900.0
4704,2019-10-02,1229975,10337.86,138509,10337.86,4.0,2.0,2122.0,8493.0,295691.0,27,27,2019,1.0,2.0,1.0,65800.0
4729,2019-10-01,1229747,211106.48,167606,171900.00,4.0,2.0,1104.0,8851.44,273956.0,94,38,2018,1.0,3.0,1.0,176600.0
4791,2019-10-01,1229769,391347.55,297099,320000.00,4.0,2.0,2004.0,5400.0,372005.0,94,49,2018,1.0,10.5,1.0,320100.0
4796,2019-10-01,1212629,369243.38,349818,242416.43,4.0,2.0,1961.0,10133.1,399345.0,94,21,2017,1.0,2.0,1.0,323900.0
4835,2019-09-25,1227722,69936.03,429030,76082.60,3.0,2.0,3760.0,7600.0,337100.0,42,22,2017,1.0,4.0,3.0,265900.0
4953,2019-09-16,1226215,487378.96,323570,286026.09,5.0,3.0,2132.0,8098.0,372359.0,68,2,2008,0.0,4.0,9.0,316200.0
4975,2019-09-16,1225547,334789.8,282486,178301.20,3.0,2.0,2100.0,8280.0,369344.0,68,27,2017,1.0,4.0,3.0,271400.0
4979,2019-09-16,1218906,189116.64,274975,194888.24,5.0,2.0,1584.0,15000.0,341242.0,68,15,2016,0.0,6.5,3.0,254200.0
4988,2019-09-16,1219553,377397.77,169918,206275.78,3.0,2.0,1148.0,6600.0,253443.0,68,7,2014,1.0,8.0,4.0,222100.0
5002,2019-09-11,1224388,149694.83,188914,154471.47,3.0,2.0,1650.0,7500.0,277443.0,17,11,2018,0.0,3.0,2.0,221100.0
5033,2019-09-10,1226446,14217.78,226416,14217.78,4.0,3.0,1958.0,6324.0,290312.0,36,33,2019,1.0,1.0,1.0,28600.0
5056,2019-09-09,1216171,416548.75,255594,248800.00,3.0,1.0,1488.0,5400.0,327615.0,79,15,2015,0.0,3.0,2.0,248900.0
5062,2019-09-09,1226473,555465.4,225000,200060.18,3.0,2.0,1670.0,1800.0,295405.0,79,23,2016,1.0,5.0,1.0,236100.0
5063,2019-09-09,1226997,505126.16,186689,187500.00,2.0,1.0,1007.0,5650.0,267665.0,79,52,2018,0.0,2.0,1.0,233900.0
5094,2019-09-09,1226411,480850.07,257840,296000.00,3.0,2.0,1122.0,10250.0,352952.0,79,77,2019,0.0,3.0,1.0,296100.0
5100,2019-09-09,1222578,276759.56,192354,206000.00,4.0,2.0,1200.0,8250.0,267620.0,79,21,2015,0.0,7.0,2.0,218100.0
5221,2019-08-28,1212041,329849.34,189280,189000.00,3.0,2.0,1205.0,8500.0,278588.0,46,17,2016,0.0,4.0,1.0,231800.0
5238,2019-08-28,1224934,459304.69,274706,253875.00,3.0,2.0,1561.0,5135.0,354191.0,46,20,2017,1.0,4.0,2.0,263100.0
5258,2019-08-27,1224382,486560.17,337528,278000.00,3.0,1.0,2141.0,9375.0,402808.0,32,20,2018,0.0,4.0,2.0,300100.0
5269,2019-08-27,1224933,353639.28,338985,356677.12,6.0,4.0,2300.0,7830.0,463204.0,32,23,2018,0.0,4.0,1.0,356700.0
5294,2019-08-26,1216124,245423.17,264256,249815.16,3.0,1.0,1166.0,8708.7,311782.0,84,63,2018,1.0,4.0,1.0,297600.0
5307,2019-08-26,1220151,83622.84,334383,95839.88,5.0,3.0,2265.0,6750.0,441638.0,84,29,2016,1.0,1.0,6.0,356800.0
5324,2019-08-26,1224120,362837.78,171017,54900.00,3.0,2.0,1263.0,4500.0,241890.0,84,38,2017,1.0,3.0,2.0,157100.0
5336,2019-08-26,1221962,263394.42,250042,182702.30,3.0,2.0,1888.0,1.0,299214.0,84,11,2014,1.0,4.0,1.0,210900.0
5382,2019-08-21,1222018,191838.9,194125,196354.51,2.0,1.0,880.0,5520.0,251724.0,27,27,2019,0.0,4.0,1.0,223000.0
5395,2019-08-20,1222384,199758.35,177500,179820.00,3.0,2.0,1850.0,2959.0,224000.0,24,11,2017,1.0,4.0,2.0,179900.0
5404,2019-08-20,1215045,318719.18,248895,260000.00,3.0,1.0,1498.0,7800.0,345200.0,24,16,2018,1.0,9.0,2.0,263100.0
5425,2019-08-19,1221481,326347.93,405615,342935.69,4.0,3.0,2409.0,7867.0,501493.0,75,6,2013,1.0,5.0,4.0,352100.0
5427,2019-08-19,1223212,325511.55,179986,179520.81,3.0,2.0,1084.0,7500.0,251186.0,75,31,2017,0.0,4.0,1.0,198300.0
5448,2019-08-19,1219176,111487.77,149500,115901.68,2.0,1.0,939.0,7000.0,213543.0,75,63,2018,1.0,1.0,2.0,116000.0
5463,2019-08-19,1210060,312389.98,239609,176001.00,3.0,2.0,1211.0,8124.0,278633.0,75,37,2017,1.0,4.0,1.0,244000.0
5516,2019-08-13,1223189,487856.55,392316,268320.00,3.0,2.0,2187.0,11050.0,443944.0,22,18,2018,0.0,8.0,1.0,286500.0
5592,2019-08-06,1215735,189960.77,231537,236615.71,3.0,2.0,1786.0,5916.0,299960.0,37,17,2016,1.0,1.0,6.0,268100.0
5698,2019-07-31,1216360,148733.0,156848,129500.00,4.0,2.0,1475.0,4866.0,231280.0,16,4,2015,1.0,3.0,1.0,150100.0
5719,2019-07-30,1219765,527137.5,218228,237606.59,3.0,2.0,958.0,4500.0,334014.0,26,5,2015,1.0,8.0,2.0,255700.0
