,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
5551,2019-08-12,1223119,62989.67,103000,100.00,1.0,1.0,887.0,136260.0,61,7,2015,5.0,1.0,35100.0
5559,2019-08-12,1208778,240193.96,117251,124000.00,1.0,1.0,755.0,139798.0,61,6,2015,6.0,1.0,124100.0
5573,2019-08-12,1220899,299775.64,117000,118327.23,2.0,1.0,883.0,155709.0,61,10,2016,3.0,3.0,118400.0
5582,2019-08-07,1222008,95952.35,123074,99202.35,2.0,1.0,910.0,164655.0,10,10,2019,1.0,1.0,124100.0
5597,2019-08-06,1220857,192429.48,115500,91000.00,2.0,2.0,980.0,278500.0,37,33,2019,6.0,1.0,116200.0
5610,2019-08-06,1220679,159183.2,122000,121500.00,2.0,2.0,780.0,144646.0,37,25,2018,3.0,1.0,121600.0
5628,2019-08-05,1217758,168266.27,230565,170466.27,2.0,2.0,963.0,279487.0,68,62,2019,3.0,1.0,191300.0
5643,2019-08-05,1220138,485343.49,248000,251933.96,1.0,2.0,1290.0,348084.0,68,38,2018,7.0,1.0,252600.0
5652,2019-08-05,1221758,166283.26,121000,112000.00,2.0,1.0,971.0,329200.0,68,66,2019,7.0,1.0,120100.0
5687,2019-08-05,1221761,194169.31,125840,112700.00,1.0,1.0,811.0,163680.0,68,63,2019,3.0,1.0,121300.0
5775,2019-07-29,1220686,159660.52,120000,90350.00,2.0,1.0,1035.0,271700.0,75,72,2019,2.0,1.0,98400.0
5900,2019-07-22,1218847,179368.89,169500,156000.00,3.0,2.0,1055.0,212471.0,87,82,2019,4.0,1.0,156100.0
5905,2019-07-22,1217114,274096.09,141360,130500.00,2.0,1.0,832.0,181897.0,87,55,2018,8.0,1.0,130600.0
5920,2019-07-17,1218862,15265.71,406200,16600.00,2.0,2.0,1580.0,516436.0,28,26,2019,1.0,1.0,330000.0
5936,2019-07-16,1218766,249884.62,116550,91650.00,1.0,1.0,1125.0,150144.0,36,36,2019,5.0,1.0,116400.0
