,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
11524,2018-09-18,1169841,47039.05,54600,47039.05,1.0,1.0,784.0,0.0,243200.0,78,66,2017,1.0,3.0,1.0,3600.0
11542,2018-09-18,1169443,330953.63,337976,330000.00,4.0,4.0,2094.0,8250.0,345987.0,78,54,2017,0.0,3.0,1.0,325100.0
11545,2018-09-18,1170211,627084.81,395118,374994.93,2.0,2.0,1280.0,0.0,571753.0,78,39,2016,1.0,6.0,1.0,300100.0
11581,2018-09-17,1155512,153210.08,122100,156538.17,1.0,1.0,978.0,0.0,142668.0,58,33,2016,1.0,3.0,2.0,100.0
11582,2018-09-17,1155513,475471.56,359850,448000.00,4.0,3.0,2136.0,7686.0,430612.0,58,26,2016,0.0,2.0,1.0,100.0
11584,2018-09-17,1162849,79813.99,159548,79813.99,0.0,0.0,0.0,7100.0,326900.0,58,41,2017,0.0,4.0,6.0,78900.0
11609,2018-09-12,1162142,944908.89,336648,976669.95,3.0,2.0,2300.0,8000.0,426850.0,70,25,2015,0.0,3.0,4.0,800100.0
11622,2018-09-12,1165829,506616.84,178000,192139.69,1.0,1.0,1005.0,0.0,218023.0,70,41,2016,1.0,7.0,1.0,100.0
11628,2018-09-12,1154424,195172.94,109200,117900.00,1.0,1.0,750.0,0.0,129341.0,70,49,2017,1.0,3.0,1.0,50100.0
11638,2018-09-12,1159310,817727.65,254000,830054.84,2.0,2.0,1116.0,0.0,383130.0,70,53,2017,1.0,3.0,1.0,100.0
11639,2018-09-12,1162141,462482.88,259793,225000.00,4.0,2.0,1977.0,9600.0,316260.0,70,47,2017,1.0,5.0,3.0,800.0
11653,2018-09-12,1153393,700527.98,365591,700527.98,4.0,2.0,2314.0,16303.0,541397.0,70,14,2014,0.0,3.0,4.0,320100.0
11668,2018-09-12,1165249,339756.06,154050,303500.00,2.0,1.0,1527.0,8475.0,349404.0,70,15,2014,0.0,1.0,6.0,300100.0
11675,2018-09-11,1163716,194162.58,121176,196440.22,2.0,1.0,814.0,6950.0,152180.0,91,27,2015,0.0,3.0,4.0,195100.0
11686,2018-09-11,1154421,573028.62,309558,353500.00,3.0,2.0,1657.0,7875.0,390039.0,91,23,2015,0.0,19.0,6.0,350100.0
11714,2018-09-11,1159136,526972.97,293159,280000.00,2.0,1.0,1612.0,7930.0,305837.0,91,43,2016,1.0,2.0,2.0,279100.0
11715,2018-09-11,1163729,184632.47,187920,187100.07,2.0,2.0,968.0,0.0,215756.0,91,77,2017,1.0,3.0,1.0,171100.0
11720,2018-09-11,1164999,503541.28,390435,503541.00,4.0,2.0,1800.0,13000.0,398155.0,91,15,2014,0.0,12.0,4.0,400100.0
11730,2018-09-11,1165247,286307.77,123000,156000.00,3.0,2.0,1519.0,0.0,164900.0,91,79,2017,1.0,5.0,1.0,155100.0
11733,2018-09-11,1163322,800964.38,370060,500000.00,4.0,2.0,2340.0,9296.16,481709.0,91,16,2014,1.0,5.0,3.0,490100.0
11772,2018-09-05,1167415,327350.01,161455,221000.00,2.0,2.0,1200.0,0.0,225249.0,52,19,2015,1.0,5.0,1.0,100.0
11793,2018-09-05,1157680,818900.14,375741,403500.00,4.0,3.0,2878.0,5529.0,492484.0,52,48,2017,0.0,4.0,3.0,178400.0
11800,2018-09-05,1166113,269319.37,162545,202406.36,1.0,1.0,507.0,0.0,228473.0,52,30,2016,1.0,8.0,1.0,200100.0
11821,2018-09-04,1146780,332329.91,144000,333320.49,2.0,2.0,937.0,0.0,223372.0,35,16,2016,1.0,11.0,1.0,160100.0
11843,2018-08-29,1165725,461693.99,410001,400000.00,4.0,3.0,2468.0,1469.0,539183.0,46,46,2018,0.0,1.0,1.0,100.0
11850,2018-08-29,1164391,663988.96,466219,497700.00,3.0,2.0,1916.0,6343.75,761554.0,46,33,2017,0.0,8.0,1.0,400100.0
11857,2018-08-29,1165080,204958.44,127000,158000.00,1.0,1.0,710.0,0.0,157208.0,46,37,2017,1.0,8.0,1.0,200.0
11865,2018-08-29,1165730,404436.41,233857,271000.00,4.0,2.0,1820.0,5500.0,290582.0,46,14,2015,1.0,3.0,4.0,250100.0
11872,2018-08-29,1165406,151385.9,102463,151385.90,1.0,1.0,730.0,0.0,130901.0,46,44,2018,1.0,3.0,2.0,300.0
11884,2018-08-28,1163738,27285.96,98400,27600.00,2.0,2.0,1050.0,0.0,126489.0,92,45,2016,1.0,2.0,1.0,18100.0
11886,2018-08-28,1165695,207180.41,107415,115900.00,1.0,1.0,750.0,0.0,262500.0,92,43,2016,1.0,7.0,1.0,114100.0
11890,2018-08-28,1164849,260735.32,65982,71000.00,1.0,1.0,658.0,0.0,75006.0,92,71,2017,1.0,3.0,1.0,70100.0
11900,2018-08-28,1163913,481967.9,166950,224000.00,2.0,2.0,963.0,0.0,215344.0,92,74,2017,1.0,5.0,1.0,223100.0
11911,2018-08-28,1164394,156888.04,107900,100080.00,1.0,1.0,669.0,0.0,130495.0,92,3,2010,1.0,4.0,1.0,99100.0
11915,2018-08-28,1163896,239543.06,176800,197000.00,3.0,2.0,1190.0,0.0,189754.0,92,64,2017,1.0,8.0,1.0,195100.0
11927,2018-08-28,1163898,980348.78,753067,985348.78,5.0,4.0,3568.0,16609.0,1008810.0,92,30,2015,1.0,2.5,2.0,708300.0
