,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
15323,2018-03-28,1139736,428280.81,226904,197704.56,4.0,3.0,2627.0,7483.0,276253.0,33,25,2017,1.0,6.0,2.0,1.0
15325,2018-03-28,1138928,127998.21,315730,69882.17,3.0,3.0,1854.0,9000.0,343600.0,33,30,2017,0.0,4.0,1.0,1.0
15328,2018-03-28,1139469,300098.67,213510,225000.00,3.0,2.0,1183.0,1.0,224630.0,33,11,2015,1.0,3.0,5.0,1.0
15339,2018-03-27,1139144,79813.99,159548,79813.99,0.0,0.0,0.0,7100.0,314500.0,50,47,2017,0.0,4.0,6.0,0.0
15345,2018-03-27,1138702,396139.34,274232,256500.00,3.0,1.0,1794.0,10125.0,317010.0,50,15,2013,0.0,2.0,3.0,1.0
15349,2018-03-27,1135169,926828.91,512353,616847.50,3.0,3.0,2542.0,6378.75,940918.0,50,17,2014,0.0,3.0,7.0,0.0
15351,2018-03-27,1138938,373088.94,298596,358174.83,4.0,3.0,2146.0,4080.0,350361.0,50,34,2016,1.0,4.0,4.0,0.0
15356,2018-03-27,1138343,377881.25,315365,339578.50,4.0,2.0,1759.0,7500.0,324662.0,50,14,2013,0.0,4.0,4.0,0.0
15358,2018-03-27,1138492,134782.2,300668,142439.76,3.0,1.0,2221.0,7875.0,404851.0,50,18,2014,0.0,14.0,10.0,0.0
15359,2018-03-27,1135196,228145.61,153481,235145.61,3.0,2.0,1414.0,7500.0,357656.0,50,44,2017,1.0,3.0,8.0,0.0
15360,2018-03-27,1139729,141738.62,141141,94900.00,3.0,1.0,998.0,5500.0,149382.0,50,16,2013,0.0,3.0,3.0,0.0
15365,2018-03-27,1139134,225815.62,238650,225815.62,2.0,1.0,2334.0,9750.33,280757.0,50,50,2017,0.0,2.0,2.0,0.0
