,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
6428,2019-06-19,1211466,11182.73,205350,11182.73,4.0,3.0,1712.0,1832.0,266003.0,17,16,2018,1.0,1.0,2.0,1.0
6430,2019-06-19,1214561,315481.92,228351,317797.67,3.0,2.0,1449.0,2688.0,293475.0,17,10,2018,1.0,6.0,1.0,1.0
6431,2019-06-19,1214516,343435.33,352604,367384.10,3.0,2.0,1610.0,7500.0,391200.0,17,7,2017,0.0,3.0,1.0,1.0
6436,2019-06-18,1212262,145852.07,167500,145852.07,0.0,0.0,1232.0,0.0,223414.0,31,17,2017,1.0,3.0,5.0,0.0
6438,2019-06-18,1213776,513960.57,143900,201600.00,2.0,2.0,1325.0,5000.0,257137.0,31,6,2012,0.0,2.0,6.0,1.0
6440,2019-06-18,1205339,539066.98,304648,234090.00,3.0,2.0,2260.0,6750.0,416274.0,31,20,2017,0.0,8.5,1.0,1.0
6441,2019-06-18,1212694,114001.96,183148,116233.39,3.0,2.0,1357.0,5999.0,269164.0,31,27,2018,0.0,7.0,2.0,1.0
6442,2019-06-18,1212609,335622.34,132000,129600.00,2.0,2.0,897.0,0.0,168108.0,31,14,2016,1.0,6.0,2.0,1.0
6443,2019-06-18,1212716,926828.91,512353,1070455.45,3.0,3.0,2542.0,6378.75,987443.0,31,10,2014,0.0,3.0,7.0,0.0
6449,2019-06-18,1214325,618013.08,179584,310500.00,5.0,3.0,2132.0,6972.0,386508.0,31,24,2018,0.0,2.0,2.0,1.0
6453,2019-06-18,1212337,105325.64,183361,133022.24,2.0,2.0,1434.0,4700.0,277787.0,31,12,2016,1.0,2.0,4.0,1.0
6456,2019-06-18,1212495,508689.81,343105,338800.00,4.0,2.0,1997.0,6301.0,415638.0,31,15,2016,0.0,2.0,4.0,1.0
6458,2019-06-18,1212330,460260.05,278585,581017.65,3.0,2.0,2184.0,3384.0,202300.0,31,8,2013,1.0,5.0,7.0,0.0
6466,2019-06-17,1209468,231500.57,216741,257077.44,3.0,2.0,1170.0,2700.0,313292.0,84,14,2014,1.0,5.0,3.0,1.0
6467,2019-06-17,1214312,144611.63,108989,115800.00,2.0,2.0,1064.0,0.0,184742.0,84,63,2018,1.0,19.0,1.0,1.0
6468,2019-06-17,1198591,714148.3,330502,430000.00,4.0,2.0,2123.0,5930.0,407647.0,84,52,2017,1.0,6.0,1.0,1.0
6473,2019-06-17,1209244,863730.43,294391,921922.65,3.0,2.0,2376.0,84070.8,474301.0,84,20,2015,0.0,2.0,3.0,1.0
6474,2019-06-17,1212334,29175.08,35372,14000.00,1.0,1.0,650.0,0.0,89288.0,84,48,2017,1.0,1.0,2.0,0.0
6483,2019-06-17,1206072,746999.27,321335,431100.00,5.0,3.0,2962.0,6018.0,482232.0,84,18,2015,1.0,4.0,4.0,1.0
6485,2019-06-17,1194357,602187.61,258924,552500.00,4.0,2.0,2401.0,9375.0,604031.0,84,66,2018,1.0,2.0,2.0,0.0
6486,2019-06-17,1213027,15113.58,424040,10113.58,2.0,2.0,1134.0,0.0,407100.0,84,76,2018,1.0,1.0,2.0,1.0
6490,2019-06-17,1213408,520073.67,160494,292100.00,3.0,2.0,1876.0,5278.0,328758.0,84,19,2015,1.0,6.5,8.0,0.0
6494,2019-06-17,1211037,191584.83,174190,176384.79,1.0,1.0,702.0,0.0,219532.0,84,72,2018,1.0,3.0,2.0,1.0
6497,2019-06-17,1209477,728154.42,411029,253553.00,4.0,2.0,2664.0,7035.0,483110.0,84,32,2016,1.0,3.0,5.0,0.0
6498,2019-06-17,1198579,178112.25,93220,98000.00,1.0,1.0,630.0,0.0,123472.0,84,51,2017,1.0,6.0,1.0,1.0
6503,2019-06-17,1211791,251532.57,129390,168000.00,2.0,2.0,1135.0,0.0,156117.0,84,61,2018,1.0,5.0,1.0,1.0
6510,2019-06-17,1210030,492984.81,300366,224996.59,3.0,2.0,1161.0,9000.0,384788.0,84,80,2018,1.0,3.0,1.0,1.0
6513,2019-06-17,1209444,252929.47,222592,251000.00,3.0,3.0,2194.0,8025.0,238000.0,84,50,2017,0.0,5.0,4.0,1.0
6514,2019-06-17,1213356,1931778.55,1227300,1983760.93,5.0,6.0,4320.0,0.0,2070434.0,84,25,2016,1.0,4.0,2.0,1.0
6518,2019-06-17,1209435,503299.46,305486,534978.86,4.0,2.0,2105.0,3093.0,399415.0,84,36,2017,1.0,4.0,4.0,1.0
6519,2019-06-17,1209623,1199850.09,722865,470000.00,4.0,4.0,4794.0,29800.0,875912.0,84,9,2012,0.0,6.0,4.0,1.0
6520,2019-06-17,1206071,94322.53,118028,505322.53,3.0,2.0,1684.0,9660.0,345991.0,84,44,2017,1.0,3.0,3.0,0.0
6525,2019-06-17,1209112,171482.2,245219,212156.27,3.0,2.0,1615.0,5600.0,327133.0,84,11,2013,1.0,2.0,8.0,0.0
6526,2019-06-17,1198576,189116.64,274975,193461.64,5.0,2.0,1584.0,15000.0,343027.0,84,27,2016,0.0,6.5,3.0,0.0
6531,2019-06-17,1212861,1060792.37,60345,28678.00,0.0,0.0,0.0,4796.0,223000.0,84,82,2018,0.0,1.0,1.0,1.0
6532,2019-06-17,1213354,77130.78,148500,77564.64,2.0,1.0,1934.0,7000.0,265794.0,84,47,2017,0.0,5.0,4.0,0.0
6533,2019-06-17,1198427,277388.4,193046,171873.79,3.0,2.0,1379.0,7950.0,254049.0,84,15,2014,1.0,9.0,1.0,1.0
6534,2019-06-17,1209646,1016610.61,625300,1016610.61,2.0,2.0,1298.0,0.0,721885.0,84,79,2018,0.0,6.0,1.0,1.0
6537,2019-06-12,1197912,167126.52,224768,171018.10,3.0,2.0,2095.0,6890.0,307638.0,22,5,2017,0.0,1.0,1.0,0.0
6539,2019-06-12,1213090,513265.53,261503,278700.00,3.0,1.0,1444.0,9360.0,319201.0,22,21,2018,0.0,4.0,4.0,0.0
6540,2019-06-12,1208513,398857.98,386496,411000.00,4.0,3.0,2175.0,6041.0,466587.0,22,3,2014,0.0,3.0,6.0,1.0
6548,2019-06-12,1203969,53373.59,35485,53877.33,2.0,1.0,730.0,3600.0,152937.0,22,13,2018,0.0,3.0,1.0,0.0
6549,2019-06-12,1213099,106089.49,185000,106089.49,2.0,2.0,1078.0,1126.0,210371.0,22,15,2018,1.0,4.0,1.0,1.0
6550,2019-06-12,1212039,1084598.79,589597,1213823.17,3.0,3.0,2486.0,8250.0,769537.0,22,1,2010,0.0,4.0,4.0,1.0
6552,2019-06-12,1213086,354423.16,313000,356656.16,4.0,3.0,2277.0,2100.0,396907.0,22,20,2018,1.0,3.0,1.0,1.0
6561,2019-06-11,1211510,228650.65,155500,139900.00,3.0,3.0,1428.0,1800.0,187456.0,24,5,2015,1.0,12.0,2.0,1.0
6565,2019-06-11,1209624,194416.85,119100,163000.00,2.0,2.0,925.0,0.0,159862.0,24,18,2018,1.0,7.0,1.0,1.0
6566,2019-06-11,1213072,13108.94,73509,13600.00,1.0,1.0,1036.0,0.0,94803.0,24,21,2018,1.0,1.0,1.0,1.0
6570,2019-06-11,1212605,251684.5,138819,251684.50,3.0,2.0,958.0,4500.0,320254.0,24,8,2016,1.0,6.0,3.0,0.0
6571,2019-06-11,1197768,179409.73,139939,184514.48,2.0,1.0,1410.0,7875.0,221263.0,24,15,2018,1.0,3.0,4.0,0.0
6572,2019-06-11,1209626,470041.51,150012,470041.51,3.0,2.0,1333.0,6330.0,321250.0,24,7,2016,1.0,4.0,3.0,0.0
6579,2019-06-11,1212885,604504.19,266234,301000.00,4.0,2.0,2440.0,5601.0,330290.0,24,14,2017,1.0,1.5,1.0,1.0
6587,2019-06-10,1208894,869101.13,750455,829000.00,8.0,8.0,5249.0,5650.0,229900.0,77,74,2018,0.0,4.0,1.0,1.0
6596,2019-06-10,1208525,358642.32,269804,377743.31,5.0,3.0,1990.0,9375.0,209500.0,77,15,2016,0.0,5.0,3.0,0.0
6597,2019-06-10,1211724,162359.25,292464,165294.72,3.0,2.0,1735.0,6695.0,371524.0,77,63,2018,1.0,3.0,2.0,1.0
6600,2019-06-10,1208527,346538.23,260652,288640.00,3.0,2.0,1396.0,3000.0,329358.0,77,43,2017,1.0,11.0,2.0,0.0
6602,2019-06-10,1212456,11482.91,192500,11482.91,3.0,2.0,1705.0,1760.0,250967.0,77,12,2016,1.0,2.0,6.0,1.0
6613,2019-06-10,1208760,350544.7,241818,282000.00,2.0,1.0,945.0,7875.0,273366.0,77,52,2018,0.0,11.0,1.0,1.0
6614,2019-06-10,1208067,447416.06,99594,222750.00,3.0,2.0,1502.0,5250.0,288369.0,77,31,2017,0.0,4.0,3.0,0.0
6617,2019-06-10,1211761,164932.13,74120,166653.08,3.0,2.0,1090.0,0.0,210264.0,77,75,2018,1.0,7.0,1.0,0.0
6619,2019-06-10,1208743,185916.48,155898,194976.69,2.0,1.0,1734.0,11825.0,376333.0,77,32,2017,1.0,3.0,2.0,0.0
6620,2019-06-10,1212869,476922.69,322050,403000.00,0.0,1.0,1267.0,0.0,404563.0,77,42,2017,1.0,4.0,1.0,1.0
6631,2019-06-10,1197425,465113.54,240841,277345.00,2.0,1.0,1080.0,6420.0,340206.0,77,4,2013,1.0,6.0,1.0,1.0
6639,2019-06-10,1210158,207839.95,158000,131000.00,2.0,2.0,936.0,1856.0,200543.0,77,39,2017,1.0,7.0,1.0,1.0
6642,2019-06-10,1210601,411187.29,304237,302000.00,3.0,2.0,1402.0,4820.0,287600.0,77,17,2016,1.0,19.0,1.0,1.0
6647,2019-06-10,1210567,481087.39,430000,449900.00,2.0,2.0,1190.0,0.0,489057.0,77,51,2018,1.0,2.0,1.0,1.0
6649,2019-06-10,1212867,190521.82,152616,191879.98,3.0,2.0,1578.0,5250.0,214767.0,77,64,2018,1.0,1.0,1.0,1.0
6651,2019-06-05,1210417,416231.0,240706,555113.77,3.0,2.0,1100.0,7420.0,353457.0,45,2,2010,0.0,9.0,4.0,1.0
6658,2019-06-05,1210207,189967.74,215280,195540.69,3.0,2.0,1420.0,0.0,288414.0,45,35,2018,1.0,5.0,3.0,1.0
6666,2019-06-05,1210382,654577.48,417854,412250.00,4.0,4.0,2964.0,7125.0,502377.0,45,24,2017,1.0,5.0,2.0,1.0
6679,2019-06-05,1210598,540021.21,239209,250750.00,4.0,3.0,1936.0,5335.0,299210.0,45,38,2018,0.0,4.0,2.0,1.0
6681,2019-06-05,1210365,33949.01,327000,33949.01,4.0,3.0,2306.0,2275.0,395608.0,45,17,2016,0.0,1.0,2.0,1.0
6682,2019-06-05,1211684,434422.33,209546,438091.73,3.0,1.0,1163.0,7600.0,260105.0,45,25,2017,1.0,5.0,1.0,1.0
6695,2019-06-04,1201340,375035.7,121189,212800.00,3.0,2.0,1470.0,5000.0,222845.0,21,16,2018,0.0,10.0,1.0,1.0
6710,2019-06-03,1211802,638662.22,255929,643030.67,2.0,1.0,1226.0,8625.0,346038.0,88,70,2018,0.0,4.0,1.0,1.0
6718,2019-06-03,1196692,364952.13,142500,373121.80,2.0,2.0,1431.0,1720.0,164484.0,88,49,2017,1.0,4.0,1.0,1.0
6727,2019-06-03,1211700,299830.21,230416,302050.17,1.0,1.0,799.0,0.0,367500.0,88,81,2018,1.0,4.0,1.0,1.0
6728,2019-06-03,1211097,428956.44,134949,328000.00,4.0,2.0,2020.0,4500.0,359753.0,88,58,2018,0.0,3.0,3.0,1.0
6729,2019-06-03,1211232,603440.51,365640,441600.00,2.0,2.0,1318.0,0.0,474319.0,88,48,2017,1.0,3.0,3.0,1.0
6730,2019-06-03,1211694,220586.83,127009,162000.00,2.0,2.0,1023.0,0.0,153652.0,88,61,2018,1.0,2.0,1.0,1.0
6733,2019-06-03,1207253,337553.98,249258,270000.00,3.0,2.0,1170.0,4122.0,317981.0,88,28,2016,0.0,20.0,7.0,0.0
6734,2019-06-03,1209384,318114.86,240000,217500.00,4.0,2.0,1672.0,1692.0,255300.0,88,11,2014,1.0,11.0,9.0,1.0
6737,2019-06-03,1196418,298101.56,48564,305809.06,2.0,2.0,1332.0,0.0,166804.0,88,47,2017,1.0,3.0,3.0,0.0
6741,2019-06-03,1211810,140009.11,342219,140182.56,3.0,2.0,2477.0,7500.0,454214.0,88,55,2018,1.0,5.0,1.0,1.0
6745,2019-06-03,1211842,424454.14,179341,149850.00,3.0,2.0,1748.0,7500.0,270342.0,88,78,2018,0.0,4.0,1.0,1.0
6752,2019-06-03,1196766,285954.37,204237,260000.00,3.0,2.0,1195.0,4397.0,269545.0,88,39,2017,1.0,4.0,1.0,1.0
6756,2019-06-03,1207224,392444.41,342854,255300.00,2.0,2.0,1464.0,0.0,364700.0,88,34,2017,1.0,7.0,3.0,1.0
6765,2019-06-03,1210028,896741.32,492000,904489.00,1.0,1.0,851.0,0.0,592016.0,88,7,2012,1.0,6.0,2.0,0.0
6769,2019-06-03,1211860,300008.32,245835,272000.00,3.0,2.0,1277.0,3395.0,323276.0,88,68,2018,1.0,6.5,1.0,1.0
6774,2019-06-03,1211770,255741.63,138542,145800.00,3.0,2.0,976.0,8720.0,246400.0,88,74,2018,1.0,11.0,1.0,1.0
6784,2019-05-29,1209364,341966.65,171249,173000.00,3.0,2.0,1349.0,6700.0,286588.0,19,2,2015,1.0,6.0,16.0,0.0
6788,2019-05-29,1209731,328629.72,391632,360450.00,5.0,4.0,2952.0,5000.0,480460.0,19,4,2016,0.0,5.0,5.0,0.0
6791,2019-05-29,1196017,283182.04,87032,177781.00,3.0,1.0,1284.0,9375.0,263481.0,19,15,2018,0.0,3.0,1.0,0.0
6793,2019-05-29,1196372,67856.23,64600,70008.76,2.0,2.0,1360.0,0.0,110364.0,19,12,2017,1.0,3.0,1.0,1.0
6794,2019-05-29,1209636,493720.36,282294,493720.36,2.0,2.0,2700.0,54450.0,411003.0,19,13,2017,0.0,19.0,6.0,0.0
6798,2019-05-29,1196016,59671.77,127500,61621.46,3.0,2.0,1006.0,7481.25,237000.0,19,14,2018,1.0,2.0,1.0,1.0
6799,2019-05-29,1196027,144871.19,194300,149054.95,2.0,2.0,996.0,0.0,205439.0,19,9,2017,1.0,2.5,1.0,1.0
6808,2019-05-28,1206919,252883.22,124900,117334.00,3.0,2.0,1195.0,0.0,170686.0,98,65,2018,1.0,4.0,1.0,1.0
6810,2019-05-28,1206565,692753.38,172000,155295.00,4.0,3.0,1661.0,1760.0,219458.0,98,80,2018,1.0,4.0,1.0,1.0
6811,2019-05-28,1206602,221810.49,278622,224630.97,3.0,2.0,1741.0,8100.0,331841.0,98,97,2019,0.0,7.0,1.0,0.0
6814,2019-05-28,1209001,2082988.14,995775,2202165.02,3.0,3.0,2343.0,0.0,1418768.0,98,33,2016,1.0,4.0,3.0,1.0
6815,2019-05-28,1210032,395597.63,152711,398830.93,3.0,2.0,1567.0,7500.0,285504.0,98,14,2014,0.0,2.0,3.0,0.0
6819,2019-05-28,1206526,301417.06,284728,307716.65,2.0,2.0,1139.0,0.0,382189.0,98,76,2018,1.0,8.0,3.0,0.0
6825,2019-05-28,1210205,657104.96,378368,475000.00,4.0,2.0,2496.0,9296.16,493411.0,98,16,2014,1.0,9.0,2.0,1.0
6826,2019-05-28,1208083,288085.68,185816,315491.66,0.0,1.0,795.0,0.0,407700.0,98,25,2015,1.0,8.0,5.0,1.0
6828,2019-05-28,1199324,1012276.68,571887,1058649.04,4.0,3.0,1914.0,9533.0,699851.0,98,50,2017,1.0,7.0,4.0,0.0
6829,2019-05-28,1200393,446189.89,287000,359000.00,3.0,3.0,1863.0,2101.0,357541.0,98,56,2017,1.0,7.5,1.0,1.0
6831,2019-05-28,1208689,1010230.09,749206,810000.00,4.0,3.0,3505.0,40528.0,1166274.0,98,20,2015,0.0,4.0,6.0,0.0
6832,2019-05-28,1210357,437201.51,353976,371888.00,4.0,3.0,2236.0,6242.0,389748.0,98,27,2016,1.0,7.0,7.0,1.0
6835,2019-05-28,1210603,155651.88,55967,26400.00,1.0,1.0,423.0,0.0,102295.0,98,93,2018,1.0,4.0,2.0,0.0
6836,2019-05-28,1210053,12829.65,253508,12829.65,5.0,2.0,2492.0,4355.0,313234.0,98,64,2018,1.0,1.0,1.0,1.0
6837,2019-05-28,1210372,2603877.28,72360,2603877.28,0.0,0.0,0.0,94525.2,980261.0,98,72,2018,0.0,7.0,1.0,1.0
6843,2019-05-28,1210208,405157.28,326199,369870.00,3.0,2.0,2232.0,5000.0,418469.0,98,3,2009,1.0,7.0,1.0,1.0
6850,2019-05-28,1204977,218307.67,116000,140000.00,1.0,1.0,725.0,0.0,356000.0,98,15,2014,1.0,11.0,1.0,1.0
6864,2019-05-28,1208888,192533.55,109290,139000.00,2.0,2.0,960.0,0.0,140557.0,98,55,2017,1.0,4.0,1.0,1.0
6865,2019-05-28,1208936,473225.73,257402,243069.23,3.0,2.0,1668.0,5000.0,376100.0,98,79,2018,0.0,5.0,5.0,0.0
6868,2019-05-28,1211233,481358.53,222770,232900.00,2.0,2.0,1090.0,0.0,378453.0,98,1,2008,1.0,12.0,8.0,0.0
6903,2019-05-22,1208754,30070.4,59500,31309.40,2.0,2.0,960.0,0.0,91266.0,36,22,2017,1.0,2.0,3.0,1.0
6904,2019-05-22,1209964,75846.46,112000,75846.46,2.0,2.0,1370.0,0.0,142940.0,36,26,2018,1.0,1.0,1.0,1.0
6909,2019-05-22,1209265,95191.04,61140,7000.00,2.0,2.0,1077.0,0.0,166790.0,36,17,2017,1.0,3.0,3.0,0.0
6913,2019-05-22,1209996,263352.56,177950,160500.00,3.0,1.0,1485.0,7800.0,252331.0,36,3,2011,0.0,14.0,1.0,1.0
6916,2019-05-22,1210045,142855.71,125345,144114.99,2.0,1.0,1140.0,0.0,190398.0,36,32,2018,1.0,7.0,3.0,0.0
6919,2019-05-22,1208950,380970.18,206740,183622.75,2.0,2.0,1160.0,1495.0,244883.0,36,24,2017,1.0,5.0,1.0,1.0
6922,2019-05-21,1208227,32522.64,190400,41900.00,3.0,2.0,1688.0,0.0,249837.0,39,13,2015,1.0,2.0,4.0,1.0
6924,2019-05-21,1210061,1824333.72,542000,900000.00,2.0,2.0,1990.0,0.0,684275.0,39,27,2017,1.0,2.0,1.0,1.0
6927,2019-05-21,1208266,304233.81,281350,277400.00,3.0,1.0,1660.0,8580.0,338240.0,39,7,2012,0.0,1.0,1.0,1.0
6932,2019-05-21,1208184,517907.62,224708,279738.72,2.0,2.0,1450.0,12561.69,296140.0,39,22,2017,1.0,1.0,2.0,1.0
6939,2019-05-21,1210043,44326.33,216000,44990.51,1.0,1.0,969.0,0.0,259767.0,39,32,2018,1.0,1.0,1.0,1.0
6940,2019-05-21,1209375,666452.06,310712,829503.35,5.0,4.0,2647.0,14249.0,593544.0,39,4,2010,0.0,6.0,6.0,1.0
6942,2019-05-21,1209746,168125.42,130000,169459.78,1.0,1.0,710.0,0.0,163394.0,39,34,2018,1.0,5.0,2.0,0.0
6944,2019-05-21,1208895,828156.29,515013,505292.50,3.0,3.0,2146.0,3110.0,901500.0,39,3,2009,0.0,5.0,1.0,1.0
6945,2019-05-21,1208756,125908.77,234228,127222.98,3.0,2.0,1233.0,7500.0,329234.0,39,39,2018,1.0,6.0,1.0,1.0
6955,2019-05-21,1198938,910049.26,318475,942627.80,3.0,2.0,1407.0,5400.0,422204.0,39,15,2015,1.0,5.0,3.0,0.0
6956,2019-05-21,1207718,301024.18,309049,310543.39,2.0,2.0,1158.0,0.0,403721.0,39,38,2018,1.0,21.0,2.0,1.0
6961,2019-05-20,1204959,187029.3,126008,182304.00,3.0,2.0,1564.0,8160.0,331037.0,54,30,2017,0.0,4.0,5.0,0.0
6962,2019-05-20,1197291,812856.28,495208,842085.72,3.0,2.0,2632.0,26789.0,647839.0,54,36,2017,0.0,2.0,3.0,0.0
6963,2019-05-20,1205459,256666.89,247197,180000.00,4.0,2.0,1890.0,10275.0,274750.0,54,18,2016,0.0,4.0,1.0,1.0
6965,2019-05-20,1205652,203765.6,115816,203765.60,3.0,2.0,1414.0,7875.0,265467.0,54,42,2018,0.0,4.0,1.0,0.0
6971,2019-05-20,1194798,233619.36,141750,143500.00,2.0,2.0,1106.0,0.0,169882.0,54,38,2018,1.0,4.0,1.0,1.0
6979,2019-05-20,1209654,156098.9,191232,157082.05,2.0,2.0,1036.0,0.0,303844.0,54,52,2019,1.0,3.0,1.0,1.0
6980,2019-05-20,1198253,716795.54,362719,746188.96,3.0,2.0,1955.0,5000.0,652596.0,54,33,2017,0.0,3.0,2.0,0.0
6981,2019-05-20,1209643,261005.71,266378,261005.71,3.0,2.0,1463.0,7800.0,360857.0,54,50,2018,0.0,4.0,4.0,1.0
6985,2019-05-20,1209734,295396.32,142468,199000.00,2.0,2.0,1029.0,3825.0,208460.0,54,45,2018,1.0,6.0,1.0,1.0
6987,2019-05-20,1198284,481896.41,285334,323840.00,4.0,2.0,1674.0,9211.0,361013.0,54,26,2017,0.0,1.0,9.0,1.0
6995,2019-05-20,1207112,619296.11,425880,624988.31,1.0,1.0,896.0,0.0,499036.0,54,47,2018,1.0,4.0,1.0,1.0
6997,2019-05-20,1208260,2411707.13,2613600,2411707.13,5.0,5.0,3633.0,0.0,367300.0,54,53,2019,1.0,3.0,1.0,1.0
7000,2019-05-20,1209628,473316.6,207820,214200.00,0.0,0.0,1064.0,0.0,407700.0,54,31,2017,1.0,3.0,1.0,1.0
7009,2019-05-15,1209222,1055189.73,703900,1076420.73,2.0,2.0,1322.0,0.0,1044730.0,34,23,2018,1.0,8.0,4.0,0.0
7014,2019-05-15,1208783,46715.45,122000,47394.80,0.0,0.0,887.0,0.0,137825.0,34,22,2017,1.0,2.0,1.0,0.0
7016,2019-05-15,1207554,279887.5,240521,236523.00,1.0,1.0,945.0,0.0,488949.0,34,33,2018,1.0,4.0,1.0,1.0
7017,2019-05-15,1205522,484048.94,278263,303750.00,4.0,3.0,2534.0,7666.0,454277.0,34,7,2015,0.0,2.0,5.0,0.0
7018,2019-05-15,1208949,218180.28,220720,119900.00,3.0,1.0,1015.0,4300.0,256799.0,34,28,2018,1.0,10.0,4.0,0.0
7019,2019-05-15,1208672,546383.68,488653,502320.00,3.0,2.0,1949.0,5500.0,645511.0,34,3,2014,0.0,5.0,2.0,1.0
7021,2019-05-15,1207220,470677.96,217000,243600.00,3.0,3.0,1462.0,1.0,300689.0,34,25,2018,1.0,6.0,2.0,1.0
7022,2019-05-15,1208550,88199.8,174834,94615.08,3.0,1.0,1435.0,5250.0,233887.0,34,4,2015,0.0,5.0,3.0,0.0
7026,2019-05-15,1208887,337204.42,388705,337204.42,1.0,1.0,847.0,0.0,520665.0,34,34,2019,1.0,3.0,2.0,0.0
7037,2019-05-14,1193749,1012387.68,533126,573760.00,4.0,3.0,2655.0,15153.0,727766.0,23,12,2017,1.0,5.5,1.0,1.0
7043,2019-05-14,1197985,256751.2,140804,170000.00,2.0,2.0,900.0,0.0,166095.0,23,13,2017,1.0,5.0,1.0,1.0
7046,2019-05-14,1205331,245514.61,254151,247900.00,4.0,2.0,1475.0,3402.0,335443.0,23,8,2017,0.0,11.0,3.0,0.0
7054,2019-05-14,1208257,207755.41,233576,243012.30,3.0,2.0,1231.0,8250.0,252579.0,23,9,2017,0.0,3.0,4.0,1.0
7061,2019-05-13,1202932,615292.58,360270,600852.69,2.0,2.0,1397.0,0.0,600464.0,89,20,2015,1.0,4.0,10.0,0.0
7063,2019-05-13,1206864,123345.84,209313,124703.12,2.0,1.0,895.0,8550.0,294998.0,89,87,2018,0.0,2.0,1.0,1.0
7065,2019-05-13,1207794,180962.76,125474,182127.16,3.0,2.0,1972.0,7669.0,332041.0,89,14,2014,0.0,8.0,3.0,1.0
7068,2019-05-13,1207691,29640.95,153355,29640.95,4.0,3.0,2786.0,7699.0,340743.0,89,31,2016,1.0,1.0,3.0,0.0
7076,2019-05-13,1193347,235505.66,153768,242163.76,2.0,1.0,1024.0,108900.0,348803.0,89,68,2018,0.0,7.0,2.0,1.0
7078,2019-05-13,1193386,238935.88,156450,148982.73,2.0,2.0,845.0,0.0,198076.0,89,29,2016,1.0,4.0,1.0,1.0
7079,2019-05-13,1208710,822173.93,305493,339595.00,5.0,2.0,3004.0,6000.0,387251.0,89,16,2015,1.0,3.0,2.0,1.0
7083,2019-05-13,1206641,461257.55,443003,433000.00,5.0,4.0,2992.0,4891.0,635956.0,89,18,2015,0.0,5.0,3.0,0.0
7086,2019-05-13,1202754,338559.67,335525,344401.20,3.0,2.0,1812.0,6900.0,415600.0,89,46,2017,0.0,2.0,1.0,1.0
7087,2019-05-13,1202561,141348.68,194176,161348.68,3.0,2.0,1906.0,7446.0,286305.0,89,39,2017,1.0,2.0,3.0,0.0
7093,2019-05-13,1202738,345646.09,283781,446400.00,3.0,2.0,2351.0,7150.0,642418.0,89,3,2009,0.0,6.0,3.0,1.0
7102,2019-05-13,1206256,198651.7,279899,199189.15,3.0,1.0,1083.0,6000.0,360775.0,89,53,2017,1.0,6.0,1.0,1.0
7107,2019-05-13,1206535,18031.85,80000,18031.85,1.0,1.0,830.0,0.0,109544.0,89,84,2018,1.0,1.0,1.0,1.0
7109,2019-05-13,1202705,149694.83,188914,151330.31,3.0,2.0,1650.0,7500.0,265192.0,89,70,2018,0.0,3.0,2.0,1.0
7110,2019-05-13,1208676,273907.37,173345,219000.00,3.0,1.0,925.0,8460.0,234918.0,89,54,2017,0.0,8.5,1.0,1.0
7111,2019-05-13,1206909,450191.73,267064,301000.00,0.0,0.0,1398.0,0.0,332427.0,89,52,2017,1.0,4.0,1.0,1.0
7115,2019-05-13,1193325,366009.0,155500,167400.00,3.0,3.0,1428.0,1801.0,187980.0,89,62,2018,1.0,6.0,1.0,1.0
7116,2019-05-13,1206639,284166.23,139301,203000.00,2.0,1.0,1296.0,9450.0,213876.0,89,74,2018,1.0,4.0,1.0,1.0
7118,2019-05-13,1198919,104508.21,53848,131805.89,3.0,2.0,1491.0,1992.0,208764.0,89,7,2012,1.0,5.0,3.0,0.0
7120,2019-05-13,1200489,307512.1,299625,319800.00,3.0,1.0,1912.0,7500.0,364719.0,89,8,2012,0.0,3.0,6.0,0.0
7122,2019-05-13,1202737,104678.39,89500,93150.00,1.0,1.0,542.0,0.0,120023.0,89,73,2018,1.0,2.0,1.0,1.0
7127,2019-05-13,1208362,316400.76,364006,317897.43,4.0,3.0,2589.0,15128.0,570138.0,89,88,2018,0.0,4.0,3.0,0.0
7130,2019-05-13,1208677,226590.96,213805,216000.00,4.0,2.0,1363.0,9134.0,258856.0,89,11,2013,0.0,2.0,1.0,1.0
7131,2019-05-13,1208162,406097.98,410721,437763.59,3.0,2.0,1568.0,7125.0,516733.0,89,47,2017,0.0,6.0,3.0,1.0
7136,2019-05-13,1206141,533521.69,454514,539088.14,4.0,3.0,2527.0,8475.0,650659.0,89,5,2010,0.0,2.0,4.0,1.0
7138,2019-05-13,1203866,393485.04,390196,400513.77,5.0,3.0,2837.0,15002.0,490563.0,89,45,2017,0.0,3.0,3.0,0.0
7140,2019-05-13,1202706,117911.76,123200,116485.75,2.0,2.0,793.0,0.0,149142.0,89,63,2018,1.0,4.0,1.0,1.0
7141,2019-05-13,1197915,222127.04,110160,133000.00,2.0,2.0,1004.0,0.0,142791.0,89,56,2017,1.0,4.0,1.0,1.0
7144,2019-05-08,1197431,343512.2,255754,304000.00,3.0,2.0,2445.0,5000.0,327320.0,21,14,2017,1.0,10.0,1.0,1.0
7145,2019-05-08,1207538,332487.55,186515,334907.37,3.0,2.0,1665.0,7644.0,276724.0,21,17,2018,1.0,6.0,1.0,1.0
7147,2019-05-08,1207517,14390.83,266480,14390.83,4.0,2.0,2979.0,11302.0,401236.0,21,20,2018,0.0,2.0,1.0,0.0
