,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
1810,2020-03-31,1252456,206872.81,70682,2.0,2.0,1304.0,225921.0,54,19,2016,8.0,1.0,195000.00
1819,2020-03-31,1254735,378442.71,267009,2.0,2.0,1515.0,489172.0,54,46,2019,4.0,3.0,378442.71
1833,2020-03-30,1243789,303308.43,173567,1.0,1.0,816.0,355831.0,32,17,2018,4.0,2.0,303308.43
1839,2020-03-30,1249198,496834.0,473000,3.0,2.0,1458.0,448425.0,32,31,2019,3.0,2.0,496834.00
1858,2020-03-25,1251429,621241.69,276200,2.0,2.0,1175.0,317069.0,23,10,2018,5.0,2.0,621241.69
1886,2020-03-24,1243718,328052.71,393439,3.0,2.0,2440.0,553562.0,18,15,2018,3.0,2.0,328052.71
1902,2020-03-23,1252888,183397.42,66240,0.0,1.0,360.0,347606.0,64,34,2019,4.0,2.0,183397.42
1991,2020-03-17,1253783,537391.27,453000,3.0,2.0,1458.0,237770.0,30,26,2019,5.0,2.0,510000.00
2008,2020-03-16,1249567,76323.88,45362,2.0,2.0,990.0,99830.0,71,53,2019,2.0,1.0,64500.00
2009,2020-03-16,1247523,322636.44,93762,2.0,2.0,1317.0,135138.0,71,52,2019,3.0,2.0,328117.44
2044,2020-03-16,1249365,204674.57,75028,2.0,2.0,1155.0,135289.0,71,9,2014,4.0,2.0,93600.00
2052,2020-03-16,1252819,920891.81,519200,4.0,2.0,2830.0,860711.0,71,28,2017,10.0,3.0,564000.00
2069,2020-03-11,1252653,177773.94,140000,2.0,2.0,870.0,179454.0,16,15,2019,5.0,1.0,135000.00
2078,2020-03-10,1250856,480795.31,292193,2.0,2.0,1041.0,421984.0,55,18,2018,4.0,1.0,386000.00
2084,2020-03-10,1253058,306614.11,99189,2.0,2.0,1317.0,135138.0,55,25,2019,3.0,1.0,119250.00
2093,2020-03-10,1252852,1382370.94,550848,0.0,0.0,2869.0,417171.0,55,27,2019,3.0,1.0,665100.00
2099,2020-03-10,1251855,142855.71,125345,2.0,1.0,1140.0,192164.0,55,15,2018,7.0,3.0,133400.00
2131,2020-03-09,1246408,582550.18,307500,1.0,1.0,964.0,417171.0,66,20,2016,7.0,1.0,289827.24
2134,2020-03-09,1236871,185965.81,121000,1.0,1.0,810.0,372517.0,66,36,2018,4.0,2.0,120000.00
2171,2020-03-04,1252414,43419.12,673814,2.0,2.0,1595.0,964200.0,57,39,2019,1.0,1.0,43419.12
2179,2020-03-04,1251267,582842.9,185145,3.0,2.0,1232.0,423178.0,57,8,2017,6.0,1.0,378698.20
2193,2020-03-04,1251264,149656.91,92889,3.0,2.0,1407.0,195413.0,57,33,2018,4.0,3.0,157827.35
2220,2020-03-03,1243960,61071.39,160259,1.0,1.0,664.0,349384.0,8,7,2019,2.0,3.0,61071.39
2235,2020-03-02,1250828,265884.79,245610,2.0,2.0,1024.0,309272.0,59,55,2019,4.0,1.0,268204.86
2241,2020-03-02,1251486,79267.35,83037,2.0,2.0,750.0,294650.0,59,40,2019,2.0,1.0,80170.08
2245,2020-03-02,1239588,190510.64,4827646,5.0,6.0,6300.0,399926.0,59,15,2017,3.0,3.0,190510.64
2264,2020-03-02,1251471,103843.87,80000,1.0,1.0,898.0,112014.0,59,33,2018,3.0,1.0,104529.87
2280,2020-02-26,1250757,230599.48,215000,1.0,2.0,854.0,303539.0,30,27,2019,11.0,1.0,232494.75
2289,2020-02-26,1249987,422258.78,205373,3.0,2.0,1470.0,280154.0,30,5,2014,4.0,8.0,209901.75
2321,2020-02-24,1249468,80670.28,122222,3.0,2.0,1220.0,186826.0,56,49,2019,6.0,1.0,81754.67
2332,2020-02-24,1248226,44910.63,143000,4.0,2.0,1846.0,172700.0,56,14,2017,1.0,3.0,44910.63
2335,2020-02-24,1242936,200999.2,186910,2.0,2.0,914.0,324764.0,56,10,2016,4.0,2.0,208245.00
2336,2020-02-24,1249364,157106.69,90000,1.0,1.0,768.0,348200.0,56,43,2019,7.0,1.0,120000.00
2345,2020-02-24,1243150,34715.54,89000,2.0,2.0,1594.0,423862.0,56,42,2019,7.0,2.0,36107.23
2359,2020-02-24,1241445,632286.5,630785,2.0,2.0,1152.0,400600.0,56,54,2019,5.0,3.0,676844.64
2360,2020-02-24,1249818,9662.46,92988,2.0,2.0,1315.0,121477.0,56,56,2019,1.0,2.0,10100.00
2363,2020-02-24,1249947,107747.88,116676,2.0,1.0,981.0,309502.0,56,17,2017,2.0,2.0,20048.79
2364,2020-02-24,1249200,259748.37,148000,1.0,1.0,1230.0,176394.0,56,2,2011,6.0,1.0,139900.00
2378,2020-02-19,1248600,269354.26,91463,2.0,2.0,917.0,155708.0,36,3,2014,6.0,3.0,135000.00
2386,2020-02-19,1249208,3174627.44,876755,3.0,3.0,1641.0,400600.0,36,35,2019,4.5,1.0,887300.00
2391,2020-02-19,1250048,131682.31,62481,1.0,1.0,870.0,275600.0,36,24,2019,7.0,1.0,86450.00
2393,2020-02-19,1249604,439106.82,244207,2.0,2.0,1470.0,398686.0,36,29,2019,3.0,1.0,288750.00
2406,2020-02-18,1250227,145578.19,58509,2.0,1.0,1105.0,179176.0,99,45,2017,36.5,3.0,145578.19
2415,2020-02-18,1243071,320732.77,251000,1.0,1.0,740.0,283233.0,99,27,2016,3.0,1.0,320732.77
2536,2020-02-11,1249369,370931.36,258900,2.0,2.0,990.0,310234.0,10,8,2019,7.0,1.0,339000.00
2544,2020-02-10,1249357,235239.77,104509,1.0,1.0,639.0,137380.0,68,17,2016,11.0,1.0,108243.90
2577,2020-02-10,1250819,371189.96,266297,1.0,1.0,791.0,240996.0,68,36,2018,6.0,3.0,371189.96
2600,2020-02-05,1236058,217338.07,148547,3.0,2.0,1360.0,251375.0,28,10,2018,5.0,1.0,182992.11
2615,2020-02-05,1236217,217840.55,148500,1.0,1.0,757.0,167096.0,28,20,2018,3.0,1.0,139443.53
2643,2020-02-04,1236185,283325.68,112356,2.0,2.0,1061.0,168193.0,26,10,2017,5.0,1.0,121200.00
2687,2020-02-03,1247612,15232.85,91633,1.0,1.0,728.0,149012.0,63,39,2018,11.0,2.0,15395.76
2707,2020-01-29,1247644,120095.86,128000,0.0,1.0,518.0,179837.0,8,7,2019,4.0,1.0,124365.58
2713,2020-01-28,1243768,249195.34,117335,2.0,2.0,1030.0,189754.0,25,11,2016,3.0,6.0,278601.99
2722,2020-01-28,1244158,276110.62,346895,2.0,2.0,1111.0,418894.0,25,24,2019,4.0,1.0,285600.17
2726,2020-01-28,1243883,141467.05,111384,2.0,2.0,973.0,195087.0,25,1,2007,4.0,1.0,111610.86
2732,2020-01-27,1233527,280220.04,48194,2.0,2.0,890.0,271900.0,76,38,2018,3.0,1.0,117450.00
2756,2020-01-27,1235034,144317.0,118320,3.0,2.0,1255.0,195042.0,76,64,2019,4.0,1.0,133000.00
2762,2020-01-27,1246349,1207362.41,608000,2.0,2.0,1602.0,913426.0,76,66,2019,2.0,1.0,720000.00
2767,2020-01-27,1242911,193976.85,106080,2.0,2.0,835.0,146433.0,76,73,2019,3.0,2.0,91000.00
2808,2020-01-22,1247629,153507.95,89921,1.0,1.0,749.0,132976.0,32,20,2019,2.0,1.0,109900.00
2813,2020-01-22,1243722,184596.86,191416,1.0,1.0,822.0,249104.0,32,25,2019,2.0,1.0,186926.85
2840,2020-01-21,1233273,467812.77,160362,2.0,2.0,1421.0,659900.0,110,6,2011,8.0,1.0,339900.00
2883,2020-01-21,1247316,659116.73,348332,2.0,2.0,2001.0,637586.0,110,39,2018,4.5,2.0,50662.31
2894,2020-01-21,1246379,85716.94,158000,3.0,2.0,1262.0,207154.0,110,45,2018,4.0,2.0,90091.77
2898,2020-01-21,1243391,9300.88,61249,1.0,1.0,890.0,141248.0,110,109,2019,4.0,1.0,9300.88
2911,2020-01-21,1241978,50662.31,164780,3.0,2.0,1150.0,218126.0,110,38,2017,2.0,5.0,50662.31
2919,2020-01-21,1243177,189123.48,151100,2.0,2.0,1157.0,191622.0,110,49,2018,2.0,1.0,134900.00
2920,2020-01-21,1247503,825040.32,499524,2.0,3.0,1660.0,534662.0,110,18,2015,7.0,1.0,399900.00
2922,2020-01-21,1246060,314138.88,133000,2.0,2.0,1064.0,172919.0,110,21,2016,9.0,6.0,350841.07
2924,2020-01-21,1247307,160798.98,73607,2.0,2.0,815.0,171600.0,110,79,2019,15.0,1.0,76700.00
2981,2020-01-14,1232327,204674.57,75028,2.0,2.0,1155.0,135289.0,36,3,2014,4.0,2.0,89100.00
2990,2020-01-14,1247010,583535.73,336680,2.0,2.0,960.0,420653.0,36,14,2018,4.0,1.0,392490.89
3004,2020-01-13,1241135,125041.58,234934,3.0,2.0,1459.0,299008.0,72,39,2018,5.0,3.0,137801.24
3008,2020-01-13,1241133,204521.13,141800,2.0,1.0,1140.0,198929.0,72,42,2018,5.0,2.0,170000.00
3033,2020-01-13,1241022,419760.57,325622,2.0,2.0,1073.0,507128.0,72,62,2019,4.0,1.0,398500.00
3094,2020-01-08,1245758,99817.75,70821,2.0,1.0,800.0,205836.0,58,41,2019,3.0,1.0,100862.23
3098,2020-01-08,1243203,63646.19,253725,2.0,2.0,1024.0,313557.0,58,53,2019,2.0,1.0,63646.19
3101,2020-01-08,1242577,238858.96,102511,3.0,2.0,1379.0,251500.0,58,2,2009,5.0,1.0,163000.00
3112,2020-01-08,1245455,1038172.57,1254000,3.0,4.0,2018.0,1262313.0,58,57,2019,3.0,1.0,999999.00
3116,2020-01-08,1243139,166279.28,126200,2.0,2.0,1353.0,212804.0,58,30,2018,3.0,1.0,166279.28
3134,2020-01-07,1243954,33429.67,61514,3.0,2.0,1452.0,152718.0,86,31,2017,2.0,1.0,271800.00
3140,2020-01-07,1242822,178192.91,95000,1.0,1.0,800.0,131977.0,86,11,2014,11.0,1.0,114600.00
3148,2020-01-07,1242821,159286.52,151007,2.0,2.0,1080.0,198593.0,86,83,2019,2.0,1.0,160819.53
3163,2020-01-07,1240871,51901.63,61079,1.0,1.0,620.0,73423.0,86,54,2018,4.0,1.0,51901.63
3181,2020-01-07,1242917,104359.74,76320,0.0,1.0,360.0,348100.0,86,74,2019,7.0,1.0,72151.87
3191,2020-01-07,1243633,797657.3,627741,2.0,2.0,1130.0,823417.0,86,12,2015,3.0,3.0,797657.30
3201,2020-01-06,1234501,415411.56,171000,1.0,1.0,1000.0,243687.0,211,83,2017,5.5,1.0,148200.00
3219,2020-01-06,1243757,92719.95,170000,2.0,2.0,1128.0,236588.0,211,211,2019,3.0,1.0,95324.96
3237,2020-01-06,1234725,127827.28,65151,2.0,2.0,905.0,84839.0,211,90,2017,7.0,1.0,78500.00
3238,2020-01-06,1231382,536046.64,351303,3.0,3.0,1226.0,400100.0,211,25,2014,3.0,1.0,333380.00
3245,2020-01-06,1236070,615292.58,360270,2.0,2.0,1397.0,575921.0,211,33,2015,4.0,10.0,508371.74
3250,2020-01-06,1243170,242759.55,85691,2.0,2.0,1376.0,251601.0,211,195,2019,2.0,1.0,245158.56
3258,2020-01-06,1229774,321341.59,153950,3.0,2.0,1465.0,246094.0,211,173,2019,4.0,1.0,175500.00
3288,2020-01-06,1229705,239786.7,61700,1.0,1.0,672.0,169261.0,211,84,2017,4.0,1.0,155000.00
3292,2020-01-06,1238353,284936.75,102637,1.0,1.0,741.0,139761.0,211,118,2018,3.0,1.0,140400.00
3303,2020-01-06,1241019,386451.45,272000,2.0,2.0,1030.0,416700.0,211,102,2018,7.0,4.0,300900.00
3311,2020-01-06,1241332,65918.06,132407,2.0,2.0,856.0,164012.0,211,66,2017,12.0,3.0,65918.06
3332,2020-01-06,1241904,20490.66,179388,2.0,2.0,1542.0,348527.0,211,139,2018,1.0,3.0,31751.80
3342,2020-01-06,1242548,324754.09,146000,1.0,1.0,720.0,183789.0,211,109,2018,7.0,1.0,134940.00
3348,2020-01-06,1231683,226808.95,91152,2.0,2.0,892.0,148339.0,211,64,2017,4.0,2.0,120625.00
3361,2020-01-06,1240882,469165.83,688480,0.0,0.0,5296.0,204500.0,211,192,2019,11.0,2.0,474915.20
3364,2020-01-06,1241103,199817.79,141100,1.0,1.0,918.0,172723.0,211,45,2016,8.0,4.0,139900.00
3368,2020-01-06,1237917,10047.85,110529,2.0,1.0,1432.0,209939.0,211,171,2019,2.0,1.0,50000.00
3369,2020-01-06,1241739,86202.92,40130,1.0,1.0,720.0,60660.0,211,170,2019,7.0,1.0,50000.00
3373,2020-01-06,1243014,653181.52,283248,3.0,2.0,1220.0,433740.0,211,48,2016,7.0,2.0,275300.00
3379,2020-01-06,1235506,378442.71,267009,2.0,2.0,1515.0,494783.0,211,177,2019,4.0,3.0,378442.71
3392,2020-01-06,1240275,190405.66,60068,0.0,0.0,904.0,167600.0,211,181,2019,2.0,1.0,124020.00
3403,2019-12-18,1240948,444654.11,290000,1.0,1.0,806.0,273088.0,33,20,2018,8.0,2.0,348600.00
3411,2019-12-18,1241313,224686.15,134592,2.0,1.0,800.0,159426.0,33,28,2019,6.0,1.0,125550.00
3415,2019-12-18,1241264,195252.52,82321,1.0,1.0,620.0,147219.0,33,22,2019,3.0,1.0,127500.00
3429,2019-12-17,1239972,135003.92,116550,1.0,1.0,1125.0,204300.0,28,21,2019,7.0,2.0,111900.00
3436,2019-12-17,1241381,137606.32,154900,0.0,1.0,600.0,180306.0,28,27,2019,6.0,1.0,138760.62
3447,2019-12-16,1239758,122754.84,101115,0.0,0.0,321.0,540300.0,61,56,2019,4.0,1.0,85000.00
3484,2019-12-16,1228393,149214.4,103037,3.0,2.0,1147.0,218966.0,61,39,2018,5.0,1.0,153004.04
3488,2019-12-16,1240636,15811.87,190400,3.0,2.0,1688.0,259929.0,61,60,2019,1.0,2.0,16500.00
3496,2019-12-16,1238375,144323.96,61380,1.0,2.0,861.0,167400.0,61,30,2018,8.0,1.0,48058.00
3530,2019-12-11,1240880,331271.63,158484,3.0,2.0,1652.0,197601.0,57,49,2019,7.0,1.0,150000.00
3536,2019-12-11,1240415,293024.92,97272,1.0,1.0,432.0,142603.0,57,11,2016,14.0,2.0,90720.00
3545,2019-12-11,1239765,246901.8,337403,3.0,2.0,1232.0,412118.0,57,19,2017,1.0,2.0,227920.00
3560,2019-12-09,1226330,38688.67,69156,1.0,1.0,825.0,88828.0,88,68,2018,1.0,1.0,38688.67
3587,2019-12-09,1239895,94347.71,80600,0.0,0.0,584.0,140359.0,88,3,2014,4.0,2.0,85265.31
3592,2019-12-09,1227387,262394.02,156450,2.0,2.0,845.0,200959.0,88,27,2017,8.0,1.0,195000.00
3597,2019-12-09,1236899,258004.89,205394,2.0,2.0,1235.0,265358.0,88,30,2017,4.0,1.0,252000.00
3621,2019-12-09,1238358,169896.26,137739,2.0,2.0,1140.0,175720.0,88,13,2016,4.0,3.0,143370.00
3622,2019-12-09,1239754,207848.22,135044,2.0,1.0,830.0,158448.0,88,81,2019,4.0,1.0,142500.00
3638,2019-12-09,1240198,258157.16,130950,2.0,1.0,968.0,204300.0,88,75,2019,6.0,1.0,135270.00
3639,2019-12-04,1238004,422258.78,205373,3.0,2.0,1470.0,277679.0,28,2,2014,4.0,8.0,213653.84
3644,2019-12-04,1235087,128672.7,109290,2.0,2.0,960.0,141568.0,28,26,2019,3.0,1.0,97658.56
3648,2019-12-04,1235090,176027.52,173019,3.0,2.0,1528.0,225424.0,28,25,2019,8.0,1.0,181735.50
3664,2019-12-04,1239761,164685.23,124036,1.0,1.0,575.0,197060.0,28,5,2016,7.0,1.0,164685.23
3684,2019-12-03,1239694,21809.76,79599,2.0,2.0,1428.0,150647.0,25,23,2019,1.0,1.0,21809.76
3700,2019-12-02,1239688,594726.37,326000,3.0,2.0,1930.0,289405.0,75,38,2018,7.0,1.0,312000.00
3722,2019-12-02,1237922,137850.25,119500,1.0,1.0,756.0,147513.0,75,47,2018,5.0,1.0,100800.00
3723,2019-12-02,1237908,292623.02,132000,2.0,1.0,722.0,156651.0,75,55,2019,4.0,1.0,137700.00
3743,2019-12-02,1237734,199979.41,104908,1.0,1.0,635.0,134544.0,75,66,2019,3.0,1.0,199979.41
3744,2019-12-02,1226470,222495.37,148516,2.0,2.0,1224.0,180757.0,75,26,2017,10.0,1.0,137280.00
3747,2019-12-02,1237916,993445.83,323380,2.0,2.0,1105.0,397436.0,75,11,2015,6.0,1.0,337500.00
3767,2019-11-27,1238342,150208.09,104408,2.0,2.0,750.0,143773.0,51,35,2018,3.0,1.0,110000.00
3774,2019-11-27,1236797,682401.71,619818,2.0,2.0,1694.0,894411.0,51,17,2017,6.0,4.0,600000.00
3776,2019-11-27,1238343,124827.84,184500,1.0,1.0,980.0,344234.0,51,18,2017,6.0,1.0,125653.60
3814,2019-11-26,1232600,150571.07,99750,1.0,1.0,648.0,131761.0,16,14,2019,7.0,1.0,83200.00
3858,2019-11-25,1238139,336156.88,215000,3.0,2.0,1900.0,278960.0,66,64,2019,2.0,1.0,336156.88
3869,2019-11-25,1238149,61543.86,98000,2.0,1.0,750.0,153158.0,66,65,2019,3.0,1.0,61543.86
3895,2019-11-20,1237624,171014.73,113000,1.0,1.0,862.0,320800.0,31,28,2019,4.0,1.0,95031.74
