,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
960,2020-08-03,1255935,10391.22,138900,1.0,1.0,994.0,190411.0,6,5,2019,1.0,2.0,66400.0
2069,2020-03-11,1252653,177773.94,140000,2.0,2.0,870.0,179454.0,16,15,2019,5.0,1.0,142000.0
2075,2020-03-11,1253051,366853.06,97686,2.0,2.0,830.0,167469.0,16,12,2019,4.0,1.0,131800.0
2084,2020-03-10,1253058,306614.11,99189,2.0,2.0,1317.0,135138.0,55,25,2019,3.0,1.0,11100.0
2093,2020-03-10,1252852,1382370.94,550848,0.0,0.0,2869.0,417171.0,55,27,2019,3.0,1.0,100.0
2096,2020-03-10,1251699,196837.53,70329,1.0,1.0,880.0,115209.0,55,21,2018,3.0,2.0,81300.0
2099,2020-03-10,1251855,142855.71,125345,2.0,1.0,1140.0,192164.0,55,15,2018,7.0,3.0,155800.0
2103,2020-03-09,1252273,161396.65,75023,2.0,1.0,770.0,151825.0,66,11,2015,5.0,4.0,100000.0
2106,2020-03-09,1249469,193736.77,105609,1.0,1.0,813.0,146114.0,66,51,2019,3.0,1.0,117300.0
2108,2020-03-09,1249338,225563.49,125000,2.0,2.0,855.0,172287.0,66,55,2019,5.0,1.0,156400.0
2118,2020-03-09,1248439,284929.0,169000,2.0,2.0,1130.0,229479.0,66,24,2017,4.0,2.0,195600.0
2126,2020-03-09,1243142,56026.79,93625,2.0,1.0,1000.0,97262.0,66,32,2018,4.0,2.0,72100.0
2131,2020-03-09,1246408,582550.18,307500,1.0,1.0,964.0,417171.0,66,20,2016,7.0,1.0,280100.0
2145,2020-03-09,1247493,75018.68,143135,3.0,2.0,1440.0,236338.0,66,48,2019,4.0,2.0,175100.0
2149,2020-03-09,1243134,280585.71,194800,1.0,1.0,845.0,238547.0,66,52,2019,2.0,1.0,145100.0
2153,2020-03-09,1249339,179288.71,113000,1.0,1.0,720.0,149336.0,66,58,2019,4.0,1.0,136100.0
2160,2020-03-09,1251481,98519.43,121200,0.0,1.0,518.0,417171.0,66,64,2019,2.0,1.0,125600.0
2165,2020-03-04,1251682,64442.97,100882,2.0,2.0,1470.0,143530.0,57,7,2016,6.0,3.0,45100.0
2167,2020-03-04,1252455,85266.15,83172,0.0,1.0,455.0,128175.0,57,45,2019,4.0,1.0,74200.0
2168,2020-03-04,1251467,213937.9,107120,1.0,1.0,776.0,149570.0,57,46,2019,4.0,1.0,120600.0
2171,2020-03-04,1252414,43419.12,673814,2.0,2.0,1595.0,964200.0,57,39,2019,1.0,1.0,422000.0
2179,2020-03-04,1251267,582842.9,185145,3.0,2.0,1232.0,423178.0,57,8,2017,6.0,1.0,200100.0
2193,2020-03-04,1251264,149656.91,92889,3.0,2.0,1407.0,195413.0,57,33,2018,4.0,3.0,125800.0
2195,2020-03-04,1252465,310038.47,167000,2.0,2.0,870.0,210698.0,57,42,2019,4.0,1.0,190500.0
2198,2020-03-04,1252046,16960.65,222800,2.0,2.0,1300.0,296920.0,57,57,2019,2.0,1.0,166100.0
2208,2020-03-04,1250255,264718.24,37867,2.0,1.0,845.0,169754.0,57,30,2018,4.0,2.0,86100.0
2210,2020-03-04,1252452,74250.33,152264,1.0,1.0,1148.0,315933.0,57,41,2019,3.0,1.0,200300.0
2214,2020-03-03,1249564,120764.44,80568,1.0,1.0,830.0,93192.0,8,5,2018,8.0,1.0,57100.0
2219,2020-03-03,1247809,849152.5,481000,2.0,2.0,1266.0,713145.0,8,1,2013,81.0,3.0,672750.0
2221,2020-03-02,1249223,129912.46,137228,0.0,0.0,904.0,169103.0,59,19,2018,9.0,4.0,138100.0
2224,2020-03-02,1247313,182402.69,124020,2.0,2.0,925.0,159359.0,59,42,2019,5.0,1.0,138900.0
2235,2020-03-02,1250828,265884.79,245610,2.0,2.0,1024.0,309272.0,59,55,2019,4.0,1.0,169100.0
2237,2020-03-02,1250210,154106.91,79995,3.0,2.0,1478.0,213295.0,59,39,2019,7.0,1.0,156700.0
2240,2020-03-02,1251691,69824.93,52965,1.0,1.0,836.0,65558.0,59,51,2019,15.0,1.0,60100.0
2241,2020-03-02,1251486,79267.35,83037,2.0,2.0,750.0,294650.0,59,40,2019,2.0,1.0,148200.0
2248,2020-03-02,1250038,550159.78,396000,3.0,2.0,1449.0,567523.0,59,57,2019,2.0,1.0,262200.0
2251,2020-03-02,1251485,61549.45,84000,2.0,1.0,1085.0,119208.0,59,45,2019,3.0,1.0,75100.0
2254,2020-03-02,1243904,106938.82,99200,1.0,1.0,812.0,212812.0,59,36,2018,6.0,1.0,90100.0
2259,2020-03-02,1243893,233188.45,183202,2.0,2.0,1346.0,261471.0,59,11,2017,11.0,1.0,173100.0
2261,2020-03-02,1250835,144306.04,304772,2.0,2.0,1552.0,379778.0,59,59,2019,1.0,1.0,145100.0
2264,2020-03-02,1251471,103843.87,80000,1.0,1.0,898.0,112014.0,59,33,2018,3.0,1.0,72500.0
2280,2020-02-26,1250757,230599.48,215000,1.0,2.0,854.0,303539.0,30,27,2019,11.0,1.0,5500.0
2288,2020-02-26,1249457,46435.38,128000,1.0,1.0,810.0,171142.0,30,9,2017,2.0,4.0,66600.0
2289,2020-02-26,1249987,422258.78,205373,3.0,2.0,1470.0,280154.0,30,5,2014,4.0,8.0,210000.0
2299,2020-02-26,1250814,206450.53,135000,1.0,1.0,608.0,152284.0,30,23,2019,4.0,1.0,132100.0
