,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
8691,2019-02-11,1191077,157414.01,146300,0.0,0.0,1300.0,231104.0,58,57,2018,2.0,1.0,156581.15
8750,2019-02-04,1188344,126615.71,105000,1.0,1.0,870.0,171847.0,65,11,2015,5.0,2.0,86830.21
8869,2019-01-28,1186465,666373.76,233783,1.0,1.0,760.0,315646.0,75,51,2017,5.0,1.0,229500.00
8969,2019-01-22,1187872,119386.15,100425,1.0,1.0,855.0,133367.0,126,102,2018,5.0,1.0,85555.00
9021,2019-01-22,1187878,802649.06,402040,3.0,2.0,1416.0,634612.0,126,26,2014,3.0,1.0,360300.00
9091,2019-01-16,1185556,39490.87,226100,1.0,1.0,1026.0,326664.0,54,42,2017,2.0,4.0,60427.92
9370,2019-01-08,1181726,349480.84,133515,2.0,1.0,610.0,173615.0,155,34,2014,2.0,2.0,157080.00
9429,2019-01-08,1179641,316562.53,200550,4.0,3.0,1500.0,250750.0,155,69,2016,3.0,2.0,186893.75
9461,2019-01-07,1184913,31300.67,71797,2.0,1.0,1036.0,102096.0,203,123,2017,5.0,1.0,32300.00
9525,2019-01-07,1176858,350295.89,379477,2.0,2.0,1882.0,747358.0,203,166,2018,4.0,1.0,350295.89
9552,2019-01-07,1173431,167155.56,104908,1.0,1.0,635.0,386100.0,203,107,2017,7.0,1.0,92262.81
9625,2019-01-07,1184553,184329.54,128260,2.0,2.0,939.0,156307.0,203,62,2016,5.0,2.0,113400.00
9680,2018-12-11,1182707,277038.43,170100,2.0,1.0,677.0,229620.0,19,4,2015,5.0,3.0,169600.00
9810,2018-12-05,1180362,228418.73,159000,2.0,1.0,958.0,186560.0,52,10,2012,4.0,3.0,151200.00
9824,2018-12-04,1181456,152921.09,113700,2.0,2.0,1156.0,125862.0,20,7,2016,7.0,3.0,82500.00
9917,2018-12-03,1181400,233790.55,89612,4.0,2.0,1716.0,203431.0,138,135,2018,3.0,1.0,156330.00
10015,2018-11-26,1171108,306853.48,140000,2.0,1.0,861.0,225385.0,93,50,2016,3.0,1.0,131750.00
10135,2018-11-20,1179490,240296.22,107635,2.0,1.0,634.0,119488.0,24,5,2015,3.0,1.0,80200.00
10208,2018-11-14,1169708,285025.52,164000,2.0,2.0,970.0,197460.0,29,12,2017,6.0,1.0,170158.49
10257,2018-11-13,1176756,12704.44,137000,3.0,2.0,1230.0,174401.0,113,99,2018,2.0,1.0,12704.44
10385,2018-11-06,1177424,192237.15,115400,1.0,1.0,670.0,384100.0,89,11,2017,4.0,1.0,110800.07
10425,2018-11-05,1163530,188359.37,90000,0.0,0.0,810.0,257738.0,93,33,2016,1.0,1.0,192056.57
10439,2018-11-05,1166007,197072.49,233481,3.0,2.0,1270.0,296503.0,93,80,2017,4.0,2.0,201028.35
10512,2018-10-31,1176744,227076.99,124129,2.0,1.0,752.0,172396.0,44,36,2017,5.0,1.0,111500.00
10547,2018-10-29,1172136,180752.57,162824,2.0,2.0,1250.0,190071.0,84,78,2018,5.0,1.0,143500.00
10555,2018-10-29,1175648,283963.27,130950,2.0,1.0,968.0,170523.0,84,31,2016,2.0,3.0,120200.00
10557,2018-10-29,1172407,269308.14,151525,3.0,2.0,1114.0,178623.0,84,50,2017,4.0,1.0,142760.00
10558,2018-10-29,1174848,9287.77,162750,3.0,2.0,1325.0,186184.0,84,65,2017,2.0,3.0,12296.80
10571,2018-10-29,1176042,177485.11,119000,1.0,1.0,810.0,150742.0,84,69,2017,5.0,1.0,117660.00
10628,2018-10-24,1165700,462599.99,312141,0.0,1.0,760.0,405312.0,31,21,2016,4.0,1.0,345213.18
10675,2018-10-23,1174270,17108.64,172000,4.0,2.0,1716.0,172000.0,30,25,2017,1.0,5.0,25669.98
10703,2018-10-22,1155951,242365.13,130000,1.0,1.0,620.0,149808.0,80,41,2016,5.0,1.0,112677.78
10780,2018-10-17,1173128,41956.27,122574,2.0,1.0,1000.0,391200.0,70,53,2017,4.0,1.0,37887.40
10784,2018-10-17,1173127,126051.81,100937,1.0,1.0,722.0,125078.0,70,58,2017,4.0,1.0,87425.00
10881,2018-10-16,1172172,10813.6,96625,0.0,0.0,340.0,115575.0,79,67,2017,7.0,1.0,11283.56
10952,2018-10-15,1171323,114974.87,141900,2.0,1.0,1596.0,179259.0,97,41,2016,8.0,1.0,116343.05
10953,2018-10-15,1170955,29845.97,44000,1.0,1.0,688.0,272500.0,97,69,2017,1.0,2.0,31196.97
10973,2018-10-15,1171149,103924.9,68000,2.0,2.0,1012.0,92989.0,97,89,2018,5.0,1.0,49300.00
11173,2018-10-03,1169740,491796.95,525453,2.0,2.0,1532.0,686612.0,76,66,2018,5.0,1.0,495738.51
11175,2018-10-03,1169955,71595.6,128391,2.0,2.0,1000.0,164742.0,76,61,2017,2.0,1.0,71514.26
11176,2018-10-03,1169844,34603.81,140076,1.0,2.0,997.0,183787.0,76,30,2016,3.0,1.0,35600.00
11195,2018-10-02,1171895,28685.86,55800,3.0,2.0,959.0,69979.0,72,72,2018,1.0,1.0,28685.86
11221,2018-10-02,1167396,16836.98,130000,2.0,2.0,965.0,159610.0,72,52,2017,1.0,1.0,16836.98
11234,2018-10-02,1169746,105169.46,165000,0.0,0.0,1100.0,310600.0,72,69,2018,5.0,1.0,105169.46
11281,2018-10-01,1162106,226196.66,96300,1.0,1.0,550.0,114091.0,64,48,2017,18.0,1.0,81000.00
11286,2018-10-01,1172073,179456.75,698600,2.0,2.0,1097.0,683109.0,64,64,2018,3.0,2.0,150000.00
11298,2018-10-01,1165981,154911.51,125440,2.0,1.0,948.0,165032.0,64,26,2016,2.0,3.0,100093.38
11299,2018-10-01,1172980,160353.22,191000,2.0,2.0,1346.0,249600.0,64,45,2017,5.0,1.0,161088.76
11451,2018-09-24,1150833,186346.69,107200,2.0,2.0,890.0,155009.0,51,35,2017,4.0,1.0,122501.85
11455,2018-09-24,1164870,253979.88,154000,3.0,2.0,1252.0,193766.0,51,3,2009,11.0,5.0,170000.00
11460,2018-09-24,1156221,67167.48,111550,2.0,2.0,956.0,123751.0,51,48,2017,3.0,1.0,68767.48
11499,2018-09-18,1159300,159542.88,120360,3.0,2.0,1255.0,163216.0,78,56,2017,4.0,4.0,118000.00
11551,2018-09-18,1169182,227036.51,105001,3.0,2.0,1062.0,131834.0,78,61,2017,2.0,1.0,133000.00
11682,2018-09-11,1163767,413096.07,122000,1.0,1.0,595.0,261800.0,91,60,2017,2.0,1.0,145365.00
11762,2018-09-05,1163365,236076.47,160000,3.0,2.0,1258.0,210107.0,52,10,2013,6.0,6.0,141439.76
11834,2018-09-04,1161444,445235.96,152509,3.0,2.0,1205.0,213888.0,35,20,2016,5.0,2.0,105300.00
11873,2018-08-29,1165034,120514.21,72450,1.0,1.0,826.0,255800.0,46,43,2018,3.0,1.0,59250.00
11878,2018-08-29,1162911,267306.28,167100,2.0,2.0,1110.0,191004.0,46,25,2016,4.0,1.0,160800.00
11885,2018-08-28,1163895,25229.31,143750,3.0,2.0,1638.0,203452.0,92,47,2016,1.0,1.0,25229.31
11908,2018-08-28,1163941,108469.62,91000,2.0,2.0,815.0,108768.0,92,42,2016,2.0,1.0,93280.00
11910,2018-08-28,1164848,57961.69,118500,2.0,2.0,890.0,154893.0,92,87,2018,6.0,1.0,58604.85
11974,2018-08-27,1151587,360748.97,185700,1.0,1.0,990.0,225804.0,80,42,2016,4.0,1.0,179100.00
12063,2018-08-22,1156415,367776.37,363100,2.0,2.0,1100.0,461728.0,52,52,2018,4.0,1.0,367776.37
12086,2018-08-22,1163538,206154.84,123600,2.0,1.0,848.0,262500.0,52,49,2017,20.0,1.0,125730.00
12112,2018-08-21,1163549,22064.06,181857,1.0,1.0,822.0,374600.0,59,49,2017,4.0,1.0,22064.06
12125,2018-08-21,1163374,387420.0,155400,2.0,2.0,883.0,168062.0,59,39,2017,5.0,1.0,133745.61
12134,2018-08-21,1163541,161482.04,96177,1.0,1.0,583.0,120152.0,59,47,2017,6.0,1.0,120000.00
12158,2018-08-20,1159298,41822.15,165000,3.0,2.0,1130.0,193451.0,67,5,2012,7.0,1.0,64176.93
12240,2018-08-14,1159142,119275.34,105948,2.0,2.0,1180.0,114537.0,33,25,2017,4.0,1.0,76500.00
12291,2018-08-13,1162341,111456.12,203788,3.0,2.0,1240.0,259419.0,68,2,2009,3.0,4.0,124118.45
12329,2018-08-08,1162316,237323.67,116000,1.0,1.0,546.0,160920.0,41,37,2017,4.0,1.0,120000.00
12613,2018-07-26,1160063,65197.31,111150,1.0,1.0,1010.0,153346.0,50,19,2016,2.0,2.0,66295.88
12660,2018-07-25,1160448,18465.77,147600,1.0,1.0,646.0,254707.0,51,36,2017,2.0,1.0,18465.77
12755,2018-07-23,1154746,227313.26,103434,2.0,1.0,764.0,158759.0,50,39,2017,6.0,2.0,86300.00
12796,2018-07-20,1159338,131564.98,147100,2.0,2.0,885.0,181963.0,24,10,2015,9.0,1.0,134564.98
12810,2018-07-20,1159144,121369.85,110800,1.0,1.0,670.0,375600.0,24,21,2017,7.0,1.0,122603.15
12912,2018-07-16,1149116,330562.83,127602,1.0,1.0,507.0,169342.0,60,32,2016,10.0,1.0,121500.00
12913,2018-07-16,1155741,184537.25,119953,3.0,2.0,1142.0,178503.0,60,54,2017,5.0,1.0,103700.00
12986,2018-07-13,1158849,113332.88,117600,2.0,2.0,866.0,150952.0,42,27,2016,4.0,1.0,113953.61
13055,2018-07-11,1148119,156116.72,139360,2.0,2.0,972.0,182026.0,35,32,2017,2.0,2.0,158816.72
13153,2018-07-06,1156416,39490.87,226100,1.0,1.0,1026.0,355576.0,62,58,2017,2.0,4.0,44346.36
13156,2018-07-06,1155091,14018.65,90960,2.0,2.0,1317.0,116320.0,62,7,2012,2.0,2.0,16900.00
13168,2018-07-06,1156633,285175.31,114000,2.0,2.0,890.0,136574.0,62,44,2017,26.0,1.0,106920.00
13256,2018-07-02,1151560,298740.83,136188,2.0,1.0,901.0,180908.0,32,24,2016,3.0,2.0,113400.00
