,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
695,2020-11-02,1271946,600969.45,564482,0.0,0.0,1300.0,0.0,683901.0,33,32,2019,1.0,8.0,1.0,169100.0
702,2020-11-02,1271443,345508.04,185148,2.0,1.0,2181.0,6000.0,327509.0,33,12,2016,1.0,2.0,5.0,242100.0
706,2020-11-02,1272006,590423.54,403978,5.0,4.0,3945.0,7761.0,564087.0,33,25,2019,1.0,4.0,2.0,345600.0
708,2020-11-02,1271296,87981.37,108900,2.0,1.0,859.0,2940.0,169582.0,33,24,2019,0.0,2.0,4.0,70100.0
711,2020-11-02,1270590,457589.74,255700,1.0,1.0,988.0,0.0,340797.0,33,26,2019,1.0,3.0,1.0,197100.0
715,2020-11-02,1270389,6169144.2,4066815,5.0,5.0,11684.0,51836.0,3817788.0,33,15,2017,1.0,4.0,5.0,800100.0
717,2020-11-02,1271442,231181.13,158376,3.0,2.0,996.0,8580.0,252700.0,33,16,2018,0.0,4.0,1.0,169100.0
722,2020-11-02,1270592,242875.91,75821,1.0,1.0,700.0,0.0,145055.0,33,8,2015,1.0,3.0,1.0,5100.0
724,2020-10-27,1273125,386489.65,315754,4.0,3.0,1939.0,4528.0,408289.0,15,9,2019,1.0,8.0,1.0,375100.0
731,2020-10-27,1273127,261318.57,137297,2.0,2.0,1502.0,0.0,198615.0,15,15,2020,1.0,26.0,1.0,120600.0
737,2020-10-26,1272307,3331892.39,946866,2.0,3.0,2149.0,0.0,1664413.0,16,2,2012,1.0,6.0,1.0,600100.0
741,2020-10-26,1270035,543978.42,386400,2.0,2.0,1326.0,0.0,438933.0,16,7,2017,1.0,6.0,1.0,25100.0
743,2020-10-26,1273658,361032.16,236000,1.0,1.0,1019.0,0.0,325306.0,16,14,2019,1.0,3.0,1.0,238100.0
748,2020-10-26,1271277,226890.02,75788,3.0,2.0,1140.0,3754.0,213996.0,16,13,2019,0.0,9.0,1.0,125600.0
751,2020-10-26,1269504,296359.52,239612,4.0,2.0,2094.0,5000.0,310655.0,16,11,2019,1.0,4.0,1.0,262100.0
752,2020-10-21,1270691,493720.36,282294,2.0,2.0,2700.0,54450.0,565293.0,27,7,2017,0.0,19.0,6.0,169100.0
757,2020-10-21,1270817,632286.5,630785,2.0,2.0,1152.0,0.0,385740.0,27,19,2019,1.0,5.0,3.0,395100.0
758,2020-10-21,1272301,479806.16,230694,4.0,2.0,1330.0,5500.0,385827.0,27,20,2019,0.0,7.0,1.0,5100.0
759,2020-10-21,1272998,460460.83,279715,3.0,2.0,1701.0,10041.72,484065.0,27,12,2018,0.0,13.0,1.0,140100.0
761,2020-10-21,1271942,311495.06,133435,3.0,2.0,2165.0,10400.0,330394.0,27,3,2012,1.0,4.0,1.0,280200.0
763,2020-10-21,1272705,149583.1,86884,2.0,2.0,809.0,0.0,104669.0,27,14,2019,1.0,3.0,1.0,81600.0
765,2020-10-21,1272999,394080.4,306007,4.0,2.0,2223.0,3878.0,459765.0,27,18,2019,1.0,7.0,1.0,269100.0
767,2020-10-21,1270909,437671.77,276059,4.0,2.0,1300.0,7500.0,354652.0,27,10,2018,0.0,6.0,3.0,358100.0
770,2020-10-21,1272300,192619.62,120800,2.0,1.0,800.0,0.0,173002.0,27,27,2020,1.0,3.0,1.0,78100.0
776,2020-10-20,1273432,249360.13,198000,1.0,1.0,852.0,0.0,296119.0,8,8,2020,1.0,9.0,1.0,5100.0
779,2020-10-20,1273956,246578.5,177000,2.0,2.0,1130.0,0.0,236449.0,8,3,2018,1.0,11.0,1.0,5100.0
785,2020-10-19,1270509,525996.96,395080,0.0,0.0,3278.0,13400.0,313837.0,25,8,2018,1.0,4.0,2.0,5100.0
793,2020-10-19,1268030,558686.82,390146,4.0,3.0,2426.0,5251.0,506168.0,25,2,2012,1.0,7.0,10.0,436100.0
797,2020-10-19,1270420,450619.45,363900,3.0,3.0,1702.0,0.0,388844.0,25,15,2019,1.0,5.0,2.0,115100.0
799,2020-10-19,1268865,253243.57,49320,2.0,2.0,919.0,0.0,156319.0,25,14,2019,1.0,7.0,3.0,100.0
809,2020-10-13,1269524,537391.27,453000,3.0,2.0,1458.0,0.0,310462.0,31,23,2019,1.0,5.0,2.0,100100.0
810,2020-10-13,1271314,395618.49,177116,3.0,3.0,1347.0,3750.0,252190.0,31,13,2018,1.0,14.0,1.0,60100.0
817,2020-10-13,1268932,1947892.35,828977,0.0,0.0,0.0,12746.49,299716.0,31,14,2018,0.0,5.0,2.0,892100.0
826,2020-10-13,1269834,555577.4,338000,3.0,3.0,1684.0,0.0,433748.0,31,19,2019,1.0,5.0,2.0,2100.0
831,2020-10-13,1271182,400797.59,267009,2.0,2.0,1515.0,0.0,502293.0,31,16,2019,1.0,4.0,3.0,50100.0
832,2020-10-13,1271184,463966.58,264001,3.0,3.0,2206.0,0.0,338540.0,31,11,2018,1.0,6.0,1.0,200100.0
834,2020-10-13,1270012,186887.72,88511,3.0,2.0,1166.0,0.0,134809.0,31,4,2015,1.0,8.0,2.0,92600.0
835,2020-10-13,1270128,749403.36,356840,3.0,2.0,2783.0,54450.0,512037.0,31,12,2018,1.0,2.0,6.0,169100.0
836,2020-10-07,1270597,388431.85,63585,2.0,1.0,1311.0,5500.0,372178.0,10,6,2019,1.0,9.0,1.0,200100.0
839,2020-10-07,1270022,189780.93,53256,0.0,0.0,0.0,5000.0,313837.0,10,5,2018,0.0,7.0,3.0,150100.0
845,2020-10-07,1270595,115146.0,109912,1.0,1.0,592.0,0.0,151750.0,10,9,2019,1.0,2.0,1.0,45100.0
849,2020-10-05,1270575,237753.79,115069,2.0,1.0,842.0,8142.0,338847.0,22,22,2020,1.0,4.0,1.0,130100.0
853,2020-10-05,1269665,1037122.11,377490,4.0,3.0,2169.0,7255.0,489128.0,22,4,2015,1.0,7.0,2.0,395200.0
858,2020-10-05,1268939,344441.0,250300,2.0,2.0,1763.0,0.0,354752.0,22,7,2017,0.0,3.0,1.0,1100.0
861,2020-10-05,1270574,537080.74,549792,3.0,2.0,2270.0,10650.0,464297.0,22,13,2018,0.0,1.0,2.0,369100.0
