,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
765,2020-10-21,1272999,394080.4,306007,4.0,2.0,2223.0,3878.0,459765.0,27,18,2019,1.0,7.0,1.0,269100.0
767,2020-10-21,1270909,437671.77,276059,4.0,2.0,1300.0,7500.0,354652.0,27,10,2018,0.0,6.0,3.0,358100.0
785,2020-10-19,1270509,525996.96,395080,0.0,0.0,3278.0,13400.0,313837.0,25,8,2018,1.0,4.0,2.0,5100.0
793,2020-10-19,1268030,558686.82,390146,4.0,3.0,2426.0,5251.0,506168.0,25,2,2012,1.0,7.0,10.0,436100.0
810,2020-10-13,1271314,395618.49,177116,3.0,3.0,1347.0,3750.0,252190.0,31,13,2018,1.0,14.0,1.0,60100.0
835,2020-10-13,1270128,749403.36,356840,3.0,2.0,2783.0,54450.0,512037.0,31,12,2018,1.0,2.0,6.0,169100.0
836,2020-10-07,1270597,388431.85,63585,2.0,1.0,1311.0,5500.0,372178.0,10,6,2019,1.0,9.0,1.0,200100.0
849,2020-10-05,1270575,237753.79,115069,2.0,1.0,842.0,8142.0,338847.0,22,22,2020,1.0,4.0,1.0,130100.0
853,2020-10-05,1269665,1037122.11,377490,4.0,3.0,2169.0,7255.0,489128.0,22,4,2015,1.0,7.0,2.0,395200.0
861,2020-10-05,1270574,537080.74,549792,3.0,2.0,2270.0,10650.0,464297.0,22,13,2018,0.0,1.0,2.0,369100.0
863,2020-10-05,1267567,367222.75,281596,4.0,3.0,2003.0,4960.0,414269.0,22,21,2019,0.0,7.0,1.0,169100.0
875,2020-09-30,1270040,414390.9,179849,2.0,2.0,992.0,4077.0,313658.0,14,6,2018,1.0,4.0,1.0,250200.0
879,2020-09-30,1268836,391112.8,168903,4.0,2.0,2321.0,8591.0,374130.0,14,2,2015,0.0,4.0,3.0,260100.0
891,2020-09-29,1269570,247009.72,198095,3.0,2.0,1686.0,7500.0,320638.0,20,16,2019,0.0,7.0,1.0,222100.0
900,2020-09-29,1269537,305490.21,220396,3.0,2.0,1441.0,2520.0,296047.0,20,17,2019,1.0,3.0,2.0,267100.0
907,2020-09-23,1268588,334797.68,217891,3.0,2.0,2314.0,5000.0,302216.0,16,12,2019,1.0,6.0,3.0,233600.0
915,2020-09-23,1267736,3130249.54,1156003,7.0,5.0,3609.0,19710.0,1749250.0,16,5,2018,0.0,6.0,3.0,821400.0
