,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
373,2021-01-04,1279812,228217.74,249613,4.0,2.0,1518.0,3780.0,437468.0,72,35,2019,1.0,9.0,1.0,351600.0
374,2021-01-04,1277561,91409.65,203000,2.0,1.0,1573.0,1802.0,287644.0,72,16,2017,1.0,5.0,3.0,70100.0
379,2021-01-04,1275973,546785.16,247000,3.0,2.0,1537.0,1953.0,285322.0,72,11,2016,1.0,4.0,7.0,277600.0
381,2021-01-04,1271160,545078.46,261850,3.0,2.0,1701.0,4775.0,405066.0,72,26,2018,1.0,7.0,1.0,350100.0
383,2021-01-04,1274741,117608.9,105541,3.0,2.0,1250.0,7500.0,251987.0,72,23,2018,0.0,7.0,2.0,185200.0
389,2021-01-04,1272589,781276.05,365616,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
399,2021-01-04,1278746,707414.23,630538,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
400,2021-01-04,1277549,337476.46,249982,3.0,2.0,1375.0,7500.0,356723.0,72,43,2019,0.0,12.0,4.0,325100.0
406,2021-01-04,1270038,590291.89,538202,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
413,2021-01-04,1272590,554848.12,447101,3.0,2.0,1883.0,6650.0,649695.0,72,45,2019,0.0,4.0,2.0,529300.0
415,2021-01-04,1275531,285645.78,186280,2.0,1.0,1053.0,5720.0,354289.0,72,47,2019,0.0,2.0,1.0,293600.0
427,2020-12-16,1277291,8014.45,327000,4.0,3.0,2306.0,2275.0,426831.0,20,20,2020,1.0,2.0,0.0,279700.0
432,2020-12-16,1277550,289679.85,118842,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
446,2020-12-15,1276941,171115.52,105000,3.0,2.0,1509.0,1249.0,178472.0,11,9,2019,1.0,9.0,3.0,113600.0
447,2020-12-15,1274960,269367.46,150667,3.0,1.0,1012.0,7500.0,245832.0,11,3,2018,0.0,12.0,1.0,223600.0
451,2020-12-15,1276492,64496.25,324866,0.0,0.0,2242.0,4750.0,228876.0,11,6,2019,0.0,3.0,2.0,275300.0
453,2020-12-14,1278442,694264.48,264704,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
460,2020-12-14,1273111,325811.9,106839,2.0,1.0,748.0,5739.2,248396.0,14,8,2019,0.0,1.0,2.0,300600.0
467,2020-12-09,1273825,299146.19,171761,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,330100.0
481,2020-12-08,1272091,1780096.53,752110,0.0,10.0,10293.0,32250.0,299128.0,16,12,2019,0.0,3.0,2.0,860100.0
483,2020-12-08,1277731,373030.86,456005,3.0,3.0,1886.0,12478.0,582622.0,16,14,2019,0.0,3.0,1.0,269100.0
484,2020-12-08,1271941,67672.84,89833,3.0,1.0,936.0,8601.0,249308.0,16,9,2019,0.0,8.0,1.0,166100.0
485,2020-12-07,1274169,591765.28,353795,3.0,2.0,2269.0,15000.0,522569.0,33,16,2018,0.0,2.0,4.0,375100.0
495,2020-12-07,1275184,359397.6,257428,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
499,2020-12-07,1275939,302362.53,214923,2.0,2.0,1372.0,9223.0,315829.0,33,14,2018,0.0,5.0,1.0,220100.0
500,2020-12-07,1276321,346483.42,134755,2.0,2.0,1460.0,3544.0,344939.0,33,12,2018,1.0,4.0,1.0,295000.0
502,2020-12-07,1271792,261005.71,266378,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
504,2020-12-07,1276371,493720.36,282294,2.0,2.0,2700.0,54450.0,570560.0,33,8,2017,0.0,19.0,6.0,369100.0
505,2020-12-07,1274442,256597.39,132173,3.0,2.0,1200.0,4244.0,248436.0,33,13,2018,1.0,5.0,2.0,207000.0
516,2020-12-02,1275052,432535.59,288808,3.0,2.0,1779.0,7500.0,436512.0,5,3,2018,0.0,4.0,2.0,340900.0
518,2020-12-02,1275051,1081159.96,754402,5.0,3.0,2798.0,9000.0,1282096.0,5,2,2017,0.0,4.0,3.0,815200.0
531,2020-12-01,1272566,572709.56,252345,2.0,1.0,1966.0,9720.0,360540.0,18,14,2019,0.0,3.0,2.0,231900.0
535,2020-11-30,1274759,602746.17,258244,3.0,2.0,1671.0,5350.0,336375.0,28,2,2015,1.0,5.0,4.0,275600.0
539,2020-11-30,1273780,169049.58,86923,3.0,2.0,1845.0,8355.0,330504.0,28,17,2019,0.0,4.0,2.0,301200.0
540,2020-11-30,1275088,509189.63,344892,3.0,2.0,2058.0,9916.0,432089.0,28,9,2018,0.0,22.0,1.0,435600.0
541,2020-11-30,1276177,1251368.58,910737,5.0,4.0,2739.0,7500.0,1988055.0,28,15,2019,0.0,3.0,1.0,900100.0
561,2020-11-25,1276127,394832.97,351312,3.0,2.0,2116.0,10140.0,466993.0,10,5,2016,1.0,5.0,1.0,401600.0
563,2020-11-25,1276128,311975.66,175386,4.0,2.0,1883.0,4802.0,411422.0,10,1,2008,1.0,5.0,5.0,320300.0
564,2020-11-24,1269978,65296.0,111475,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,159600.0
565,2020-11-24,1274220,814522.31,901612,5.0,4.0,4924.0,24000.0,359195.0,5,3,2019,0.0,2.0,1.0,814600.0
571,2020-11-23,1273091,17920.12,386454,4.0,3.0,2434.0,11000.0,548377.0,21,1,2008,1.0,2.0,4.0,52900.0
572,2020-11-23,1275554,7090.06,199700,3.0,2.0,1565.0,1760.0,248570.0,21,21,2020,1.0,1.0,1.0,27100.0
573,2020-11-23,1274192,185228.38,68632,3.0,1.0,800.0,5000.0,206215.0,21,10,2018,0.0,15.0,1.0,150100.0
574,2020-11-23,1273109,436218.22,156323,3.0,2.0,1101.0,10350.0,559890.0,21,3,2012,0.0,7.0,5.0,585200.0
576,2020-11-23,1275635,194968.08,200200,3.0,2.0,1629.0,6750.0,307548.0,21,11,2019,0.0,2.0,2.0,169100.0
579,2020-11-23,1274167,445931.73,233733,3.0,2.0,2003.0,5300.0,320665.0,21,16,2019,1.0,5.0,1.0,255600.0
580,2020-11-23,1273112,504638.69,282000,4.0,2.0,1894.0,1516.0,357541.0,21,4,2014,1.0,4.0,5.0,600.0
582,2020-11-23,1276167,332093.86,93674,4.0,3.0,1811.0,1896.0,254993.0,21,12,2019,1.0,5.0,1.0,222300.0
584,2020-11-23,1275591,991457.43,816004,5.0,5.0,4319.0,6150.0,1204894.0,21,20,2020,1.0,12.5,1.0,658000.0
585,2020-11-23,1275403,374901.27,156820,3.0,2.0,1238.0,7611.0,346128.0,21,2,2012,0.0,6.0,2.0,296100.0
593,2020-11-18,1271025,328063.12,209000,3.0,2.0,1178.0,3598.0,289840.0,10,4,2019,1.0,5.0,3.0,250100.0
599,2020-11-17,1275772,1279736.92,1108624,6.0,4.0,3266.0,87120.0,1473346.0,7,7,2019,0.0,4.0,1.0,960600.0
606,2020-11-16,1271793,537650.59,302000,4.0,3.0,2322.0,2080.0,405225.0,38,17,2017,1.0,7.0,3.0,100.0
607,2020-11-16,1274059,247678.86,166932,2.0,2.0,1271.0,3840.0,344233.0,38,7,2015,1.0,4.0,4.0,286400.0
610,2020-11-16,1272297,481391.76,330409,3.0,2.0,1926.0,4325.0,451261.0,38,36,2019,1.0,4.0,1.0,400100.0
613,2020-11-16,1275087,2824246.27,1836102,4.0,4.0,4812.0,11250.0,2541609.0,38,25,2019,0.0,2.0,1.0,1452800.0
614,2020-11-16,1272708,986493.56,239517,3.0,2.0,2058.0,5225.0,486287.0,38,6,2014,0.0,2.0,3.0,406200.0
615,2020-11-16,1270379,117047.1,209871,2.0,1.0,865.0,7800.0,345446.0,38,30,2019,0.0,4.0,2.0,263600.0
616,2020-11-16,1274740,2822758.47,1273658,5.0,6.0,5378.0,12352.0,207976.0,38,9,2015,1.0,3.0,3.0,900100.0
618,2020-11-16,1273480,547132.41,393444,2.0,2.0,1563.0,6250.0,460112.0,38,29,2019,0.0,6.0,3.0,425100.0
620,2020-11-16,1272253,409294.83,208915,2.0,4.0,2667.0,4659.0,391763.0,38,32,2019,1.0,3.0,2.0,369100.0
623,2020-11-16,1275595,369017.95,206186,4.0,1.0,2196.0,9375.0,439679.0,38,38,2020,0.0,4.0,1.0,201100.0
629,2020-11-16,1271860,97921.07,148500,2.0,1.0,1934.0,7000.0,258843.0,38,13,2017,0.0,5.0,4.0,98000.0
637,2020-11-10,1273564,333547.5,336882,4.0,3.0,2417.0,6020.0,443961.0,31,21,2019,0.0,2.0,4.0,342400.0
638,2020-11-10,1274735,94781.61,2790720,3.0,4.0,3529.0,1.0,5168404.0,31,27,2019,1.0,1.0,1.0,235100.0
639,2020-11-10,1274907,453434.34,307150,4.0,2.0,3268.0,14082.0,561220.0,31,3,2013,0.0,5.0,2.0,385100.0
640,2020-11-10,1273654,376538.03,264002,3.0,2.0,1357.0,7500.0,400713.0,31,6,2016,1.0,4.0,5.0,321100.0
643,2020-11-10,1273093,352391.63,315391,3.0,2.0,1904.0,8025.0,379368.0,31,12,2018,1.0,5.0,2.0,320100.0
644,2020-11-10,1272421,496510.17,130645,3.0,1.0,1695.0,9030.0,275103.0,31,5,2015,1.0,3.0,5.0,200600.0
645,2020-11-10,1272177,314719.24,330898,4.0,3.0,2690.0,4400.0,430407.0,31,2,2013,1.0,4.0,11.0,367100.0
651,2020-11-10,1275437,156423.95,161334,2.0,1.0,1189.0,7000.0,252102.0,31,20,2019,0.0,2.0,1.0,178100.0
654,2020-11-10,1272494,364027.05,171280,4.0,2.0,1692.0,4000.0,287860.0,31,10,2018,1.0,9.0,5.0,322100.0
655,2020-11-10,1272946,135174.33,168390,3.0,2.0,1380.0,6450.0,278263.0,31,26,2019,0.0,2.0,5.0,180100.0
658,2020-11-10,1274039,339756.06,154050,2.0,1.0,1527.0,8475.0,394569.0,31,4,2014,0.0,1.0,6.0,299100.0
659,2020-11-10,1273507,332402.15,120425,4.0,2.0,1988.0,3473.0,329942.0,31,1,2010,0.0,4.0,4.0,283100.0
661,2020-11-10,1273650,315575.71,179449,4.0,1.0,1414.0,11737.6,308113.0,31,23,2019,0.0,2.0,2.0,233700.0
689,2020-11-03,1271183,178077.41,702298,4.0,3.0,2426.0,15146.0,916833.0,8,6,2019,0.0,1.0,2.0,190100.0
690,2020-11-03,1269525,277088.79,147355,3.0,3.0,1512.0,2400.0,338142.0,8,1,2014,1.0,6.0,8.0,290200.0
691,2020-11-03,1273481,442214.69,203500,4.0,3.0,1712.0,1835.0,274236.0,8,2,2016,1.0,7.0,2.0,240100.0
694,2020-11-02,1272174,169254.6,149354,3.0,1.0,1257.0,12000.0,225904.0,33,21,2019,0.0,4.0,1.0,169300.0
698,2020-11-02,1272180,295860.54,83325,2.0,1.0,990.0,5000.0,412715.0,33,30,2019,1.0,5.0,1.0,328200.0
702,2020-11-02,1271443,345508.04,185148,2.0,1.0,2181.0,6000.0,327509.0,33,12,2016,1.0,2.0,5.0,242100.0
706,2020-11-02,1272006,590423.54,403978,5.0,4.0,3945.0,7761.0,564087.0,33,25,2019,1.0,4.0,2.0,345600.0
708,2020-11-02,1271296,87981.37,108900,2.0,1.0,859.0,2940.0,169582.0,33,24,2019,0.0,2.0,4.0,70100.0
715,2020-11-02,1270389,6169144.2,4066815,5.0,5.0,11684.0,51836.0,3817788.0,33,15,2017,1.0,4.0,5.0,800100.0
717,2020-11-02,1271442,231181.13,158376,3.0,2.0,996.0,8580.0,252700.0,33,16,2018,0.0,4.0,1.0,169100.0
724,2020-10-27,1273125,386489.65,315754,4.0,3.0,1939.0,4528.0,408289.0,15,9,2019,1.0,8.0,1.0,375100.0
732,2020-10-27,1272523,398092.95,405856,3.0,1.0,1866.0,8000.0,732359.0,15,3,2014,0.0,7.0,10.0,636100.0
735,2020-10-27,1273124,204432.76,174328,3.0,1.0,816.0,10080.0,258057.0,15,11,2019,0.0,3.0,1.0,218100.0
745,2020-10-26,1270980,171482.2,245219,3.0,2.0,1615.0,5600.0,359072.0,16,3,2013,1.0,2.0,8.0,265500.0
748,2020-10-26,1271277,226890.02,75788,3.0,2.0,1140.0,3754.0,213996.0,16,13,2019,0.0,9.0,1.0,125600.0
751,2020-10-26,1269504,296359.52,239612,4.0,2.0,2094.0,5000.0,310655.0,16,11,2019,1.0,4.0,1.0,262100.0
752,2020-10-21,1270691,493720.36,282294,2.0,2.0,2700.0,54450.0,565293.0,27,7,2017,0.0,19.0,6.0,169100.0
755,2020-10-21,1271152,305101.81,157667,3.0,2.0,1287.0,8800.0,397174.0,27,1,2010,0.0,1.0,2.0,281100.0
756,2020-10-21,1272992,8410.15,175001,2.0,2.0,1130.0,1485.0,229488.0,27,21,2019,1.0,1.0,1.0,65000.0
758,2020-10-21,1272301,479806.16,230694,4.0,2.0,1330.0,5500.0,385827.0,27,20,2019,0.0,7.0,1.0,5100.0
759,2020-10-21,1272998,460460.83,279715,3.0,2.0,1701.0,10041.72,484065.0,27,12,2018,0.0,13.0,1.0,140100.0
761,2020-10-21,1271942,311495.06,133435,3.0,2.0,2165.0,10400.0,330394.0,27,3,2012,1.0,4.0,1.0,280200.0
765,2020-10-21,1272999,394080.4,306007,4.0,2.0,2223.0,3878.0,459765.0,27,18,2019,1.0,7.0,1.0,269100.0
767,2020-10-21,1270909,437671.77,276059,4.0,2.0,1300.0,7500.0,354652.0,27,10,2018,0.0,6.0,3.0,358100.0
785,2020-10-19,1270509,525996.96,395080,0.0,0.0,3278.0,13400.0,313837.0,25,8,2018,1.0,4.0,2.0,5100.0
790,2020-10-19,1270517,181595.32,75068,3.0,2.0,1591.0,6890.0,284089.0,25,5,2018,0.0,7.0,1.0,208100.0
791,2020-10-19,1267887,434733.78,273736,4.0,3.0,1874.0,6750.0,394493.0,25,18,2019,0.0,4.0,1.0,296800.0
793,2020-10-19,1268030,558686.82,390146,4.0,3.0,2426.0,5251.0,506168.0,25,2,2012,1.0,7.0,10.0,436100.0
795,2020-10-19,1272496,237800.28,147338,4.0,2.0,1651.0,7676.0,284948.0,25,3,2016,1.0,13.0,3.0,211000.0
796,2020-10-19,1267735,255977.92,239446,3.0,2.0,1898.0,4243.0,342236.0,25,12,2019,1.0,2.5,2.0,260000.0
808,2020-10-13,1269981,306604.53,200490,3.0,2.0,1708.0,4712.0,296915.0,31,27,2019,0.0,10.0,2.0,252400.0
810,2020-10-13,1271314,395618.49,177116,3.0,3.0,1347.0,3750.0,252190.0,31,13,2018,1.0,14.0,1.0,60100.0
811,2020-10-13,1270005,448559.41,278006,3.0,1.0,1206.0,5936.0,370246.0,31,26,2019,0.0,4.0,2.0,291400.0
816,2020-10-13,1268057,314474.96,137760,3.0,2.0,1292.0,7425.0,434672.0,31,21,2019,1.0,3.0,2.0,329200.0
827,2020-10-13,1269619,226844.4,171020,3.0,2.0,1231.0,5121.0,249901.0,31,22,2019,0.0,2.0,4.0,230000.0
835,2020-10-13,1270128,749403.36,356840,3.0,2.0,2783.0,54450.0,512037.0,31,12,2018,1.0,2.0,6.0,169100.0
836,2020-10-07,1270597,388431.85,63585,2.0,1.0,1311.0,5500.0,372178.0,10,6,2019,1.0,9.0,1.0,200100.0
840,2020-10-07,1270176,148352.49,199849,3.0,2.0,1334.0,8025.0,310471.0,10,7,2019,1.0,6.0,3.0,265900.0
846,2020-10-06,1267732,240075.09,134512,4.0,2.0,1512.0,8250.0,290751.0,2,1,2017,0.0,7.0,2.0,266100.0
847,2020-10-06,1267733,371966.02,268499,4.0,3.0,1680.0,9583.0,368072.0,2,2,2019,0.0,3.0,2.0,275600.0
849,2020-10-05,1270575,237753.79,115069,2.0,1.0,842.0,8142.0,338847.0,22,22,2020,1.0,4.0,1.0,130100.0
853,2020-10-05,1269665,1037122.11,377490,4.0,3.0,2169.0,7255.0,489128.0,22,4,2015,1.0,7.0,2.0,395200.0
855,2020-10-05,1271494,79855.21,82982,3.0,2.0,1456.0,5300.0,259315.0,22,19,2019,0.0,3.0,3.0,201100.0
860,2020-10-05,1268771,942109.38,428431,5.0,4.0,2944.0,6304.0,550851.0,22,16,2019,0.0,9.0,4.0,452100.0
861,2020-10-05,1270574,537080.74,549792,3.0,2.0,2270.0,10650.0,464297.0,22,13,2018,0.0,1.0,2.0,369100.0
863,2020-10-05,1267567,367222.75,281596,4.0,3.0,2003.0,4960.0,414269.0,22,21,2019,0.0,7.0,1.0,169100.0
867,2020-10-05,1270123,269393.98,171234,2.0,1.0,1010.0,6000.0,286267.0,22,12,2018,0.0,8.0,1.0,195500.0
873,2020-09-30,1268774,153166.45,164518,3.0,2.0,1445.0,7500.0,294791.0,14,12,2019,0.0,2.0,3.0,210100.0
875,2020-09-30,1270040,414390.9,179849,2.0,2.0,992.0,4077.0,313658.0,14,6,2018,1.0,4.0,1.0,250200.0
