,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
116,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,1.0
117,2021-01-19,1276198,237959.97,178191,2.0,2.0,2798.0,40946.4,430584.0,41,17,2018,0.0,4.0,3.0,1.0
119,2021-01-19,1279800,315627.0,259477,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,1.0
122,2021-01-19,1277833,336825.91,155595,3.0,2.0,2030.0,8019.0,332339.0,41,6,2013,0.0,15.0,4.0,0.0
128,2021-01-19,1274161,445269.66,319032,3.0,2.0,1192.0,7875.0,404527.0,41,31,2019,0.0,3.0,1.0,0.0
129,2021-01-19,1280269,179424.41,189527,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,1.0
131,2021-01-19,1274197,504894.55,300967,4.0,3.0,2852.0,12154.0,570267.0,41,27,2019,1.0,3.0,1.0,1.0
133,2021-01-19,1279164,19109.28,205247,3.0,2.0,1897.0,6448.0,290859.0,41,34,2019,1.0,1.0,2.0,0.0
134,2021-01-19,1275634,183185.14,59173,2.0,2.0,888.0,6250.0,284017.0,41,5,2013,0.0,6.0,1.0,0.0
135,2021-01-19,1276583,401667.48,123498,3.0,2.0,1815.0,7500.0,358383.0,41,18,2018,0.0,2.0,1.0,0.0
136,2021-01-19,1278565,491856.31,401649,2.0,1.0,2001.0,7875.0,314363.0,41,4,2012,0.0,7.0,7.0,1.0
137,2021-01-19,1278929,169049.58,86923,3.0,2.0,1845.0,8355.0,334072.0,41,33,2019,0.0,4.0,2.0,0.0
139,2021-01-19,1272195,250451.96,429454,2.0,2.0,2093.0,6482.1,743084.0,41,26,2019,0.0,2.0,1.0,0.0
140,2021-01-19,1274197,504894.55,300967,4.0,3.0,2852.0,12154.0,570267.0,41,27,2019,1.0,3.0,1.0,1.0
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,1.0
142,2021-01-19,1274201,454533.11,272851,2.0,2.0,1325.0,13841.0,403870.0,41,11,2018,1.0,5.0,1.0,0.0
143,2021-01-19,1276228,470314.51,388163,4.0,2.0,2519.0,4500.0,488214.0,41,13,2018,1.0,4.0,3.0,1.0
144,2021-01-19,1279029,205990.15,160510,3.0,2.0,1234.0,7400.0,220179.0,41,35,2019,0.0,2.0,2.0,0.0
145,2021-01-13,1273325,342348.19,190003,3.0,2.0,1673.0,8400.0,449639.0,38,2,2012,0.0,3.0,2.0,0.0
147,2021-01-13,1279833,383746.02,460555,4.0,3.0,2593.0,18940.0,725929.0,38,3,2013,1.0,7.0,9.0,0.0
148,2021-01-13,1272419,485091.47,341042,5.0,4.0,3663.0,44649.0,739352.0,38,7,2015,1.0,4.0,9.0,1.0
149,2021-01-13,1275594,302680.82,231354,3.0,1.0,1884.0,7650.0,325540.0,38,4,2013,0.0,8.0,9.0,0.0
