,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
15761,2018-03-14,1135806,349334.55,261503,4.0,2.0,1520.0,5000.0,338314.0,36,2,2009,0.0,4.0,3.0,300000.00
15767,2018-03-13,1134656,408879.48,269131,4.0,2.0,1828.0,3760.0,316392.0,44,3,2009,0.0,3.0,5.0,249900.00
15770,2018-03-13,1134765,509864.36,289757,4.0,2.0,1903.0,6000.0,382607.0,44,23,2015,1.0,4.0,3.0,544757.21
15778,2018-03-13,1127692,993010.89,473803,5.0,4.0,3294.0,15631.0,553892.0,44,7,2011,1.0,8.0,5.0,462500.00
15791,2018-03-13,1129606,203895.78,168068,3.0,1.0,1025.0,7020.0,175014.0,44,39,2017,0.0,1.0,4.0,142500.00
15792,2018-03-13,1136379,123600.66,240591,3.0,2.0,3034.0,10725.0,315100.0,44,8,2012,0.0,2.0,4.0,185023.89
15796,2018-03-13,1134409,323016.75,124000,3.0,2.0,1253.0,1572.0,148477.0,44,42,2017,1.0,4.0,2.0,377655.00
15797,2018-03-13,1135045,914168.63,487374,5.0,4.0,5047.0,8625.0,624100.0,44,4,2009,0.0,4.0,7.0,914168.63
15799,2018-03-13,1134397,284244.13,313629,5.0,2.0,1940.0,5600.0,437740.0,44,31,2016,0.0,4.0,3.0,297642.50
15800,2018-03-13,1135372,566729.79,304589,6.0,4.0,3379.0,6000.0,364406.0,44,11,2012,1.0,2.0,6.0,366000.00
15801,2018-03-13,1134740,277397.99,246764,3.0,1.0,1410.0,7800.0,266471.0,44,30,2016,0.0,3.0,5.0,220500.00
15807,2018-03-13,1135119,654577.48,417854,4.0,4.0,2964.0,7125.0,510587.0,44,41,2017,1.0,5.0,2.0,377655.00
15810,2018-03-12,1135121,273102.32,226183,3.0,2.0,1455.0,7826.0,240976.0,33,16,2016,1.0,5.0,1.0,208200.00
15817,2018-03-12,1132716,506606.44,199000,4.0,2.0,2040.0,2563.0,747387.0,33,12,2016,1.0,3.0,3.0,194400.00
15818,2018-03-12,1132554,436619.32,281376,3.0,2.0,1680.0,7000.0,328844.0,33,17,2016,0.0,2.0,3.0,220660.67
15822,2018-03-12,1127402,283818.83,121626,3.0,2.0,1308.0,1400.0,232787.0,33,28,2017,1.0,4.0,8.0,293192.61
15826,2018-03-12,1134655,278088.61,207467,4.0,2.0,1580.0,11342.0,246718.0,33,8,2015,0.0,2.0,9.0,184500.00
15827,2018-03-12,1132561,243033.7,250861,5.0,2.0,1529.0,5350.0,286849.0,33,23,2016,0.0,3.0,5.0,210600.00
15833,2018-03-12,1132726,543856.24,265288,3.0,2.0,1507.0,4372.0,392220.0,33,25,2017,0.0,3.0,5.0,267750.00
15841,2018-03-09,1134366,211700.38,449971,6.0,4.0,2733.0,9278.0,517797.0,54,17,2015,0.0,2.0,2.0,211700.38
15844,2018-03-09,1132919,112648.33,145765,2.0,2.0,1554.0,9940.0,391757.0,54,2,2011,0.0,4.0,1.0,113639.01
15852,2018-03-09,1132749,357852.13,209773,5.0,3.0,1727.0,5000.0,244845.0,54,16,2015,1.0,5.0,1.0,204000.00
15862,2018-03-09,1132570,636250.63,656966,3.0,2.0,1908.0,9006.0,715353.0,54,5,2013,1.0,4.0,1.0,494000.00
15863,2018-03-09,1132103,1073614.82,409635,4.0,4.0,3200.0,217800.0,752333.0,54,11,2014,0.0,2.0,4.0,412100.00
15868,2018-03-09,1132107,459046.39,292298,4.0,2.0,2070.0,4893.0,381323.0,54,7,2013,1.0,17.0,2.0,226044.00
15875,2018-03-09,1125377,452864.89,319906,4.0,3.0,3056.0,6503.0,487450.0,54,1,2010,0.0,3.0,5.0,567159.52
15877,2018-03-09,1134387,1297680.43,694358,4.0,4.0,3720.0,28183.32,1165204.0,54,6,2013,0.0,5.0,4.0,841500.00
15883,2018-03-09,1132111,153120.18,214365,3.0,2.0,2008.0,1.0,222559.0,54,51,2017,0.0,2.0,4.0,155979.46
15892,2018-03-08,1115210,357197.53,244695,2.0,2.0,1491.0,1280.0,280462.0,68,5,2015,1.0,4.0,1.0,249800.00
15897,2018-03-08,1132385,359057.3,168000,3.0,2.0,1732.0,1540.0,189269.0,68,12,2016,1.0,4.0,1.0,278370.22
15900,2018-03-08,1136292,678774.03,273378,3.0,2.0,1656.0,8183.0,279960.0,68,11,2016,1.0,8.0,3.0,713308.62
15902,2018-03-07,1126657,547164.42,272446,3.0,2.0,1541.0,3603.0,318859.0,11,6,2016,0.0,5.0,4.0,206010.00
15903,2018-03-07,1126663,292912.87,269267,4.0,2.0,1653.0,5843.0,325749.0,11,4,2015,0.0,11.0,8.0,282000.00
15904,2018-03-07,1136291,485029.51,270000,4.0,3.0,1808.0,1474.0,338644.0,11,1,2009,1.0,3.0,5.0,330750.00
15910,2018-03-07,1134943,279216.43,204280,3.0,2.0,1262.0,3234.0,204116.0,11,10,2017,1.0,8.0,1.0,199831.13
15912,2018-03-06,1135891,379933.66,316735,4.0,2.0,2172.0,7840.0,375579.0,23,7,2016,1.0,6.0,6.0,237639.23
15920,2018-03-06,1133856,514345.43,341222,4.0,2.0,1980.0,4628.0,357029.0,23,2,2012,1.0,12.0,7.0,514345.43
15925,2018-03-06,1133536,499768.6,264659,2.0,1.0,1331.0,5000.0,460897.0,23,16,2017,0.0,2.0,4.0,514917.48
15926,2018-03-06,1138715,451190.77,90841,3.0,1.0,1570.0,8680.0,196696.0,23,19,2017,0.0,15.0,1.0,280000.00
15930,2018-03-06,1135836,227770.22,164685,3.0,2.0,864.0,8960.0,198049.0,23,14,2016,0.0,7.0,1.0,229328.52
15942,2018-03-05,1122416,155134.96,191665,3.0,2.0,1294.0,9030.0,233668.0,72,47,2016,0.0,9.0,4.0,160754.56
15952,2018-03-05,1131475,173192.4,211903,3.0,2.0,1200.0,8850.0,236170.0,72,22,2015,0.0,2.0,3.0,177726.26
15961,2018-03-05,1136064,355160.25,273620,3.0,2.0,1505.0,5122.0,306284.0,72,45,2016,1.0,8.0,1.0,335000.00
15967,2018-03-05,1131344,442413.61,245204,4.0,2.0,1478.0,8250.0,256784.0,72,49,2016,1.0,3.0,3.0,442413.61
15974,2018-03-05,1122494,547465.34,299462,3.0,2.0,1465.0,10148.0,377188.0,72,46,2016,1.0,4.0,1.0,321751.36
15987,2018-03-05,1135380,215513.29,190017,4.0,2.0,1350.0,11167.0,242412.0,72,59,2016,1.0,4.0,4.0,183600.00
15988,2018-03-05,1131361,494374.77,287599,5.0,3.0,1701.0,6097.0,374567.0,72,1,2008,1.0,6.0,4.0,362170.02
15990,2018-03-05,1135841,133907.41,128000,2.0,2.0,960.0,3150.0,167633.0,72,67,2017,1.0,5.0,1.0,86981.47
