,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
193,2021-01-12,1277096,16192.75,360851,4.0,3.0,2650.0,4006.0,520656.0,41,23,2019,1.0,3.0,2.0,100000.0
195,2021-01-12,1278725,358365.45,178000,2.0,2.0,960.0,0.0,231028.0,41,11,2018,1.0,9.0,2.0,175100.0
196,2021-01-12,1279023,310098.1,128392,2.0,2.0,1143.0,0.0,247086.0,41,24,2019,1.0,4.0,2.0,161400.0
197,2021-01-12,1280851,1590667.72,955500,4.0,4.0,1871.0,0.0,350918.0,41,39,2020,1.0,5.0,1.0,12100.0
202,2021-01-12,1279689,491467.32,496593,4.0,3.0,2982.0,11790.0,763590.0,41,2,2014,0.0,7.0,1.0,540100.0
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,0.0,381160.0,41,19,2018,1.0,1.0,2.0,90100.0
204,2021-01-12,1279028,913038.22,630243,5.0,3.0,3646.0,15680.0,848410.0,41,9,2017,1.0,7.0,3.0,621000.0
206,2021-01-12,1278210,232091.81,276955,3.0,2.0,1420.0,4827.0,395699.0,41,33,2019,0.0,4.0,2.0,317300.0
208,2021-01-12,1277092,367285.94,322000,2.0,1.0,988.0,0.0,328275.0,41,35,2019,1.0,4.0,1.0,265100.0
209,2021-01-12,1279163,122840.8,15116,1.0,1.0,660.0,0.0,60216.0,41,36,2019,1.0,2.0,2.0,52100.0
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,60100.0
213,2021-01-11,1272000,426647.62,180442,3.0,2.0,2043.0,6681.15,351807.0,59,40,2019,0.0,2.0,1.0,280100.0
219,2021-01-11,1275431,366278.72,233000,3.0,2.0,1758.0,1521.0,309715.0,59,14,2017,1.0,2.0,1.0,260500.0
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,0.0,195921.0,59,41,2019,1.0,4.0,1.0,147300.0
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,2400.0
222,2021-01-11,1278043,303475.41,104927,0.0,1.0,540.0,0.0,216376.0,59,9,2016,1.0,4.0,2.0,150100.0
224,2021-01-11,1272001,621241.69,276200,2.0,2.0,1175.0,0.0,324968.0,59,18,2018,1.0,5.0,2.0,100.0
226,2021-01-11,1279166,814997.52,355169,4.0,2.0,3374.0,20185.5,697205.0,59,6,2014,1.0,4.0,1.0,535600.0
229,2021-01-11,1277559,181073.96,262170,4.0,2.0,2058.0,18447.0,643894.0,59,21,2018,1.0,12.0,6.0,525600.0
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,0.0,111891.0,59,59,2020,1.0,1.0,1.0,35100.0
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
250,2021-01-11,1274909,389275.63,138616,4.0,2.0,1930.0,8866.0,447067.0,59,44,2019,0.0,4.0,1.0,389300.0
255,2021-01-11,1281014,295482.78,167259,2.0,1.0,1085.0,8250.0,327305.0,59,36,2019,0.0,5.0,2.0,271300.0
258,2021-01-11,1278121,98747.04,27003,2.0,2.0,895.0,0.0,129682.0,59,11,2016,1.0,5.0,6.0,13100.0
261,2021-01-11,1276333,202678.78,211500,1.0,1.0,692.0,0.0,304934.0,59,55,2020,1.0,3.0,1.0,1600.0
263,2021-01-11,1278792,51612.32,61776,2.0,1.0,921.0,0.0,166466.0,59,43,2019,1.0,2.0,1.0,51700.0
265,2021-01-06,1277548,570191.77,197201,3.0,1.0,2001.0,5650.0,341517.0,75,5,2014,0.0,3.0,1.0,250600.0
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,180100.0
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
273,2021-01-06,1274203,204168.74,90000,2.0,1.0,1181.0,0.0,135386.0,75,54,2019,1.0,3.0,1.0,68300.0
275,2021-01-06,1279217,702186.27,258445,2.0,2.0,942.0,0.0,352724.0,75,17,2017,1.0,16.0,1.0,260300.0
278,2021-01-06,1272013,305089.03,128750,2.0,2.0,968.0,0.0,176718.0,75,11,2016,1.0,3.0,2.0,154100.0
281,2021-01-06,1274734,223590.69,197652,1.0,1.0,806.0,0.0,291608.0,75,56,2019,1.0,7.0,1.0,227100.0
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,0.0,866381.0,75,74,2020,1.0,3.0,1.0,101100.0
288,2021-01-06,1278456,377007.24,125592,4.0,2.0,1475.0,3392.0,354381.0,75,65,2019,0.0,3.0,1.0,315200.0
292,2021-01-06,1276368,380090.12,195810,3.0,2.0,1109.0,0.0,249806.0,75,27,2018,1.0,6.0,3.0,220100.0
299,2021-01-06,1277826,333967.79,289424,3.0,2.0,1524.0,7541.0,409267.0,75,14,2016,1.0,4.0,4.0,324100.0
304,2021-01-06,1281378,446283.09,369979,4.0,2.0,2150.0,15960.0,575092.0,75,44,2019,0.0,8.0,1.0,445100.0
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,0.0,283469.0,75,58,2019,1.0,4.0,1.0,122700.0
316,2021-01-06,1277827,116626.29,49191,1.0,1.0,700.0,0.0,182725.0,75,46,2019,1.0,7.0,2.0,89700.0
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
323,2021-01-06,1278152,286128.55,164800,1.0,1.0,667.0,0.0,204478.0,75,68,2019,1.0,4.0,1.0,2100.0
328,2021-01-06,1272482,506114.88,332476,4.0,3.0,1985.0,7772.0,502278.0,75,12,2016,1.0,8.0,7.0,417800.0
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
337,2021-01-05,1278075,328213.1,149683,3.0,2.0,1205.0,0.0,217039.0,27,11,2019,1.0,7.0,1.0,180000.0
343,2021-01-05,1277728,694073.13,294412,3.0,2.0,1705.0,4700.0,389794.0,27,1,2014,1.0,5.0,2.0,320200.0
347,2021-01-05,1278078,276256.02,126700,2.0,2.0,1080.0,0.0,253390.0,27,25,2020,1.0,3.0,1.0,110800.0
349,2021-01-05,1279220,28264.5,68009,2.0,2.0,1130.0,0.0,136410.0,27,17,2019,1.0,1.0,2.0,28700.0
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
354,2021-01-05,1277832,11909.12,106080,1.0,1.0,749.0,0.0,146184.0,27,16,2019,1.0,2.0,1.0,49900.0
355,2021-01-05,1277721,706061.8,371758,5.0,3.0,3435.0,23400.0,372616.0,27,4,2017,0.0,2.0,2.0,656100.0
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,0.0,164960.0,72,46,2019,1.0,5.0,1.0,137500.0
364,2021-01-04,1273116,321800.03,179100,2.0,1.0,1055.0,4536.0,289644.0,72,19,2017,1.0,2.5,3.0,255100.0
371,2021-01-04,1274828,284028.23,44704,2.0,1.0,715.0,9240.0,252597.0,72,51,2019,0.0,2.0,2.0,207300.0
373,2021-01-04,1279812,228217.74,249613,4.0,2.0,1518.0,3780.0,437468.0,72,35,2019,1.0,9.0,1.0,351600.0
374,2021-01-04,1277561,91409.65,203000,2.0,1.0,1573.0,1802.0,287644.0,72,16,2017,1.0,5.0,3.0,70100.0
379,2021-01-04,1275973,546785.16,247000,3.0,2.0,1537.0,1953.0,285322.0,72,11,2016,1.0,4.0,7.0,277600.0
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,0.0,267463.0,72,24,2018,1.0,5.0,3.0,355100.0
381,2021-01-04,1271160,545078.46,261850,3.0,2.0,1701.0,4775.0,405066.0,72,26,2018,1.0,7.0,1.0,350100.0
383,2021-01-04,1274741,117608.9,105541,3.0,2.0,1250.0,7500.0,251987.0,72,23,2018,0.0,7.0,2.0,185200.0
389,2021-01-04,1272589,781276.05,365616,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
393,2021-01-04,1274937,211494.68,203060,2.0,2.0,960.0,0.0,286473.0,72,32,2018,1.0,8.0,4.0,198200.0
396,2021-01-04,1270034,119599.31,94994,0.0,0.0,0.0,9227.52,428371.0,72,53,2019,1.0,1.0,1.0,165100.0
