,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
2680,2020-02-03,1240143,478004.07,148372,182250.00,4.0,2.0,1616.0,1750.0,230916.0,63,36,2018,1.0,6.0,1.0,182300.0
2684,2020-02-03,1235646,530052.29,258723,320400.00,3.0,2.0,1454.0,5892.0,373194.0,63,24,2018,1.0,9.0,1.0,169100.0
2698,2020-02-03,1243906,1002517.91,928525,1036360.81,6.0,4.0,4171.0,15000.0,1592959.0,63,21,2017,0.0,3.0,3.0,500100.0
2718,2020-01-28,1243767,224712.38,216773,229716.00,3.0,1.0,936.0,6300.0,297172.0,25,3,2012,0.0,13.0,2.0,250100.0
2720,2020-01-28,1240346,1142965.31,1015496,1275000.00,4.0,3.0,2745.0,11616.0,1293153.0,25,7,2015,0.0,5.0,8.0,800600.0
2731,2020-01-27,1235253,1294392.9,738505,750000.00,4.0,4.0,5080.0,209523.6,262400.0,76,34,2018,0.0,8.0,1.0,350100.0
2737,2020-01-27,1245297,491446.13,241181,263250.00,4.0,2.0,1540.0,7140.0,361197.0,76,28,2017,1.0,5.0,2.0,282000.0
2754,2020-01-27,1231231,850356.1,376255,874690.39,4.0,2.0,2267.0,46609.2,360300.0,76,36,2018,1.0,3.0,1.0,600100.0
2769,2020-01-27,1235235,796022.27,444251,498500.00,5.0,3.0,3039.0,16786.0,587281.0,76,6,2013,0.0,8.0,4.0,498600.0
2775,2020-01-27,1231451,648271.8,337262,348000.00,3.0,2.0,1644.0,15000.0,493285.0,76,39,2018,0.0,5.0,1.0,366000.0
2776,2020-01-27,1242910,371127.75,260991,264750.00,5.0,3.0,2202.0,7200.0,447108.0,76,37,2018,1.0,4.0,2.0,328600.0
2796,2020-01-27,1242899,363280.69,358959,417086.32,2.0,2.0,1410.0,7755.0,564764.0,76,18,2016,0.0,2.0,9.0,50100.0
2799,2020-01-27,1235218,554034.64,316623,269522.67,4.0,2.0,1775.0,9900.0,396654.0,76,23,2017,1.0,6.0,1.0,10100.0
2820,2020-01-22,1244138,183474.18,177000,189074.18,2.0,2.0,1095.0,2172.0,237151.0,32,32,2019,1.0,5.0,1.0,169100.0
2827,2020-01-22,1249683,179158.72,188603,159669.34,4.0,2.0,1506.0,5088.0,288248.0,32,28,2019,0.0,9.0,2.0,245200.0
2828,2020-01-22,1234508,419750.73,220459,306940.00,3.0,2.0,1654.0,5500.0,334453.0,32,19,2019,1.0,3.0,1.0,307000.0
2836,2020-01-21,1237606,839786.26,288118,682485.15,4.0,2.0,1453.0,5404.0,372691.0,110,4,2010,0.0,3.0,3.0,450100.0
2839,2020-01-21,1234510,429735.7,176127,425000.00,4.0,3.0,2098.0,7326.0,367616.0,110,5,2010,0.0,8.0,1.0,420100.0
2846,2020-01-21,1247600,177476.3,152881,179000.36,3.0,2.0,1169.0,7561.0,257230.0,110,106,2019,0.0,4.0,1.0,201300.0
2866,2020-01-21,1244118,423817.3,145234,206400.00,2.0,2.0,1089.0,2205.0,242885.0,110,103,2019,1.0,4.0,1.0,206500.0
