,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
13031,2018-07-12,1156838,1011806.56,299035,4.0,2.0,1688.0,11250.0,447781.0,85,16,2016,0.0,4.0,1.0,221250.00
13055,2018-07-11,1148119,156116.72,139360,2.0,2.0,972.0,0.0,182026.0,35,32,2017,1.0,2.0,2.0,158816.72
13057,2018-07-11,1158985,181821.54,173467,3.0,2.0,1385.0,7875.0,261677.0,35,20,2016,0.0,5.0,1.0,171154.27
13082,2018-07-09,1156787,262836.13,254255,3.0,2.0,1418.0,21904.0,252818.0,45,28,2016,0.0,3.0,3.0,150000.00
13153,2018-07-06,1156416,39490.87,226100,1.0,1.0,1026.0,0.0,355576.0,62,58,2017,1.0,2.0,4.0,44346.36
13156,2018-07-06,1155091,14018.65,90960,2.0,2.0,1317.0,0.0,116320.0,62,7,2012,1.0,2.0,2.0,16900.00
13158,2018-07-06,1156531,245514.61,254151,4.0,2.0,1475.0,3402.0,327167.0,62,45,2017,0.0,11.0,3.0,230900.00
13168,2018-07-06,1156633,285175.31,114000,2.0,2.0,890.0,0.0,136574.0,62,44,2017,1.0,26.0,1.0,106920.00
13208,2018-07-03,1146524,263376.0,117403,3.0,2.0,1515.0,4080.0,273794.0,39,32,2016,1.0,9.0,3.0,219370.50
13224,2018-07-03,1155972,162030.17,215318,3.0,1.0,1528.0,6900.0,259020.0,39,23,2016,0.0,5.0,2.0,170512.91
13237,2018-07-02,1145887,421745.28,280291,3.0,2.0,1698.0,4500.0,357381.0,32,17,2015,1.0,4.0,3.0,275000.00
13239,2018-07-02,1146779,413128.72,248875,3.0,2.0,1511.0,1516.0,316600.0,32,27,2017,1.0,5.0,1.0,265200.00
13256,2018-07-02,1151560,298740.83,136188,2.0,1.0,901.0,0.0,180908.0,32,24,2016,1.0,3.0,2.0,113400.00
13286,2018-06-28,1141575,342655.23,235090,3.0,2.0,1465.0,8775.0,287056.0,11,3,2015,1.0,7.0,1.0,234500.00
13296,2018-06-27,1141791,639174.35,229983,4.0,2.0,2326.0,5845.0,282702.0,54,14,2014,1.0,4.0,1.0,220450.62
13303,2018-06-27,1155301,39795.26,185078,2.0,1.0,1209.0,5040.0,205877.0,54,9,2013,0.0,18.0,1.0,40433.43
13305,2018-06-27,1153842,100960.72,215000,3.0,2.0,1276.0,2065.0,260174.0,54,15,2015,1.0,4.0,2.0,100960.72
13306,2018-06-27,1154170,439180.17,461944,2.0,2.0,1495.0,5650.0,492500.0,54,8,2013,0.0,5.0,3.0,461665.60
13307,2018-06-27,1154166,213061.88,136800,2.0,2.0,1275.0,0.0,195528.0,54,3,2011,1.0,4.0,4.0,95732.82
13331,2018-06-25,1149655,199242.71,95809,0.0,1.0,355.0,0.0,331500.0,53,52,2017,0.0,2.0,1.0,92340.00
13334,2018-06-25,1154171,164617.6,177788,4.0,2.0,2261.0,7314.0,344710.0,53,49,2017,0.0,3.0,3.0,143644.34
13344,2018-06-22,1145334,281337.68,121920,2.0,2.0,1100.0,0.0,157007.0,39,18,2016,1.0,58.0,1.0,150000.00
13350,2018-06-22,1140447,414096.68,160930,2.0,2.0,600.0,0.0,264500.0,39,30,2017,1.0,3.0,1.0,175400.00
13392,2018-06-20,1152962,482712.52,316382,4.0,3.0,2032.0,5071.0,388008.0,47,8,2012,1.0,6.0,4.0,275625.00
13397,2018-06-20,1149577,270965.91,306316,4.0,2.0,2060.0,4840.0,351172.0,47,3,2009,1.0,4.0,1.0,274896.01
13440,2018-06-19,1149388,312180.18,176800,3.0,2.0,1190.0,0.0,197400.0,12,11,2017,1.0,4.0,3.0,170100.00
13552,2018-06-13,1151836,365594.23,226295,3.0,3.0,1425.0,3142.0,281507.0,34,7,2015,1.0,7.0,1.0,217200.00
13579,2018-06-12,1151838,220604.58,93000,2.0,2.0,822.0,0.0,112451.0,50,24,2016,1.0,8.0,1.0,81249.50
13587,2018-06-12,1148206,57970.66,95000,1.0,0.0,432.0,0.0,119673.0,50,46,2017,1.0,10.0,1.0,57970.66
13605,2018-06-12,1152176,276217.5,281736,4.0,2.0,2196.0,58588.2,425605.0,50,12,2015,0.0,5.0,4.0,304889.26
13638,2018-06-11,1147680,205782.87,290695,5.0,3.0,2817.0,17193.38,377429.0,39,27,2016,0.0,4.0,2.0,215690.07
13666,2018-06-08,1147174,251116.09,296291,3.0,1.0,1730.0,7800.0,379985.0,26,20,2016,0.0,1.0,2.0,252525.51
13689,2018-06-06,1151349,199340.89,411842,3.0,2.0,1434.0,8965.4,466800.0,22,22,2017,1.0,2.0,1.0,207318.97
13720,2018-06-05,1151568,122953.36,186637,2.0,1.0,908.0,6480.0,212607.0,30,16,2015,0.0,6.0,2.0,131602.61
13731,2018-06-05,1142680,300979.31,316409,4.0,3.0,2433.0,3822.0,320200.0,30,28,2017,0.0,1.0,1.0,305910.95
13747,2018-06-04,1149098,262439.23,130000,2.0,2.0,979.0,0.0,337300.0,73,62,2017,1.0,4.0,1.0,109200.00
13803,2018-06-01,1150472,141822.05,152499,3.0,2.0,1099.0,6848.0,193300.0,67,9,2013,1.0,5.0,2.0,85600.00
13815,2018-06-01,1150029,275565.47,112000,1.0,1.0,680.0,0.0,141275.0,67,15,2014,1.0,9.0,2.0,106920.00
13821,2018-06-01,1150126,307737.5,184460,4.0,3.0,1673.0,6027.0,300166.0,67,6,2011,0.0,9.0,2.0,198370.00
13838,2018-06-01,1150182,185988.71,149107,3.0,2.0,1338.0,15000.0,176075.0,67,57,2017,0.0,2.0,1.0,95000.00
13841,2018-06-01,1150173,278008.05,165700,2.0,2.0,1144.0,0.0,236092.0,67,48,2017,1.0,8.0,1.0,149113.60
13894,2018-05-30,1149543,118858.51,256773,4.0,2.0,1391.0,8250.0,265034.0,47,34,2016,1.0,3.0,1.0,113966.60
13898,2018-05-30,1149126,280220.02,155456,2.0,1.0,720.0,8740.0,164716.0,47,35,2016,1.0,3.0,1.0,106981.00
13936,2018-05-29,1139976,220156.97,193680,3.0,1.0,1228.0,9000.0,228317.0,63,23,2015,0.0,5.0,8.0,155000.00
13944,2018-05-29,1144818,256510.17,317371,4.0,2.0,2600.0,8403.0,379646.0,63,33,2016,1.0,4.0,3.0,274675.48
13971,2018-05-29,1140914,448902.44,315599,3.0,2.0,1100.0,7100.0,349988.0,63,20,2015,0.0,4.0,1.0,288100.00
14021,2018-05-24,1148636,113921.96,139340,2.0,2.0,955.0,0.0,348200.0,30,22,2017,1.0,6.0,1.0,108213.93
14028,2018-05-24,1148630,321068.08,239230,3.0,2.0,1621.0,6100.0,364984.0,30,25,2017,1.0,3.0,1.0,295800.00
14032,2018-05-24,1148702,691985.93,542453,4.0,3.0,4036.0,20155.0,789431.0,30,29,2017,0.0,1.0,2.0,595000.00
