,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
2767,2020-01-27,1242911,193976.85,106080,91000.00,2.0,2.0,835.0,146433.0,76,73,2019,3.0,2.0,5400.0
2808,2020-01-22,1247629,153507.95,89921,109900.00,1.0,1.0,749.0,132976.0,32,20,2019,2.0,1.0,125800.0
2840,2020-01-21,1233273,467812.77,160362,339900.00,2.0,2.0,1421.0,659900.0,110,6,2011,8.0,1.0,330100.0
2894,2020-01-21,1246379,85716.94,158000,90091.77,3.0,2.0,1262.0,207154.0,110,45,2018,4.0,2.0,168000.0
2911,2020-01-21,1241978,50662.31,164780,50662.31,3.0,2.0,1150.0,218126.0,110,38,2017,2.0,5.0,1100.0
2919,2020-01-21,1243177,189123.48,151100,134900.00,2.0,2.0,1157.0,191622.0,110,49,2018,2.0,1.0,130100.0
2920,2020-01-21,1247503,825040.32,499524,399900.00,2.0,3.0,1660.0,534662.0,110,18,2015,7.0,1.0,12600.0
2924,2020-01-21,1247307,160798.98,73607,76700.00,2.0,2.0,815.0,171600.0,110,79,2019,15.0,1.0,76800.0
2990,2020-01-14,1247010,583535.73,336680,392490.89,2.0,2.0,960.0,420653.0,36,14,2018,4.0,1.0,13600.0
3004,2020-01-13,1241135,125041.58,234934,137801.24,3.0,2.0,1459.0,299008.0,72,39,2018,5.0,3.0,228400.0
3033,2020-01-13,1241022,419760.57,325622,398500.00,2.0,2.0,1073.0,507128.0,72,62,2019,4.0,1.0,100.0
3094,2020-01-08,1245758,99817.75,70821,100862.23,2.0,1.0,800.0,205836.0,58,41,2019,3.0,1.0,123500.0
3098,2020-01-08,1243203,63646.19,253725,63646.19,2.0,2.0,1024.0,313557.0,58,53,2019,2.0,1.0,63700.0
3101,2020-01-08,1242577,238858.96,102511,163000.00,3.0,2.0,1379.0,251500.0,58,2,2009,5.0,1.0,160100.0
3112,2020-01-08,1245455,1038172.57,1254000,999999.00,3.0,4.0,2018.0,1262313.0,58,57,2019,3.0,1.0,100.0
3116,2020-01-08,1243139,166279.28,126200,166279.28,2.0,2.0,1353.0,212804.0,58,30,2018,3.0,1.0,5100.0
3140,2020-01-07,1242822,178192.91,95000,114600.00,1.0,1.0,800.0,131977.0,86,11,2014,11.0,1.0,100.0
3148,2020-01-07,1242821,159286.52,151007,160819.53,2.0,2.0,1080.0,198593.0,86,83,2019,2.0,1.0,100.0
3163,2020-01-07,1240871,51901.63,61079,51901.63,1.0,1.0,620.0,73423.0,86,54,2018,4.0,1.0,45100.0
3181,2020-01-07,1242917,104359.74,76320,72151.87,0.0,1.0,360.0,348100.0,86,74,2019,7.0,1.0,100.0
3191,2020-01-07,1243633,797657.3,627741,797657.30,2.0,2.0,1130.0,823417.0,86,12,2015,3.0,3.0,100.0
3201,2020-01-06,1234501,415411.56,171000,148200.00,1.0,1.0,1000.0,243687.0,211,83,2017,5.5,1.0,148800.0
3237,2020-01-06,1234725,127827.28,65151,78500.00,2.0,2.0,905.0,84839.0,211,90,2017,7.0,1.0,51000.0
3238,2020-01-06,1231382,536046.64,351303,333380.00,3.0,3.0,1226.0,400100.0,211,25,2014,3.0,1.0,100.0
3245,2020-01-06,1236070,615292.58,360270,508371.74,2.0,2.0,1397.0,575921.0,211,33,2015,4.0,10.0,12500.0
3258,2020-01-06,1229774,321341.59,153950,175500.00,3.0,2.0,1465.0,246094.0,211,173,2019,4.0,1.0,1300.0
3288,2020-01-06,1229705,239786.7,61700,155000.00,1.0,1.0,672.0,169261.0,211,84,2017,4.0,1.0,1700.0
3292,2020-01-06,1238353,284936.75,102637,140400.00,1.0,1.0,741.0,139761.0,211,118,2018,3.0,1.0,1300.0
3311,2020-01-06,1241332,65918.06,132407,65918.06,2.0,2.0,856.0,164012.0,211,66,2017,12.0,3.0,146700.0
3332,2020-01-06,1241904,20490.66,179388,31751.80,2.0,2.0,1542.0,348527.0,211,139,2018,1.0,3.0,207600.0
3342,2020-01-06,1242548,324754.09,146000,134940.00,1.0,1.0,720.0,183789.0,211,109,2018,7.0,1.0,2100.0
3348,2020-01-06,1231683,226808.95,91152,120625.00,2.0,2.0,892.0,148339.0,211,64,2017,4.0,2.0,76100.0
3361,2020-01-06,1240882,469165.83,688480,474915.20,0.0,0.0,5296.0,204500.0,211,192,2019,11.0,2.0,700100.0
3369,2020-01-06,1241739,86202.92,40130,50000.00,1.0,1.0,720.0,60660.0,211,170,2019,7.0,1.0,33400.0
3373,2020-01-06,1243014,653181.52,283248,275300.00,3.0,2.0,1220.0,433740.0,211,48,2016,7.0,2.0,300.0
3392,2020-01-06,1240275,190405.66,60068,124020.00,0.0,0.0,904.0,167600.0,211,181,2019,2.0,1.0,1300.0
3403,2019-12-18,1240948,444654.11,290000,348600.00,1.0,1.0,806.0,273088.0,33,20,2018,8.0,2.0,1300.0
3411,2019-12-18,1241313,224686.15,134592,125550.00,2.0,1.0,800.0,159426.0,33,28,2019,6.0,1.0,136300.0
3415,2019-12-18,1241264,195252.52,82321,127500.00,1.0,1.0,620.0,147219.0,33,22,2019,3.0,1.0,1300.0
3429,2019-12-17,1239972,135003.92,116550,111900.00,1.0,1.0,1125.0,204300.0,28,21,2019,7.0,2.0,5100.0
3436,2019-12-17,1241381,137606.32,154900,138760.62,0.0,1.0,600.0,180306.0,28,27,2019,6.0,1.0,152400.0
3447,2019-12-16,1239758,122754.84,101115,85000.00,0.0,0.0,321.0,540300.0,61,56,2019,4.0,1.0,4400.0
3496,2019-12-16,1238375,144323.96,61380,48058.00,1.0,2.0,861.0,167400.0,61,30,2018,8.0,1.0,48100.0
3530,2019-12-11,1240880,331271.63,158484,150000.00,3.0,2.0,1652.0,197601.0,57,49,2019,7.0,1.0,150100.0
3536,2019-12-11,1240415,293024.92,97272,90720.00,1.0,1.0,432.0,142603.0,57,11,2016,14.0,2.0,15400.0
3560,2019-12-09,1226330,38688.67,69156,38688.67,1.0,1.0,825.0,88828.0,88,68,2018,1.0,1.0,55300.0
3587,2019-12-09,1239895,94347.71,80600,85265.31,0.0,0.0,584.0,140359.0,88,3,2014,4.0,2.0,15100.0
3592,2019-12-09,1227387,262394.02,156450,195000.00,2.0,2.0,845.0,200959.0,88,27,2017,8.0,1.0,11100.0
3597,2019-12-09,1236899,258004.89,205394,252000.00,2.0,2.0,1235.0,265358.0,88,30,2017,4.0,1.0,16100.0
3621,2019-12-09,1238358,169896.26,137739,143370.00,2.0,2.0,1140.0,175720.0,88,13,2016,4.0,3.0,143400.0
3622,2019-12-09,1239754,207848.22,135044,142500.00,2.0,1.0,830.0,158448.0,88,81,2019,4.0,1.0,127800.0
3638,2019-12-09,1240198,258157.16,130950,135270.00,2.0,1.0,968.0,204300.0,88,75,2019,6.0,1.0,142600.0
3644,2019-12-04,1235087,128672.7,109290,97658.56,2.0,2.0,960.0,141568.0,28,26,2019,3.0,1.0,97700.0
3664,2019-12-04,1239761,164685.23,124036,164685.23,1.0,1.0,575.0,197060.0,28,5,2016,7.0,1.0,20100.0
3684,2019-12-03,1239694,21809.76,79599,21809.76,2.0,2.0,1428.0,150647.0,25,23,2019,1.0,1.0,47900.0
3700,2019-12-02,1239688,594726.37,326000,312000.00,3.0,2.0,1930.0,289405.0,75,38,2018,7.0,1.0,155100.0
3722,2019-12-02,1237922,137850.25,119500,100800.00,1.0,1.0,756.0,147513.0,75,47,2018,5.0,1.0,100900.0
3723,2019-12-02,1237908,292623.02,132000,137700.00,2.0,1.0,722.0,156651.0,75,55,2019,4.0,1.0,4100.0
3743,2019-12-02,1237734,199979.41,104908,199979.41,1.0,1.0,635.0,134544.0,75,66,2019,3.0,1.0,4100.0
3744,2019-12-02,1226470,222495.37,148516,137280.00,2.0,2.0,1224.0,180757.0,75,26,2017,10.0,1.0,158900.0
3747,2019-12-02,1237916,993445.83,323380,337500.00,2.0,2.0,1105.0,397436.0,75,11,2015,6.0,1.0,337600.0
3767,2019-11-27,1238342,150208.09,104408,110000.00,2.0,2.0,750.0,143773.0,51,35,2018,3.0,1.0,110100.0
3774,2019-11-27,1236797,682401.71,619818,600000.00,2.0,2.0,1694.0,894411.0,51,17,2017,6.0,4.0,600100.0
3776,2019-11-27,1238343,124827.84,184500,125653.60,1.0,1.0,980.0,344234.0,51,18,2017,6.0,1.0,210000.0
3814,2019-11-26,1232600,150571.07,99750,83200.00,1.0,1.0,648.0,131761.0,16,14,2019,7.0,1.0,105200.0
3858,2019-11-25,1238139,336156.88,215000,336156.88,3.0,2.0,1900.0,278960.0,66,64,2019,2.0,1.0,110100.0
3869,2019-11-25,1238149,61543.86,98000,61543.86,2.0,1.0,750.0,153158.0,66,65,2019,3.0,1.0,115000.0
3895,2019-11-20,1237624,171014.73,113000,95031.74,1.0,1.0,862.0,320800.0,31,28,2019,4.0,1.0,126100.0
3915,2019-11-19,1234433,3592831.35,3033945,3592831.35,3.0,3.0,4000.0,4013170.0,19,15,2018,14.0,1.0,4100.0
3929,2019-11-19,1236868,50662.31,164780,5000.00,3.0,2.0,1150.0,218803.0,19,6,2017,2.0,5.0,71100.0
3940,2019-11-18,1234431,276750.74,154000,166500.00,2.0,2.0,1061.0,190303.0,49,16,2016,7.0,1.0,50400.0
3952,2019-11-18,1235992,38664.41,101100,39000.21,1.0,1.0,741.0,142460.0,49,42,2018,5.0,1.0,90300.0
3956,2019-11-18,1235990,146063.32,88900,80803.62,1.0,1.0,533.0,123079.0,49,46,2018,3.0,1.0,98600.0
3962,2019-11-18,1230603,421692.06,255000,440356.83,1.0,1.0,1005.0,280988.0,49,28,2017,3.0,4.0,205900.0
3980,2019-11-13,1212883,211614.43,100000,117000.00,2.0,2.0,1048.0,133014.0,35,22,2018,3.0,1.0,3400.0
3998,2019-11-13,1214538,231257.06,183970,217787.00,2.0,2.0,1050.0,249318.0,35,23,2018,7.0,1.0,77800.0
4003,2019-11-13,1234554,327013.3,181300,233000.00,3.0,2.0,1253.0,231056.0,35,21,2018,4.0,2.0,2600.0
4053,2019-11-12,1224867,219589.93,136705,122500.00,2.0,2.0,1190.0,199865.0,109,97,2019,5.0,1.0,130100.0
4060,2019-11-12,1228059,2461958.74,983400,1100000.00,0.0,0.0,1912.0,1280304.0,109,11,2014,7.0,1.0,4100.0
4079,2019-11-12,1234694,453398.39,285930,340000.00,1.0,1.0,776.0,401500.0,109,94,2019,3.0,1.0,4100.0
4098,2019-11-12,1236007,479581.02,300510,340000.00,1.0,1.0,776.0,417200.0,109,95,2019,3.0,1.0,4100.0
4111,2019-11-12,1231705,21210.32,99189,25800.00,2.0,2.0,1317.0,135899.0,109,74,2018,1.0,2.0,4100.0
4120,2019-11-06,1229950,121562.28,163000,123525.59,3.0,2.0,1715.0,208505.0,40,17,2018,9.0,1.0,125600.0
4121,2019-11-06,1233659,74403.43,130114,7440.43,1.0,1.0,825.0,255133.0,40,8,2016,2.0,4.0,25100.0
4132,2019-11-06,1233522,145852.07,167500,168852.07,0.0,0.0,1232.0,217511.0,40,14,2017,3.0,5.0,100.0
4145,2019-11-06,1229967,174059.84,177450,174059.84,2.0,2.0,1102.0,219484.0,40,31,2018,4.0,4.0,5100.0
4147,2019-11-06,1227391,298750.28,171500,303737.34,1.0,2.0,905.0,234391.0,40,30,2018,3.0,1.0,4100.0
4168,2019-11-05,1232998,440820.79,302940,340000.00,1.0,1.0,776.0,402979.0,33,28,2019,3.0,1.0,4100.0
4169,2019-11-05,1232263,139347.4,158700,139347.40,2.0,2.0,1064.0,195148.0,33,7,2013,9.0,1.0,147400.0
4184,2019-11-04,1217755,363857.02,203700,268000.00,2.0,2.0,1185.0,361300.0,37,24,2018,11.0,1.0,10100.0
4191,2019-11-04,1233402,449414.53,283500,340000.00,1.0,1.0,776.0,401500.0,37,33,2019,3.0,1.0,4100.0
4207,2019-11-04,1220691,100422.32,89863,75551.67,1.0,1.0,760.0,123800.0,37,21,2018,2.0,1.0,90200.0
4247,2019-10-30,1231149,68720.01,69179,70500.00,1.0,1.0,1036.0,99213.0,51,26,2018,1.0,2.0,100.0
4263,2019-10-29,1231150,10942.89,120000,10942.89,3.0,2.0,1452.0,170200.0,57,53,2019,2.0,2.0,20100.0
