,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
337,2021-01-05,1278075,328213.1,149683,3.0,2.0,1205.0,217039.0,27,11,2019,7.0,1.0,1.0
339,2021-01-05,1278135,151901.24,196704,1.0,1.0,846.0,323127.0,27,13,2019,7.0,1.0,0.0
347,2021-01-05,1278078,276256.02,126700,2.0,2.0,1080.0,253390.0,27,25,2020,3.0,1.0,1.0
349,2021-01-05,1279220,28264.5,68009,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,1.0
351,2021-01-05,1277084,10391.22,138900,1.0,1.0,994.0,193333.0,27,20,2019,1.0,2.0,0.0
353,2021-01-05,1278941,22236.01,354197,2.0,2.0,1088.0,413116.0,27,22,2019,2.0,2.0,0.0
354,2021-01-05,1277832,11909.12,106080,1.0,1.0,749.0,146184.0,27,16,2019,2.0,1.0,1.0
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,1.0
361,2021-01-04,1270187,1178978.06,156450,2.0,2.0,923.0,226498.0,72,52,2019,5.0,2.0,0.0
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,1.0
393,2021-01-04,1274937,211494.68,203060,2.0,2.0,960.0,286473.0,72,32,2018,8.0,4.0,1.0
403,2021-01-04,1275234,101250.0,153248,3.0,2.0,1218.0,195749.0,72,66,2020,1.0,3.0,0.0
408,2021-01-04,1275549,25619.34,463443,3.0,3.0,1762.0,675762.0,72,64,2019,1.0,1.0,1.0
410,2021-01-04,1276320,438573.29,245500,2.0,2.0,1365.0,381193.0,72,56,2019,2.0,1.0,1.0
412,2021-01-04,1270891,175016.97,87000,1.0,1.0,676.0,132578.0,72,40,2019,4.0,3.0,0.0
414,2021-01-04,1277834,13073.18,84603,1.0,1.0,910.0,140001.0,72,60,2019,2.0,1.0,1.0
418,2021-01-04,1277560,72198.92,59474,3.0,1.0,930.0,252470.0,72,36,2019,1.0,2.0,1.0
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,1.0
420,2021-01-04,1277101,13073.18,84603,1.0,1.0,910.0,140001.0,72,61,2019,1.0,1.0,1.0
421,2021-01-04,1274935,200900.53,102511,3.0,2.0,1379.0,179180.0,72,55,2019,12.0,2.0,0.0
425,2020-12-16,1268940,310382.88,228355,3.0,2.0,1784.0,342893.0,20,15,2019,5.0,1.0,0.0
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,1.0
428,2020-12-16,1277289,34274.49,447032,2.0,2.0,1707.0,554694.0,20,17,2020,1.0,4.0,0.0
429,2020-12-16,1278038,15265.22,263000,3.0,2.0,1712.0,342580.0,20,18,2020,1.0,2.0,1.0
430,2020-12-16,1277860,186465.86,289747,3.0,2.0,1650.0,637559.0,20,1,2007,3.0,2.0,0.0
433,2020-12-16,1277723,75107.22,230199,1.0,1.0,1066.0,271343.0,20,6,2016,1.0,2.0,0.0
436,2020-12-16,1277086,17971.95,113413,2.0,2.0,1282.0,336152.0,20,7,2017,1.0,6.0,0.0
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,1.0
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,1.0
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,1.0
445,2020-12-15,1276927,11167.92,139866,2.0,2.0,979.0,226312.0,11,8,2019,1.0,1.0,1.0
448,2020-12-15,1272007,93652.35,117185,3.0,2.0,1207.0,200060.0,11,4,2018,3.0,1.0,0.0
449,2020-12-15,1277354,22229.1,348550,2.0,2.0,1464.0,350090.0,11,11,2020,1.0,3.0,0.0
455,2020-12-14,1276922,20058.64,32946,2.0,2.0,1078.0,136217.0,14,13,2020,4.0,1.0,0.0
459,2020-12-14,1277725,4363617.56,2067400,2.0,3.0,2942.0,3711543.0,14,10,2019,7.0,3.0,1.0
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,1.0
463,2020-12-14,1270655,325081.03,220000,1.0,1.0,690.0,278660.0,14,6,2019,2.0,5.0,0.0
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,1.0
466,2020-12-09,1277184,268513.61,186000,1.0,1.0,657.0,778793.0,5,4,2018,9.0,1.0,1.0
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,1.0
471,2020-12-08,1277035,54664.35,40597,2.0,2.0,1070.0,131463.0,16,15,2019,2.0,1.0,1.0
490,2020-12-07,1273660,216588.5,246565,1.0,1.0,828.0,385220.0,33,33,2020,7.0,1.0,0.0
493,2020-12-07,1274193,32506.66,85803,1.0,1.0,679.0,270127.0,33,22,2019,1.0,2.0,1.0
494,2020-12-07,1272296,189326.68,107900,1.0,1.0,669.0,148199.0,33,15,2018,6.0,2.0,0.0
497,2020-12-07,1274195,453724.1,138000,2.0,3.0,1113.0,192301.0,33,2,2008,5.0,2.0,1.0
498,2020-12-07,1276577,31932.19,85437,3.0,2.0,1715.0,203729.0,33,18,2019,3.0,2.0,0.0
501,2020-12-07,1275709,197953.29,86607,3.0,3.0,1423.0,160850.0,33,3,2014,2.0,3.0,1.0
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,1.0
513,2020-12-07,1272295,23330.92,47714,2.0,2.0,1332.0,173132.0,33,23,2019,1.0,4.0,1.0
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,1.0
521,2020-12-01,1275233,307459.04,201000,3.0,2.0,1460.0,265296.0,18,11,2018,8.0,3.0,1.0
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,1.0
524,2020-12-01,1277604,659139.24,414900,1.0,1.0,808.0,267379.0,18,9,2018,5.0,3.0,0.0
525,2020-12-01,1276355,311815.78,186032,2.0,2.0,1027.0,338757.0,18,6,2018,5.0,1.0,1.0
528,2020-12-01,1273562,199817.79,141100,1.0,1.0,918.0,189785.0,18,4,2016,8.0,4.0,1.0
530,2020-12-01,1275546,664036.8,149100,2.0,2.0,864.0,204251.0,18,10,2018,5.0,2.0,1.0
532,2020-12-01,1276124,389329.6,110118,1.0,1.0,1010.0,166893.0,18,8,2018,6.0,2.0,1.0
542,2020-11-30,1270582,61076.25,870048,2.0,4.0,1763.0,460112.0,28,18,2019,1.0,1.0,1.0
543,2020-11-30,1270585,10214.3,79673,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,1.0
544,2020-11-30,1277357,598719.3,406600,1.0,2.0,979.0,350742.0,28,22,2019,2.0,1.0,1.0
546,2020-11-30,1275089,21381.74,171500,1.0,1.0,905.0,192840.0,28,8,2018,1.0,1.0,1.0
547,2020-11-30,1271043,402648.04,398534,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,1.0
555,2020-11-30,1276186,531447.92,391797,1.0,2.0,947.0,630947.0,28,25,2020,5.0,1.0,1.0
556,2020-11-25,1274939,14981.51,39359,2.0,2.0,1040.0,122314.0,10,8,2019,1.0,3.0,0.0
557,2020-11-25,1275048,143001.16,125000,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,1.0
558,2020-11-25,1274742,260575.76,113577,1.0,1.0,710.0,169462.0,10,3,2014,9.0,3.0,1.0
566,2020-11-24,1274038,371712.38,486405,2.0,0.0,1570.0,350742.0,5,2,2019,3.0,4.0,1.0
575,2020-11-23,1274462,234460.14,106740,2.0,2.0,730.0,203562.0,21,18,2020,2.0,1.0,0.0
586,2020-11-23,1274164,197332.85,126443,2.0,2.0,996.0,343537.0,21,5,2016,6.0,6.0,1.0
587,2020-11-18,1275057,559079.39,544350,2.0,2.0,1171.0,567426.0,10,9,2019,3.0,3.0,0.0
589,2020-11-18,1273983,164233.06,194000,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,1.0
594,2020-11-18,1274028,97317.83,59297,2.0,1.0,930.0,126312.0,10,2,2017,2.0,2.0,1.0
595,2020-11-18,1273827,10172.76,113000,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,1.0
597,2020-11-17,1275476,42557.86,1581530,3.0,2.0,2340.0,710128.0,7,6,2019,1.0,1.0,1.0
598,2020-11-17,1275473,116626.29,49191,1.0,1.0,700.0,192463.0,7,2,2019,7.0,2.0,0.0
600,2020-11-17,1275529,222936.65,180000,3.0,2.0,1400.0,219488.0,7,3,2019,7.0,1.0,1.0
601,2020-11-17,1275544,32610.72,48990,2.0,2.0,1400.0,168563.0,7,1,2018,1.0,1.0,1.0
602,2020-11-16,1272522,371189.96,266297,1.0,1.0,791.0,233585.0,38,19,2018,6.0,3.0,1.0
